yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_pbr_gap,cagr,peer_per_avg,peer_per_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
028300.KQ,028300,HLB,37695,중견기업부,"의료기기, 의약외품 등",KOSDAQ,주권,KRX,28450.0,42342.5,49470.0,51875.0,49948.0,-43.0407623928886,92500.0,-69.24324324324324,29.759704251378622,-40.11,-53.05,nxt_web_latest,NXT 체결가,2026-07-22 22:03 KST,,,,,18.2,,11.3,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,-925.88,-1101.21,409.83,4357.64,-3947.81,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,,,,5.58,8.69,4,2,3,3,102.51,,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-07-22,4.65,0,0,0,0,0,0,3,1,4,D,11
222800.KQ,222800,심텍,36564,중견기업부,반도체용 인쇄회로기판,KOSDAQ,주권,KRX,97500.0,118400.0,113326.66666666667,85577.5,72136.75,35.15995661018829,157300.0,-38.01652892561984,27.83964365255835,-19.09,12.59,nxt_web_latest,NXT 체결가,2026-07-22 22:03 KST,,,,,10.38,28.0,6.77,-32.1,181.13,14.55,,,-,14106.0,119.0,-1646.0,0.84,-11.67,-1986.12,-2550.05,539.84,10439.64,-9899.8,0.1,,100.0,37.33,OpenDART,-41.52,5.0,True,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,4.21,9.7,10,7,9,9,60.81,,14.08,98.86,전자부품 제조업,전자부품 제조업,2026-07-22,4.65,0,0,0,0,0,0,3,5,8,D,12
000250.KQ,000250,삼천당제약,35843,중견기업부,"하메론, 아토로우",KOSDAQ,주권,KRX,155700.0,203510.0,295336.6666666667,473085.0,375368.0,-58.52070501481214,1184000.0,-86.84966216216216,35.56553695385668,-30.34,-61.36,nxt_web_latest,NXT 체결가,2026-07-22 22:03 KST,,,,1036.5,7.41,412.84,14.13,1.94,54.36,9.91,226.92,,-,2318.0,85.0,120.0,3.67,5.18,97.93,-497.95,959.44,1976.38,-1016.94,0.03,22.1,50.0,11.63,OpenDART,-75.0,2.0,True,2.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,4.2,9.66,7,5,6,6,236.43,,19.28,2041.29,의약품 제조업,의약품 제조업,2026-07-22,4.65,0,0,0,0,0,0,5,1,6,D,13
440110.KQ,440110,파두,35271,기술성장기업부,SSD 컨트롤러,KOSDAQ,주권,KRX,70400.0,76795.0,92098.33333333333,71708.33333333333,52312.75,34.57522305747643,128300.0,-45.12860483242401,42.03655352479649,-21.6,7.65,daily_close,NXT 미확인,2026-07-22 22:14 KST,,,,,28.49,,106.74,-131.08,518.5,112.41,,,-,924.0,-655.0,-762.0,-70.89,-82.47,-37.04,-78.42,408.04,1026.33,-618.29,,,,,,,,,,,,4.0,,,130000.0,,,84.66,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,,,,3.64,9.64,5,3,4,4,2832.42,,20.98,,반도체 제조업,반도체 제조업,2026-07-22,4.65,0,0,0,0,0,0,5,3,8,D,14
141080.KQ,141080,리가켐바이오,34761,기술성장기업부,ADC 신약연구개발,KOSDAQ,주권,KRX,93800.0,126525.0,149463.33333333334,169475.0,167229.5,-43.909417895766,213500.0,-56.0655737704918,19.209659714596384,-32.03,-50.19,nxt_web_latest,NXT 체결가,2026-07-22 22:03 KST,,,,483.55,9.57,-70.0,8.92,-13.22,29.7,12.47,,,-,1416.0,-1065.0,-916.0,-75.21,-64.69,-1245.33,-1305.74,986.5,1606.95,-620.45,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,,,23.98,-25.16,9,2,8,8,-62.8,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-22,4.65,0,0,0,0,0,0,1,3,4,D,15
214450.KQ,214450,파마리서치,33506,우량기업부,재생의약품,KOSDAQ,주권,KRX,322500.0,332250.0,314900.0,328670.8333333333,384637.5,-16.15482109778688,711000.0,-54.641350210970465,39.26829268292415,15.18,6.26,nxt_web_latest,NXT 체결가,2026-07-22 22:03 KST,,,65.07,24.5,6.46,18.0,5.58,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,5363.0,2144.0,1683.0,39.98,31.38,1831.62,1473.8,1756.63,3200.1,-1443.47,1.15,25.9,3700.0,427.91,OpenDART,77.64,5.0,False,5.0,OpenDART,,4.0,,,481429.0,,,49.28,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,0.28,2025.0,11011.0,11.3,4.81,4,1,3,3,-50.62,37.82,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-07-22,4.65,8,0,20,20,15,10,5,3,81,A,16
108490.KQ,108490,로보티즈,32180,기술성장기업부,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",KOSDAQ,주권,KRX,220000.0,222050.0,283916.6666666667,275658.3333333333,257522.845,-14.5706859521531,405000.0,-45.67901234567901,42.187499999997115,-13.56,-20.29,nxt_web_latest,NXT 체결가,2026-07-22 22:03 KST,,,,691.83,7.57,451.0,7.56,2.49,1.79,29.67,,,-,389.0,33.0,53.0,8.48,13.62,70.75,46.35,310.38,56.29,254.09,,,,,,,,,,,,4.0,,,398000.0,,,80.91,,,Naver/FnGuide,,KRW,2026-07-20,2025.0,CFS,11011.0,OpenDART,,,,6.29,8.16,21,15,20,20,20.19,,30.0,1403.33,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-22,4.65,0,0,0,0,0,0,5,3,8,D,17
403870.KQ,403870,HPSP,31932,우량기업부,고압 수소 어닐링 장비,KOSDAQ,주권,KRX,38800.0,45142.5,51566.666666666664,47890.416666666664,41838.25,-7.261895514272227,83500.0,-53.53293413173653,36.713286713274734,-26.79,-19.17,daily_close,NXT 미확인,2026-07-22 22:14 KST,,,-16.35,35.96,33.27,30.0,11.79,24.79,19.95,-4.63,-4.26,-6.21,989 -> 1040 -> 870,1730.0,899.0,727.0,51.97,42.02,1002.05,977.76,939.41,614.76,324.65,1.29,55.66,500.0,404.37,OpenDART,49.38,4.0,True,4.0,OpenDART,,4.0,,,68000.0,,,75.26,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,OFS,11011.0,OpenDART,,2025.0,11011.0,6.29,6.8,21,15,20,20,87.44,-6.21,30.0,0.0,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-22,4.65,0,0,20,0,0,0,5,3,28,D,18
095610.KQ,095610,테스,30298,우량기업부,반도체장비(화학증착장비),KOSDAQ,주권,KRX,153000.0,176835.0,143146.66666666666,106195.83333333333,81525.0,87.672493100276,217500.0,-29.655172413793103,37.16492503407305,-2.98,63.99,nxt_web_latest,NXT 체결가,2026-07-22 22:03 KST,,,33.69,92.12,7.54,30.0,6.77,15.76,24.43,46.23,50.13,504.31,79 -> 2158 -> 2885,3511.0,578.0,569.0,16.46,16.21,824.23,492.84,121.43,957.15,-835.72,0.56,26.4,850.0,150.74,OpenDART,19.35,5.0,True,5.0,OpenDART,,4.0,,,196250.0,,,28.27,,,Naver/FnGuide,,KRW,2026-07-22,2025.0,CFS,11011,OpenDART,0.89,2025.0,11011,6.68,6.8,21,15,20,20,1.35,504.31,30.0,0.0,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-22,4.65,0,0,16,16,15,10,5,5,67,B,19
095340.KQ,095340,ISC,29781,우량기업부,반도체테스트소켓,KOSDAQ,주권,KRX,139000.0,159020.0,198418.33333333334,199297.5,157062.5,-11.500198965380024,271000.0,-48.708487084870846,36.869565217386814,-27.0,-41.96,nxt_web_latest,NXT 체결가,2026-07-22 22:03 KST,,,2.68,60.46,31.83,35.0,5.66,10.6,15.85,26.19,34.15,91.78,720 -> 2579 -> 2648,2202.0,601.0,563.0,27.29,25.57,417.12,353.78,798.71,851.6,-52.89,0.61,31.0,850.0,173.95,OpenDART,12.31,5.0,True,5.0,OpenDART,,4.0,,,292500.0,,,110.43,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,13.06,2025.0,11011.0,,,2,1,1,1,,91.78,,,기계장비 및 관련 물품 도매업,기계장비 및 관련 물품 도매업,2026-07-22,4.65,0,0,12,0,15,2,5,3,37,D,20
214370.KQ,214370,케어젠,29596,벤처기업부,"성장인자, 바이오미메틱펩타이드 기반 안면, 두피, 바디 코스메슈티컬 제품",KOSDAQ,주권,KRX,55000.0,65030.0,81060.0,96194.16666666667,84891.5,-35.21141692631182,150100.0,-63.35776149233844,22.597402597394378,-20.86,-42.11,nxt_web_latest,NXT 체결가,2026-07-22 22:03 KST,,,-37.87,92.25,4.06,141.84,14.06,9.23,8.85,-11.86,-40.35,-29.05,743 -> 602 -> 374,728.0,204.0,201.0,28.02,27.61,185.89,136.68,88.59,187.99,-99.4,0.79,106.3,437.0,213.57,OpenDART,-45.5,4.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,18.5,-23.48,8,1,7,7,-24.0,-29.05,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-22,4.65,0,0,6,0,0,0,1,1,8,D,21
214150.KQ,214150,클래시스,28312,우량기업부,미용의료기기,KOSDAQ,주권,KRX,43100.0,46425.0,48474.166666666664,53760.0,53685.5,-19.7176146259232,75600.0,-42.98941798941799,33.91608391605071,-1.71,-24.78,nxt_web_latest,NXT 체결가,2026-07-22 22:03 KST,,,32.76,30.47,70.66,17.0,5.69,26.21,27.73,38.66,39.38,32.57,1146 -> 1517 -> 2014,3368.0,1706.0,1320.0,50.65,39.19,1639.36,1446.82,375.21,1529.75,-1154.54,2.32,49.4,1000.0,651.53,OpenDART,105.04,5.0,False,5.0,OpenDART,,4.0,,,77688.0,,,80.25,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,0.52,2025.0,11011.0,,,3,1,2,2,,32.57,,,의료용 기기 제조업,의료용 기기 제조업,2026-07-22,4.65,8,0,20,20,15,10,3,5,81,A,22
145020.KQ,145020,휴젤,27253,우량기업부,"보툴리눔톡신, 필러",KOSDAQ,주권,KRX,222000.0,246925.0,254183.33333333334,256291.66666666666,251375.0,-11.685728493286922,388000.0,-42.78350515463917,23.762376237620458,-8.26,-15.91,nxt_web_latest,NXT 체결가,2026-07-22 22:03 KST,,,3.3,21.91,57.69,16.0,2.47,16.06,9.86,13.97,20.88,22.87,7517 -> 10985 -> 11348,4251.0,2009.0,1470.0,47.26,34.58,1500.59,1205.36,2096.98,966.76,1130.22,,,,,,,,,,,,4.0,,,378462.0,,,70.48,,,Naver/FnGuide,,KRW,2026-07-20,2025.0,CFS,11011.0,OpenDART,4.85,,,18.5,-23.48,8,1,7,7,-86.65,22.87,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-22,4.65,8,3,16,0,12,2,1,5,47,C,23
084370.KQ,084370,유진테크,27109,우량기업부,실리콘질화막증착용LP-CVD,KOSDAQ,주권,KRX,118300.0,156705.0,148990.0,134557.5,113818.5,3.9374091206614037,206500.0,-42.71186440677966,25.608407079644024,-26.98,-12.11,nxt_web_latest,NXT 체결가,2026-07-22 22:03 KST,,,-32.89,30.03,36.49,29.0,5.58,9.81,18.16,3.61,-15.52,31.84,1066 -> 2761 -> 1853,3503.0,517.0,445.0,14.76,12.7,664.77,452.3,549.25,892.21,-342.96,0.19,12.3,230.0,52.02,OpenDART,-5.2,5.0,True,5.0,OpenDART,,4.0,,,156667.0,,,32.43,,,Naver/FnGuide,,KRW,2026-07-22,2025.0,CFS,11011,OpenDART,,2025.0,11011,7.16,6.8,21,15,20,20,-22.07,31.84,30.0,-3.33,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-22,4.65,0,0,6,0,15,0,3,5,29,D,24
347850.KQ,347850,디앤디파마텍,27044,기술성장기업부,대사성질환 치료제 등,KOSDAQ,주권,KRX,59000.0,79370.0,81371.66666666667,81415.83333333333,79759.495,-26.027615897016393,111200.0,-46.94244604316547,26.07449856733001,-38.61,-24.94,daily_close,NXT 미확인,2026-07-22 22:14 KST,,,,,5.38,,34.67,-31.49,23.5,-62.28,,,-,43.0,-340.0,-240.0,-790.7,-558.14,-211.39,-212.03,328.84,185.6,143.24,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-22,2025.0,CFS,11011,OpenDART,,,,16.52,-16.02,9,2,8,8,109.87,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-22,4.65,0,0,0,0,0,0,3,3,6,D,25
131290.KQ,131290,티에스이,26547,우량기업부,"Probe Card, Test Interface Board, OLED Test Equipment, Test Socket",KOSDAQ,주권,KRX,237500.0,248875.0,221433.33333333334,163682.5,120539.25,97.03125745348507,284500.0,-16.520210896309315,41.21951219511914,0.85,40.28,nxt_web_latest,NXT 체결가,2026-07-22 22:03 KST,,,-10.0,1517.12,9.85,21.0,6.51,10.42,30.88,23.21,23.31,1672.52,11 -> 3840 -> 3456,4289.0,492.0,400.0,11.47,9.33,485.7,-22.4,758.17,1434.62,-676.45,0.19,12.4,450.0,49.78,OpenDART,-3.45,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,,,2,1,1,1,,1672.52,,,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2026-07-22,4.65,4,0,12,0,15,0,5,5,41,C,26
031980.KQ,031980,피에스케이홀딩스,26306,우량기업부,"Descum, Reflow",KOSDAQ,주권,KRX,121700.0,135980.0,127716.66666666667,111073.33333333333,86148.75,41.267284783586526,166500.0,-26.906906906906908,34.894772572977004,3.57,6.2,nxt_web_latest,NXT 체결가,2026-07-22 22:03 KST,,,-4.32,11.02,6.35,20.0,5.42,19.55,15.5,-3.57,-17.06,46.54,1980 -> 4444 -> 4252,2078.0,734.0,917.0,35.32,44.13,814.17,792.28,1827.79,785.01,1042.78,0.89,25.4,1080.0,232.87,OpenDART,39.25,1.0,False,4.0,OpenDART,,4.0,,,191600.0,,,57.44,,,Naver/FnGuide,,KRW,2026-07-20,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,7.16,6.8,21,15,20,20,-24.3,46.54,30.0,-33.33,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-22,4.65,4,0,16,0,15,0,3,5,43,C,27
080220.KQ,080220,제주반도체,25832,우량기업부,"모바일용 LP DDR SDRAM, CRAM, SRAM",KOSDAQ,주권,KRX,75000.0,88630.0,87991.66666666667,65048.333333333336,47802.2,56.89654451050371,134000.0,-44.02985074626866,34.39911797132875,-32.31,59.74,daily_close,NXT 미확인,2026-07-22 22:14 KST,,,102.29,22.3,2.82,22.41,8.14,19.21,47.94,86.2,273.96,53.63,486 -> 567 -> 1147,3022.0,359.0,395.0,11.88,13.07,255.55,228.3,772.3,1088.84,-316.54,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,0.22,,,3.64,2.73,5,2,4,4,123.63,53.63,,,반도체 제조업,반도체 제조업,2026-07-22,4.65,4,0,16,20,15,10,3,5,73,A,28
950160.KQ,950160,코오롱티슈진,25533,외국기업(소속부없음),골관절염 치료제,KOSDAQ,주식예탁증권,KRX,30050.0,81437.5,98409.16666666667,99547.91666666667,84579.75,-64.47140125148158,138800.0,-78.35014409221903,17.734495130699656,-68.43,-69.8,daily_close,NXT 미확인,2026-07-22 22:14 KST,,,,,5.01,,51.62,-183.43,561.65,1.96,,,-,52.0,-223.0,-1926.0,-428.85,-3703.85,-0.17,-1.0,0.47,2.51,-2.04,,,,,,,,,,,,,,,,,,,,,,외화 공시 환산 필요,USD,2026-07-13,2025.0,OFS,11011.0,OpenDART,,,,14.06,-9.41,8,2,7,7,267.14,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-22,4.65,0,0,0,0,0,0,1,1,2,D,29
