yf_symbol,symbol,name,market_cap,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,sector,industry,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,fundamental_refreshed_at,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,cashflow_status,financial_currency,dart_year,dart_fs_div,dart_report_code,dart_source,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
LLY,LLY,일라이릴리,979.64,1215.02001953125,1176.7830017089843,1143.5346689860025,1048.872336324056,1037.5412536621093,17.105706904926528,1235.56005859375,-1.6624071747574618,58.43579453797544,5.42,20.69,daily_close,일봉 종가,2026-08-12 12:38 KST,1217.0,0.16295867038584835,26.2,66.6,85.44,40.75881,34.79738,102.29,162.071,47.7,74.27,98.92,5.8 -> 11.71 -> 22.95,65179000000.0,29696000000.0,20640000000.0,45.56,31.67,16813000000.0,5964000000.0,7268000000.0,42503000000.0,-35235000000.0,0.57,21.69,6.92,,yfinance,15.24,10.0,False,10.0,yfinance dividend history,Healthcare,Drug Manufacturers - General,78.95,4.29,27.0,0.0,1299.01,1600.0,850.0,6.91,24.79,Finnhub,yfinance,2026-08-12,1.56,98.92,25.73,3.93,14.6,16,15,14,14,58.41,785.43,,,,,,,2026-08-11,4.68,0,0,20,5,15,8,3,0,51,C,11
WMT,WMT,월마트,932.53,113.26000213623047,111.86549949645996,116.0859992980957,121.24841607411703,118.17259963989258,-4.1571375417247936,134.1999969482422,-15.60357324008568,64.04575013346019,-0.39,-14.49,daily_close,일봉 종가,2026-08-12 12:38 KST,113.15,-0.09712355125876758,19.4,36.02,38.08,39.27972,9.48177,24.13,74.816,7.3,1.63,19.45,1.91 -> 2.41 -> 2.73,713163000000.0,29825000000.0,21893000000.0,4.18,3.07,41565000000.0,14923000000.0,10727000000.0,67095000000.0,-56368000000.0,0.87,33.54,0.99,,yfinance,7.98,10.0,False,10.0,yfinance dividend history,Consumer Defensive,Discount Stores,89.58,4.47,40.0,0.0,137.97,155.0,81.0,21.82,-1.67,Finnhub,yfinance,2026-08-11,2.02,19.45,25.77,7.83,30.13,9,7,6,6,52.42,21.1,,,,,,,2026-08-11,4.68,0,0,20,0,12,8,3,5,48,C,12
AMD,AMD,AMD,876.24,474.32000732421875,496.5135040283203,504.5218338012695,383.56366704305015,320.6666502380371,47.91684977908422,580.9099731445312,-18.348792540663226,36.933440199135184,-13.47,5.47,daily_close,일봉 종가,2026-08-12 12:38 KST,,,91.2,135.05,72.0,142.76176,12.27375,8.06,6.005,37.8,77.09,123.61,0.53 -> 1.0 -> 2.65,34639000000.0,3694000000.0,4335000000.0,10.66,12.51,7709000000.0,6735000000.0,5539000000.0,3847000000.0,1692000000.0,,0.0,0.0,,yfinance,,,,,,Technology,Semiconductors,84.21,4.51,47.0,3.51,576.55,1250.0,320.0,21.55,4.63,Finnhub,yfinance,2026-08-05,1.57,123.61,34.97,9.68,35.92,23,21,22,22,308.24,26.79,,,,,,,2026-08-11,4.68,0,0,6,5,15,10,5,5,46,C,13
JPM,JPM,JP모건 체이스,871.43,362.0400085449219,351.62449951171874,329.7266677856445,315.11416753133136,313.89085083007814,15.339458791969962,362.0400085449219,0.0,65.39746887766529,5.58,20.72,daily_close,일봉 종가,2026-08-12 12:38 KST,,,46.9,11.94,75.95,15.2591,2.6788063,17.79,,30.4,,11.06,16.23 -> 19.75 -> 20.02,181847000000.0,,57048000000.0,,31.37,-147782000000.0,-147782000000.0,343338000000.0,499982000000.0,-156644000000.0,1.66,25.71,6.0,,yfinance,11.53,10.0,False,10.0,yfinance dividend history,Financial Services,Banks - Diversified,60.0,3.91,20.0,3.33,373.65,420.0,305.0,3.21,4.8,Finnhub,yfinance,2026-08-12,0.33,11.06,20.68,3.39,15.31,17,16,16,16,-26.21,-20.98,,,,,,,2026-08-11,4.68,8,3,16,20,8,10,1,0,66,B,14
INTC,INTC,Intel Corporation,673.43,97.70999908447266,96.17399940490722,110.96549949645996,87.67258313496907,69.18449995040893,41.23105486707375,140.94000244140625,-30.672628500134895,45.009146261506174,-9.33,-15.72,daily_close,일봉 종가,2026-08-12 12:38 KST,97.91,0.20468827899019293,98.63,65.53,63.86,,5.2422376,-10.71,48.997,25.4,6.88,,1.94 -> 0.4,52853000000.0,-23000000.0,-267000000.0,-0.04,-0.51,9697000000.0,-4949000000.0,14265000000.0,46585000000.0,-32320000000.0,,0.0,0.0,,yfinance,,0.0,,9.0,yfinance dividend history,Technology,Semiconductors,34.55,3.44,41.0,1.82,115.27,200.0,74.0,17.97,1086.32,Finnhub,yfinance,2026-08-04,,,37.71,9.83,35.92,23,22,22,22,,-46.67,,,,,,,2026-08-11,4.68,0,0,0,0,0,10,5,5,20,D,15
V,V,비자,622.33,362.82000732421875,362.3575042724609,342.85750172932944,327.6944165547689,331.06739929199216,9.59097999384158,373.30999755859375,-2.809994455808411,61.88068972531233,1.91,12.5,daily_close,일봉 종가,2026-08-12 12:38 KST,362.71,-0.030320082133857375,10.2,28.2,89.06,30.9046,19.227345,61.19,67.821,14.4,10.39,10.99,8.28 -> 9.73 -> 10.2,40000000000.0,26556000000.0,20058000000.0,66.39,50.14,23059000000.0,21577000000.0,17164000000.0,25171000000.0,-8007000000.0,0.74,22.13,2.68,,yfinance,15.71,10.0,False,10.0,yfinance dividend history,Financial Services,Credit Services,92.16,4.62,37.0,0.32,416.2,450.0,330.0,14.71,0.78,Finnhub,yfinance,2026-08-12,3.03,10.99,19.87,3.1,15.31,17,16,16,16,55.53,520.24,,,,,,,2026-08-11,4.68,0,0,20,0,8,5,3,0,36,D,16
XOM,XOM,엑슨모빌,571.22,159.8000030517578,153.5629997253418,148.14716618855795,151.1166664123535,140.66144981384278,13.606111172068674,171.47000122070312,-6.805854135339148,59.75209909425129,10.14,4.59,daily_close,일봉 종가,2026-08-12 12:38 KST,159.62,-0.11264270858587315,112.8,12.2,68.23,26.900673,2.5331323,12.58,15.921,44.1,-14.41,-13.19,8.89 -> 7.84 -> 6.7,323905000000.0,33938000000.0,28844000000.0,10.48,8.91,51970000000.0,23612000000.0,10681000000.0,43537000000.0,-32856000000.0,2.58,68.01,4.12,,yfinance,4.06,10.0,False,10.0,yfinance dividend history,Energy,Oil & Gas Integrated,50.0,3.6,22.0,-3.33,168.32,185.0,142.0,5.33,3.84,Finnhub,yfinance,2026-08-11,0.24,-13.19,,,,2,1,1,1,,,,,,,,,2026-08-11,4.68,0,3,12,20,0,10,3,0,48,C,17
ORCL,ORCL,오라클,530.03,145.47999572753906,131.32200050354004,163.76633389790854,162.27299976348877,178.05689975738525,-18.295783018930724,328.3299865722656,-55.69092020916621,65.97786556268443,13.71,-25.63,daily_close,일봉 종가,2026-08-12 12:38 KST,,,21.9,36.02,43.94,21.589928,9.205522,53.38,388.87,20.6,24.33,25.36,3.71 -> 4.34 -> 5.83,67357000000.0,22444000000.0,17087000000.0,33.32,25.37,31977000000.0,-23686000000.0,31289000000.0,156189000000.0,-124900000000.0,1.37,34.31,2.0,,yfinance,14.07,10.0,False,10.0,yfinance dividend history,Technology,Software - Infrastructure,81.63,4.45,41.0,0.0,248.15,400.0,110.0,70.57,9.27,Finnhub,yfinance,2026-08-08,0.99,25.36,40.45,9.83,35.48,23,21,22,22,-46.63,-6.35,,,,,,,2026-08-11,4.68,4,0,20,16,15,8,1,3,67,B,18
AMAT,AMAT,"Applied Materials, Inc.",489.96,525.6099853515625,528.2949966430664,535.8294982910156,456.84058176676433,384.16724937438966,36.81800991820883,723.0,-27.301523464514176,45.22934928469202,-11.77,19.3,daily_close,일봉 종가,2026-08-12 12:38 KST,528.4,0.530814620382703,33.5,18.76,84.51,50.305084,17.740585,39.69,30.399,11.4,7.66,3.34,8.11 -> 8.61 -> 8.66,28368000000.0,8470000000.0,6998000000.0,29.86,24.67,7958000000.0,5698000000.0,7241000000.0,7050000000.0,191000000.0,0.4,17.31,2.12,,yfinance,20.39,10.0,False,10.0,yfinance dividend history,Technology,Semiconductor Equipment & Materials,86.67,4.54,35.0,0.0,629.09,900.0,358.0,19.69,3.94,Finnhub,yfinance,2026-08-11,1.5,3.34,34.97,9.68,35.48,23,21,22,22,43.85,83.27,,,,,,,2026-08-11,4.68,0,0,20,10,4,10,5,5,54,C,19
CSCO,CSCO,시스코 시스템즈,471.16,120.43000030517578,115.59899978637695,118.00583318074544,101.06324984232585,91.28544998168945,31.926829882891855,130.0,-7.36153822678786,69.8742846044741,2.85,4.24,daily_close,일봉 종가,2026-08-12 12:38 KST,,,37.1,18.44,83.44,40.452145,9.883881,25.23,67.541,12.0,-3.59,-7.8,3.07 -> 2.54 -> 2.61,56654000000.0,12504000000.0,10180000000.0,22.07,17.97,14193000000.0,13288000000.0,8346000000.0,28093000000.0,-19747000000.0,1.4,55.0,1.68,,yfinance,2.58,10.0,False,10.0,yfinance dividend history,Technology,Communication Equipment,69.7,4.15,22.0,0.0,132.59,150.0,115.0,10.1,-0.11,Finnhub,yfinance,2026-08-11,1.09,-7.8,34.97,9.68,35.92,23,21,22,22,15.68,2.11,,,,,,,2026-08-11,4.68,0,0,20,10,0,10,1,0,41,C,20
