yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_pbr_gap,peer_per_avg,peer_per_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
000250.KQ,000250,삼천당제약,30471,중견기업부,"하메론, 아토로우",KOSDAQ,주권,KRX,129700.0,178270.0,267556.6666666667,458811.6666666667,372809.0,-65.2100673535242,1184000.0,-89.04560810810811,37.090163934424105,-41.97,-68.78,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,,1036.5,5.03,290.14,9.93,1.94,54.36,9.91,226.92,,-,2318.0,85.0,120.0,3.67,5.18,97.93,-497.95,959.44,1976.38,-1016.94,0.04,22.1,50.0,11.63,OpenDART,-75.0,2.0,True,2.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-29,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,3.56,9.66,7,5,6,6,178.93,20.08,1344.92,,의약품 제조업,의약품 제조업,2026-07-30,4.68,0,0,0,0,0,0,5,1,6,D,11
039030.KQ,039030,이오테크닉스,29566,우량기업부,레이저 마커 및 레이저 응용기기,KOSDAQ,주권,KRX,244500.0,334700.0,433850.0,428666.6666666667,366767.5,-33.33651427675571,612000.0,-60.049019607843135,32.47863247863093,-43.79,-47.76,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,33.53,50.01,30.19,51.43,5.39,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,0.0,True,3.0,OpenDART,,4.0,,,580000.0,,,137.22,,,Naver/FnGuide,,KRW,2026-07-27,2025.0,CFS,11011.0,OpenDART,1.53,,,5.58,7.42,20,15,19,19,-3.41,28.0,83.68,24.98,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-30,4.68,0,0,6,5,12,10,3,1,37,D,12
319660.KQ,319660,피에스케이,29372,우량기업부,"드라이스트립, 드라이클리닝",KOSDAQ,주권,KRX,102500.0,163255.0,143496.66666666666,108420.0,79765.75,28.501267774702804,211500.0,-51.536643026004725,35.0412249705507,-51.54,15.56,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,-0.73,10.42,22.01,22.0,5.87,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,4572.0,885.0,785.0,19.36,17.17,617.31,431.97,1194.22,1069.62,124.6,0.66,25.1,680.0,196.97,OpenDART,19.35,5.0,True,5.0,OpenDART,,4.0,,,182857.0,,,78.4,,,Naver/FnGuide,,KRW,2026-07-29,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,5.39,7.42,20,15,19,19,8.91,30.0,-26.67,22.31,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-30,4.68,4,0,16,0,12,0,5,3,40,C,13
141080.KQ,141080,리가켐바이오,28838,기술성장기업부,ADC 신약연구개발,KOSDAQ,주권,KRX,77300.0,108160.0,138761.66666666666,164374.16666666666,165519.0,-53.29841287102991,213500.0,-63.79391100702576,23.86511024642887,-48.47,-57.85,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,,483.55,11.47,-57.0,7.13,-13.22,29.7,12.47,,,-,1416.0,-1065.0,-916.0,-75.21,-64.69,-1245.33,-1305.74,986.5,1606.95,-620.45,,,,,,,,,,,,4.0,,,224000.0,,,189.78,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11011.0,OpenDART,,,,21.34,-31.49,8,2,7,7,-66.59,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-30,4.68,0,0,0,0,0,0,1,1,2,D,14
087010.KQ,087010,펩트론,28167,기술성장기업부,약효지속성 의약품 및 펩타이드 소재,KOSDAQ,주권,KRX,118500.0,134745.0,206595.0,243305.83333333334,255663.5,-53.65001261423708,386000.0,-69.30051813471503,38.036047234303716,-34.78,-54.51,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,,,5.17,,24.44,-9.41,26.03,75.0,,,-,56.0,-213.0,-138.0,-380.36,-246.43,-205.86,-235.83,43.78,369.71,-325.93,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-28,2025.0,OFS,11011.0,OpenDART,,,,9.81,-23.48,8,2,7,7,149.13,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-30,4.68,0,0,0,0,0,0,5,1,6,D,15
145020.KQ,145020,휴젤,28096,우량기업부,"보툴리눔톡신, 필러",KOSDAQ,주권,KRX,227000.0,238500.0,251425.0,254037.5,249417.5,-8.987941904637806,388000.0,-41.49484536082475,44.84304932734862,-17.3,-10.1,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,3.3,21.91,56.35,16.0,2.42,16.06,9.86,13.97,20.88,22.87,7517 -> 10985 -> 11348,4251.0,2009.0,1470.0,47.26,34.58,1500.59,1205.36,2096.98,966.76,1130.22,,,,,,,,,,,,4.0,,,378571.0,,,66.77,,,Naver/FnGuide,,KRW,2026-07-30,2025.0,CFS,11011,OpenDART,4.85,,,14.06,-23.48,8,1,7,7,-82.79,,,22.87,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-30,4.68,8,3,16,0,12,2,5,5,51,C,16
214370.KQ,214370,케어젠,26481,벤처기업부,"성장인자, 바이오미메틱펩타이드 기반 안면, 두피, 바디 코스메슈티컬 제품",KOSDAQ,주권,KRX,48500.0,60315.0,75791.66666666667,93571.66666666667,84655.0,-42.708640954462226,150100.0,-67.68820786142572,34.87654320986147,-36.35,-54.03,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,-37.87,92.25,4.06,141.84,14.06,9.23,8.85,-11.86,-40.35,-29.05,743 -> 602 -> 374,728.0,204.0,201.0,28.02,27.61,185.89,136.68,88.59,187.99,-99.4,0.9,106.3,437.0,213.57,OpenDART,-45.5,4.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,9.81,-23.48,8,1,7,7,43.32,,,-29.05,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-30,4.68,0,0,6,0,0,0,3,1,10,D,17
214150.KQ,214150,클래시스,24495,우량기업부,미용의료기기,KOSDAQ,주권,KRX,37400.0,45110.0,46917.5,52472.5,53424.5,-29.99466536888506,75600.0,-50.52910052910053,12.08459214500489,-22.08,-32.73,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,32.76,30.47,70.93,15.0,5.0,26.21,27.73,38.66,39.38,32.57,1146 -> 1517 -> 2014,3368.0,1706.0,1320.0,50.65,39.19,1639.36,1446.82,375.21,1529.75,-1154.54,2.67,49.4,1000.0,651.53,OpenDART,105.04,5.0,False,5.0,OpenDART,,4.0,,,72563.0,,,94.02,,,Naver/FnGuide,,KRW,2026-07-29,2025.0,CFS,11011.0,OpenDART,0.46,2025.0,11011.0,,,3,1,2,2,,,,32.57,의료용 기기 제조업,의료용 기기 제조업,2026-07-30,4.68,8,0,20,20,15,10,1,3,77,A,18
440110.KQ,440110,파두,24449,기술성장기업부,SSD 컨트롤러,KOSDAQ,주권,KRX,48800.0,69090.0,90421.66666666667,73633.33333333333,53420.5,-8.64930129819077,128300.0,-61.96414653156664,34.33242506811334,-40.92,-37.6,daily_close,NXT 미확인,2026-07-30 22:15 KST,,,,,28.05,,75.3,-131.08,518.5,112.41,,,-,924.0,-655.0,-762.0,-70.89,-82.47,-37.04,-78.42,408.04,1026.33,-618.29,,,,,,,,,,,,4.0,,,130000.0,,,166.39,,,Naver/FnGuide,,KRW,2026-07-29,2025.0,CFS,11011.0,OpenDART,,,,2.65,9.64,5,3,4,4,2741.51,16.76,,,반도체 제조업,반도체 제조업,2026-07-30,4.68,0,0,0,0,0,0,3,1,4,D,19
222800.KQ,222800,심텍,23901,중견기업부,반도체용 인쇄회로기판,KOSDAQ,주권,KRX,63800.0,102800.0,112736.66666666667,86873.33333333333,73341.25,-13.009391031649992,157300.0,-59.44055944055944,23.661148977601442,-59.44,-26.67,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,,,10.83,19.0,4.73,-32.1,181.13,14.55,,,-,14106.0,119.0,-1646.0,0.84,-11.67,-1678.98,-1945.96,250.74,10130.78,-9880.04,0.16,,100.0,37.33,OpenDART,-41.52,5.0,True,5.0,OpenDART,,4.0,,,171250.0,,,168.42,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11014.0,OpenDART,,2025.0,11011.0,2.83,16.87,7,5,6,6,67.14,14.58,30.32,,전자부품 제조업,전자부품 제조업,2026-07-30,4.68,4,0,0,0,0,0,1,3,8,D,20
403870.KQ,403870,HPSP,23496,우량기업부,고압 수소 어닐링 장비,KOSDAQ,주권,KRX,28550.0,39717.5,49646.666666666664,47569.166666666664,41826.25,-31.74143032186725,83500.0,-65.80838323353294,35.04867872043141,-43.13,-45.72,daily_close,NXT 미확인,2026-07-30 22:15 KST,,,-16.35,35.96,33.27,30.0,11.79,24.79,19.95,-4.63,-4.26,-6.21,989 -> 1040 -> 870,1730.0,899.0,727.0,51.97,42.02,1002.05,977.76,939.41,614.76,324.65,1.75,55.66,500.0,404.37,OpenDART,49.38,4.0,True,4.0,OpenDART,,4.0,,,68000.0,,,138.18,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,OFS,11011.0,OpenDART,,2025.0,11011.0,5.39,7.42,20,15,19,19,118.74,28.0,7.14,-6.21,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-30,4.68,0,0,20,0,0,0,5,1,26,D,21
108490.KQ,108490,로보티즈,23223,기술성장기업부,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",KOSDAQ,주권,KRX,158900.0,202715.0,271288.3333333333,270060.8333333333,258582.0,-38.54947366792739,405000.0,-60.76543209876544,39.51241950321732,-36.82,-49.79,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,,691.83,5.82,388.0,6.51,2.49,1.79,29.67,,,-,389.0,33.0,53.0,8.48,13.62,70.75,46.35,310.38,56.29,254.09,,,,,,,,,,,,4.0,,,398000.0,,,150.47,,,Naver/FnGuide,,KRW,2026-07-30,2025.0,CFS,11011,OpenDART,,,,5.39,8.9,20,15,19,19,20.78,28.0,1285.71,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-30,4.68,0,0,0,0,0,0,5,1,6,D,22
095340.KQ,095340,ISC,22574,우량기업부,반도체테스트소켓,KOSDAQ,주권,KRX,107900.0,141690.0,187230.0,199306.66666666666,158489.0,-31.919565395705696,271000.0,-60.184501845018445,32.97974927675543,-36.79,-55.51,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,2.68,60.46,31.34,26.0,4.18,10.6,15.85,26.19,34.15,91.78,720 -> 2579 -> 2648,2202.0,601.0,563.0,27.29,25.57,417.12,353.78,798.71,851.6,-52.89,0.79,31.0,850.0,173.95,OpenDART,12.31,5.0,True,5.0,OpenDART,,4.0,,,242600.0,,,124.84,,,Naver/FnGuide,,KRW,2026-07-29,2025.0,CFS,11011.0,OpenDART,9.7,2025.0,11011.0,,,3,2,2,2,,,,91.78,기계장비 및 관련 물품 도매업,기계장비 및 관련 물품 도매업,2026-07-30,4.68,0,0,12,0,15,2,3,1,33,D,23
257720.KQ,257720,실리콘투,21672,우량기업부,화장품 유통,KOSDAQ,주권,KRX,33150.0,36135.0,36626.666666666664,39328.75,41101.0,-19.345028101506045,61800.0,-46.359223300970875,43.62244897956067,-6.75,-24.66,nxt_web_latest,NXT 체결가,2026-07-30 22:07 KST,,,31.11,14.49,7.11,11.0,5.11,46.89,55.09,61.43,49.27,103.34,631 -> 1990 -> 2609,11163.0,2054.0,1686.0,18.4,15.1,-26.02,-80.12,1202.03,2495.92,-1293.89,0.92,11.9,306.0,200.28,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,55500.0,,,67.42,,,Naver/FnGuide,,KRW,2026-07-27,2025.0,CFS,11014.0,OpenDART,0.35,2025.0,11011.0,,,1,0,0,0,,,,103.34,상품 종합 도매업,상품 종합 도매업,2026-07-30,4.68,12,0,20,20,15,10,5,3,85,S,24
319400.KQ,319400,현대무벡스,21551,우량기업부,"물류자동화, IT서비스",KOSDAQ,주권,KRX,19350.0,21306.0,30248.666666666668,30119.333333333332,24444.5,-20.841088997525006,46350.0,-58.252427184466015,42.46453900706585,-23.97,-38.28,daily_close,NXT 미확인,2026-07-30 22:15 KST,,,-56.77,99.75,1.63,231.67,14.79,6.79,76.81,15.38,-26.02,65.83,36 -> 229 -> 99,3939.0,182.0,113.0,4.62,2.87,-14.32,-43.28,361.19,1231.33,-870.14,0.26,48.8,50.0,55.07,OpenDART,18.56,5.0,False,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-28,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,,,2,1,1,1,,,,65.83,일반 목적용 기계 제조업,일반 목적용 기계 제조업,2026-07-30,4.68,0,0,6,0,15,0,5,3,29,D,25
