yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,analyst_buy_ratio,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,cagr,dividend_year,dividend_report_code,dividend_history_years,dividend_history_source,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peg,peer_per_gap,peer_pbr_gap,dart_source,dart_year,dart_fs_div,dart_report_code,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
086790.KS,086790,하나금융지주,348172,,기타 금융,KOSPI,주권,KRX,126900.0,105733.0,20.01929388175877,132000.0,-3.8636363636363633,50.13774104681262,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,9.62,4.94,68.53,7.0,0.69,9.17,1377.89,-15.53,10.21,10.23,11613 -> 12872 -> 14110,689436.0,53509.0,40366.0,7.76,5.85,-19624.71,-39700.46,365650.97,6289451.22,-5923800.25,3.23,28.0,4105.0,11177.79,OpenDART,7.27,5.0,False,,,,,,,,,10.23,2025.0,11011.0,5.0,OpenDART,12.67,1.48,11.49,17,0.73,-44.75,-53.38,,,,,기타 금융업,기타 금융업,2026-07-07,4.5,15,10,6,16,8,5,5,0,65,B,21
267260.KS,267260,HD현대일렉트릭,324063,,"변압기, 고압차단기, 회전기, 배전반 등",KOSPI,주권,KRX,895000.0,908830.0,-1.5217367384439333,1420000.0,-36.971830985915496,28.11881188118734,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,46.07,25.65,34.67,37.0,17.52,41.5,134.63,22.79,48.77,68.14,7189 -> 13914 -> 20324,40795.0,9953.0,7318.0,24.4,17.94,9595.73,7176.58,9507.82,27368.8,-17860.98,,34.88,,2555.48,OpenDART,227.11,3.0,False,,,,,,,,,68.14,2025.0,11011.0,3.0,OpenDART,49.25,16.09,27.45,4,0.8,-24.87,8.89,OpenDART,2025.0,CFS,11011,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-07-07,4.5,0,0,20,16,15,10,3,5,69,B,22
035420.KS,035420,NAVER,309382,,포털 서비스 및 온라인 광고,KOSPI,주권,KRX,197000.0,236381.5,-16.660144723677615,290500.0,-32.18588640275387,16.881258941341386,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,3.89,24.18,34.66,16.0,1.0,7.36,41.9,12.08,11.56,41.51,6180 -> 11913 -> 12376,120350.0,22081.0,18187.0,18.35,15.11,30958.07,17763.67,59840.19,121314.83,-61474.64,1.34,20.2,2630.0,3935.96,OpenDART,50.62,5.0,True,,,,,,,,,41.51,2025.0,11011.0,5.0,OpenDART,19.0,1.16,5.98,2,4.11,,,,,,,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2026-07-07,4.5,8,8,6,0,15,2,1,5,45,C,23
010120.KS,010120,LS ELECTRIC,309000,,"고압기기,저압기기,변압기,배전반,PLC,인버터,빌딩설비,공조기,건축배관,자동화기기 제조,동가공",KOSPI,주권,KRX,202000.0,145289.5,39.03275873342533,318500.0,-36.57770800627944,37.99019607842876,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,20.11,26.34,18.15,78.0,18.95,14.67,131.48,9.1,9.42,17.98,1373 -> 1591 -> 1911,49658.0,4264.0,2843.0,8.59,5.73,2999.48,903.82,7627.17,28153.81,-20526.64,,31.1,,892.15,OpenDART,,0.0,False,,,,,,,,,17.98,2025.0,11011.0,0.0,OpenDART,49.25,16.09,27.45,4,3.88,58.38,17.78,OpenDART,2025.0,CFS,11011,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-07-07,4.5,0,0,12,0,12,8,5,5,42,C,24
066570.KS,066570,LG전자,308014,,"이동통신단말기,C-TV,V.C.R.,컴퓨터,완전평면 TV,플라즈마 디스플레이 패널 TV,전자제품(세탁기외),CDMA(코드분할다중접속)이동통신,전자교환기,전송기기",KOSPI,주권,KRX,188500.0,127223.5,48.164450750057966,392500.0,-51.97452229299363,28.046421663439133,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,161.86,28.06,28.4,18.0,1.36,4.28,140.33,1.68,-27.53,16.18,3942 -> 2032 -> 5321,892009.0,24784.0,12204.0,2.78,1.37,42805.0,3731.2,87698.41,400681.42,-312983.01,0.72,25.4,1350.0,2439.48,OpenDART,12.26,5.0,True,,,,,,,,,16.18,2025.0,11011.0,5.0,OpenDART,12.5,2.86,7.56,2,0.11,,,,,,,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,2026-07-07,4.5,8,6,0,20,12,10,3,3,62,B,25
000810.KS,000810,삼성화재,304495,,"손해보험의 원수,재보험,운용자산의 투자활동",KOSPI,주권,KRX,687000.0,509845.0,34.746834822347964,730000.0,-5.89041095890411,50.697674418601345,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,-0.74,9.42,58.38,14.0,1.1,10.97,352.98,9.36,0.36,6.39,35961 -> 41007 -> 40703,247785.0,26591.0,20203.0,10.73,8.15,34131.66,33305.3,20198.04,751580.1,-731382.06,2.84,41.1,19500.0,8289.49,OpenDART,12.91,5.0,False,,,,,,,,,6.39,2025.0,11011.0,5.0,OpenDART,15.67,0.89,11.23,3,,-10.66,23.6,,,,,보험업,보험업,2026-07-07,4.5,8,8,12,0,4,0,5,0,37,D,26
042660.KS,042660,한화오션,275159,,선박 제조,KOSPI,주권,KRX,88600.0,123059.0,-28.00201529347711,149900.0,-40.8939292861908,28.24120603014677,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,135.85,27.59,10.43,20.0,4.64,22.59,226.17,18.63,390.79,131.76,757 -> 1724 -> 4066,127835.0,11676.0,12459.0,9.13,9.75,13146.72,5980.49,7784.71,139659.07,-131874.36,,,,,,,,,,,,,,,,,131.76,,,,,20.33,5.26,18.38,3,0.15,-1.62,-11.79,OpenDART,2025.0,CFS,11011,선박 및 보트 건조업,선박 및 보트 건조업,2026-07-07,4.5,4,0,20,20,15,10,3,5,77,A,27
298040.KS,298040,효성중공업,270598,,-,KOSPI,주권,KRX,2900000.0,2543285.0,14.0257580255457,4601000.0,-36.97022386437731,30.99321898683668,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,133.52,20.47,26.77,44.0,14.45,24.41,190.31,21.93,106.07,111.72,12438 -> 23876 -> 55755,59685.0,7470.0,5028.0,12.52,8.42,4930.1,3010.24,2167.73,47381.62,-45213.89,0.26,13.4,7500.0,698.38,OpenDART,73.21,3.0,False,,,,,,,,,111.72,2025.0,11011.0,3.0,OpenDART,49.25,16.09,27.45,4,0.33,-10.66,-10.19,,,,,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-07-07,4.5,0,0,20,20,15,10,3,5,73,A,28
009540.KS,009540,HD한국조선해양,255137,,"선박,해양구조물,엔진,펌프 전동기,중전기,중장비 제조/자동창고,물류시스템",KOSPI,주권,KRX,356500.0,416967.5,-14.50172975111969,479500.0,-25.651720542231494,25.90163934425992,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,84.96,21.88,33.42,7.0,1.87,17.78,133.86,17.21,172.26,212.72,3133 -> 16565 -> 30639,299332.0,39045.0,29284.0,13.04,9.78,44220.51,34183.5,37420.16,226338.6,-188918.44,3.45,40.11,12300.0,8697.9,OpenDART,141.18,2.0,False,,,,,,,,,212.72,2025.0,11011.0,2.0,OpenDART,12.67,1.48,11.49,17,0.08,-44.75,26.35,,,,,기타 금융업,기타 금융업,2026-07-07,4.5,15,3,16,20,15,10,3,5,87,S,29
005490.KS,005490,POSCO홀딩스,250007,,"열연코일,냉연강판,후판,선재,스테인리스 제조",KOSPI,주권,KRX,313500.0,347235.0,-9.71532247613288,535000.0,-41.401869158878505,28.025477707003873,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,-38.15,27.33,31.91,14.0,0.42,1.18,68.64,-4.94,-15.94,-36.54,20079 -> 13073 -> 8085,690949.0,18271.0,5044.0,2.64,0.73,45719.1,-16728.84,70498.0,428147.47,-357649.47,3.19,115.0,10000.0,7562.08,OpenDART,-12.42,5.0,True,,,,,,,,,-36.54,2025.0,11011.0,5.0,OpenDART,14.0,0.42,1.18,1,,,,,,,,1차 철강 제조업,1차 철강 제조업,2026-07-07,4.5,8,10,0,0,0,0,3,5,26,D,30
