yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
257720.KQ,257720,실리콘투,19935,30200.0,42044.75,-28.171769364783948,61800.0,-51.1326860841424,39.763779527515226,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,31.11,14.49,6.93,9.0,4.04,46.89,55.09,61.43,49.27,103.34,631 -> 1990 -> 2609,11163.0,2054.0,1686.0,18.4,15.1,,,,,,0.29,103.34,2026-06-26,4.25,12,0,20,20,15,10,5,3,85,S,37
183300.KQ,183300,코미코,18162,89200.0,61228.39,45.68405277355815,139200.0,-35.91954022988506,46.6602129719201,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,-10.74,15.48,22.84,37.52,6.38,18.52,178.59,19.13,-1.33,24.61,1563 -> 2719 -> 2427,6041.0,1110.0,772.0,18.37,12.78,,,,,,,24.61,2026-06-26,4.25,0,0,16,0,12,0,5,5,38,D,38
068760.KQ,068760,셀트리온제약,17472,39100.0,57912.285,-32.48410073959265,95047.0,-58.86245752101592,45.907473309562796,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,76.47,119.93,5.28,43.58,4.0,9.3,74.2,12.26,50.81,34.91,478 -> 493 -> 870,5364.0,561.0,388.0,10.46,7.23,,,,,,0.57,34.91,2026-06-26,4.25,0,0,6,20,15,10,5,3,59,B,39
035900.KQ,035900,JYP Ent.,17020,47700.0,67300.0,-29.123328380386333,85100.0,-43.94829612220917,44.76190476187492,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,64.27,25.19,18.72,12.0,2.54,29.21,36.19,36.57,20.97,23.33,2971 -> 2751 -> 4519,8219.0,1552.0,1606.0,18.88,19.54,,,,,,0.19,23.33,2026-06-26,4.25,12,3,20,20,12,10,5,5,87,S,40
140860.KQ,140860,파크시스템스,16910,240000.0,254462.5,-5.6835486564818,339500.0,-29.307805596465393,48.760330578509574,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,-19.61,42.01,36.02,32.0,7.32,16.69,55.44,17.42,9.61,18.19,3530 -> 6134 -> 4931,2056.0,422.0,345.0,20.53,16.78,,,,,,,18.19,2026-06-26,4.25,0,0,16,0,12,0,5,5,38,D,41
082920.KQ,082920,비츠로셀,16752,36950.0,27816.66,32.83406419030898,64100.0,-42.355694227769106,22.97650130546623,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,10.56,11.12,32.75,22.0,4.89,18.56,12.21,15.32,33.53,23.31,826 -> 1136 -> 1256,2431.0,693.0,569.0,28.51,23.41,,,,,,2.08,23.31,2026-06-26,4.25,4,0,16,0,12,5,1,5,43,C,42
218410.KQ,218410,RFHIC,16091,60400.0,55311.75,9.199220780394763,112500.0,-46.31111111111111,32.957110609470405,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,11.66,23.8,26.59,36.0,4.25,8.84,37.77,61.71,1960.0,28.82,652 -> 969 -> 1082,1858.0,309.0,355.0,16.63,19.11,,,,,,3.09,28.82,2026-06-26,4.25,0,0,6,0,15,5,3,3,32,D,43
058610.KQ,058610,에스피지,16056,72600.0,86258.25,-15.834137604229163,158100.0,-54.079696394686906,26.5060240963781,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,-30.29,103.2,8.43,169.56,6.01,3.57,66.09,-12.05,45.53,-8.86,496 -> 591 -> 412,3417.0,179.0,91.0,5.24,2.66,,,,,,,-8.86,2026-06-26,4.25,0,0,0,0,0,0,3,3,6,D,44
007390.KQ,007390,네이처셀,15335,23850.0,22457.0,6.202965667720533,37800.0,-36.904761904761905,32.39875389405273,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,,1126.55,8.72,,24.31,-4.45,18.57,-35.91,-700.0,,-,207.0,-36.0,-28.0,-17.39,-13.53,,,,,,,,2026-06-26,4.25,0,0,0,0,0,0,3,5,8,D,45
041510.KQ,041510,에스엠,15224,66400.0,106418.0,-37.604540585239334,153000.0,-56.60130718954248,44.67592592591145,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,1844.22,43.74,32.91,11.0,1.52,41.65,47.76,18.71,109.62,103.18,3664 -> 778 -> 15126,11749.0,1830.0,3594.0,15.58,30.59,,,,,,0.01,103.18,2026-06-26,4.25,12,6,20,20,15,10,5,3,91,S,46
