yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dart_source,dart_year,dart_fs_div,dart_report_code,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
263750.KQ,263750,펄어비스,23157,36800.0,44373.0,-17.066684695648256,72000.0,-48.888888888888886,43.589743589698884,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,296.2,96.6,7.89,6.0,2.35,-1.05,43.8,6.78,,,237 -> 939,3656.0,-148.0,-84.0,-4.05,-2.3,239.34,194.65,1338.75,3499.96,-2161.21,OpenDART,2025,CFS,11011,0.02,,2026-06-29,4.25,15,3,0,20,0,10,5,3,56,B,35
131970.KQ,131970,두산테스나,22612,117600.0,77968.25,50.83062656914834,190100.0,-38.13782219884271,46.729708431830936,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,-95.9,238.23,8.57,53.0,5.08,0.34,61.02,-18.55,-102.37,-83.42,2839 -> 1903 -> 78,3039.0,-9.0,15.0,-0.3,0.49,1472.18,1224.2,1095.47,2666.99,-1571.52,OpenDART,2025,OFS,11011,,-83.42,2026-06-29,4.25,0,0,0,0,0,0,5,5,10,D,36
420770.KQ,420770,기가비스,22245,174800.0,66363.5,163.39780150233184,175500.0,-0.39886039886039887,82.48081841430749,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,353.16,47.97,1.69,135.84,11.04,7.42,13.4,100.77,,-33.36,2745 -> 269 -> 1219,524.0,121.0,155.0,23.09,29.58,256.54,210.21,397.82,282.74,115.08,OpenDART,2025,CFS,11011,0.38,-33.36,2026-06-29,4.25,0,0,6,20,0,10,1,0,37,D,37
257720.KQ,257720,실리콘투,21410,32750.0,41983.5,-21.993163981087807,61800.0,-47.006472491909385,47.781569965824644,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,31.11,14.49,7.36,10.0,4.34,46.89,55.09,61.43,49.27,103.34,631 -> 1990 -> 2609,11163.0,2054.0,1686.0,18.4,15.1,11.41,-58.98,773.23,2520.18,-1746.95,OpenDART,2025,CFS,11011,0.32,103.34,2026-06-29,4.25,12,0,20,20,15,10,5,3,85,S,38
068760.KQ,068760,셀트리온제약,19137,42950.0,57874.3,-25.787439329719756,95047.0,-54.81182993676813,51.43769968046516,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,76.47,119.93,5.24,47.73,4.38,9.3,74.2,12.26,50.81,34.91,478 -> 493 -> 870,5364.0,561.0,388.0,10.46,7.23,864.3,685.07,498.72,3234.77,-2736.05,OpenDART,2025,OFS,11011,0.62,34.91,2026-06-29,4.25,0,0,6,20,15,10,5,3,59,B,39
035900.KQ,035900,JYP Ent.,18832,53000.0,67201.5,-21.132712811469982,85100.0,-37.72032902467685,48.898678414066765,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,64.27,25.19,18.85,14.0,2.81,29.21,36.19,36.57,20.97,23.33,2971 -> 2751 -> 4519,8219.0,1552.0,1606.0,18.88,19.54,1243.33,1018.25,2944.72,2261.42,683.3,OpenDART,2025,CFS,11011,0.22,23.33,2026-06-29,4.25,8,3,20,20,12,10,5,5,83,A,40
183300.KQ,183300,코미코,18634,91500.0,61471.8,48.84874039803616,139200.0,-34.26724137931034,45.28301886791824,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,-10.74,15.48,23.49,38.5,6.54,18.52,178.59,19.13,-1.33,24.61,1563 -> 2719 -> 2427,6041.0,1110.0,772.0,18.37,12.78,382.21,-1815.01,991.19,6604.31,-5613.12,OpenDART,2025,CFS,11011,,24.61,2026-06-29,4.25,0,0,16,0,12,0,5,5,38,D,41
082920.KQ,082920,비츠로셀,18045,39600.0,27944.63,41.708800581721775,64100.0,-38.22152886115445,31.7129629629424,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,10.56,11.12,33.13,23.0,5.27,18.56,12.21,15.32,33.53,23.31,826 -> 1136 -> 1256,2431.0,693.0,569.0,28.51,23.41,635.86,521.59,243.75,403.47,-159.72,OpenDART,2025,CFS,11011,2.18,23.31,2026-06-29,4.25,4,0,16,0,12,5,3,5,45,C,42
058610.KQ,058610,에스피지,17697,80700.0,86530.5,-6.738086570631165,158100.0,-48.95635673624288,36.07705779333616,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,-30.29,103.2,8.86,186.89,6.63,3.57,66.09,-12.05,45.53,-8.86,496 -> 591 -> 412,3417.0,179.0,91.0,5.24,2.66,283.71,232.87,420.24,1704.88,-1284.64,OpenDART,2025,CFS,11011,,-8.86,2026-06-29,4.25,0,0,0,0,0,0,5,3,8,D,43
083650.KQ,083650,비에이치아이,17236,56200.0,68083.25,-17.45399933170053,109500.0,-48.67579908675799,44.40894568689103,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,232.86,26.53,14.41,21.0,9.42,44.36,367.65,91.28,244.75,180.92,267 -> 633 -> 2107,7741.0,755.0,652.0,9.75,8.42,1122.98,938.15,599.51,6531.11,-5931.6,OpenDART,2025,CFS,11011,0.09,180.92,2026-06-29,4.25,4,0,20,20,15,10,5,3,77,A,44
