yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
PFE,PFE,"Pfizer, Inc.",143.68,25.079999923706055,25.878150033950806,-3.084262627728874,31.389999389648438,-20.101941983545395,41.93549452473017,daily_close,-10.1,27.66,69.39,19.145039,1.5863377,8.31,71.602,5.4,16.53,91.72,0.37 -> 1.41 -> 1.36,62579000000.0,17407000000.0,7771000000.0,27.82,12.42,11704000000.0,9075000000.0,1142000000.0,63961000000.0,-62819000000.0,,91.72,2026-06-22,4.51,4,6,6,0,15,0,5,5,41,C,52
COP,COP,ConocoPhillips,131.26,109.69999694824219,105.19865036010742,4.278901461878193,133.8000030517578,-18.011962297334946,40.23255199042827,daily_close,,,,,,,,,,,-,,,,,,,,,,,,,2026-06-22,4.51,0,0,0,0,0,0,5,5,10,D,53
LOW,LOW,"Lowe's Companies, Inc.",124.59,214.39999389648438,245.3116007232666,-12.600955982368431,287.3900146484375,-25.397549334217956,57.011301007882615,daily_close,,,,,,,,,,,-,,,,,,,,,,,,,2026-06-22,4.51,0,0,0,0,0,0,3,5,8,D,54
CRM,CRM,세일즈포스,124.31,150.1199951171875,215.84325080871582,-30.449530131369944,367.8699951171875,-59.19210669264675,0.0,daily_close,52.2,233.06,94.3,17.56713,3.6310136,16.91,124.282,13.3,16.32,36.28,4.2 -> 6.36 -> 7.8,41525000000.0,8917000000.0,7457000000.0,21.47,17.96,14996000000.0,14402000000.0,7327000000.0,17176000000.0,-9849000000.0,0.34,36.28,2026-06-22,4.51,8,0,16,20,15,10,1,3,73,A,55
SPGI,SPGI,S&P Global Inc.,121.63,407.69,468.20714874267577,-12.925293623813438,564.1500244140625,-27.733761879486757,39.80938484813702,postMarketPrice,32.5,39.8,91.01,25.974716,3.9018555,13.94,38.392,10.4,12.76,33.46,8.23 -> 12.35 -> 14.66,15336000000.0,6177000000.0,4471000000.0,40.28,29.15,5651000000.0,5456000000.0,1745000000.0,13582000000.0,-11837000000.0,0.8,33.46,2026-06-22,4.51,0,0,12,16,15,10,5,5,63,B,56
SYK,SYK,Stryker Corporation,118.0,304.69000244140625,350.2592504882812,-13.010148335368408,403.5299987792969,-24.49384101228848,53.43311949599988,daily_close,,,,,,,,,,,-,,,,,,,,,,,,,2026-06-22,4.51,0,0,0,0,0,0,5,5,10,D,57
LMT,LMT,Lockheed Martin Corporation,117.81,493.13,538.6546516418457,-8.451547109652603,676.7000122070312,-27.127236426126945,40.838532933936236,postMarketPrice,,,,,,,,,,,-,,,,,,,,,,,,,2026-06-22,4.51,0,0,0,0,0,0,5,5,10,D,58
MDT,MDT,Medtronic plc.,101.56,79.2699966430664,91.84939987182617,-13.6956836368164,105.3499984741211,-24.755578745889743,64.33601563174773,daily_close,18.3,25.93,89.72,21.25201,2.0516071,9.84,58.212,9.9,4.4,13.14,2.82 -> 2.76 -> 3.61,36364000000.0,6828000000.0,4801000000.0,18.78,13.2,7330000000.0,5426000000.0,1949000000.0,27961000000.0,-26012000000.0,1.16,13.14,2026-06-22,4.51,4,3,6,10,8,8,3,5,47,C,59
NOW,NOW,"ServiceNow, Inc.",98.02,93.1,136.3228899002075,-31.706259991882497,234.0780029296875,-60.22693340050178,9.765265410777388,postMarketPrice,,,,,,,,,,,-,,,,,,,,,,,,,2026-06-22,4.51,0,0,0,0,0,0,1,1,2,D,60
CMCSA,CMCSA,Comcast Corporation,80.13,22.31999969482422,27.866557035446167,-19.90399220673995,42.3055305480957,-47.24094130092665,23.69941935222363,daily_close,-32.6,11.82,93.63,4.3980393,0.90886986,20.92,106.858,5.3,-11.28,20.53,3.71 -> 4.14 -> 5.39,123707000000.0,20670000000.0,19998000000.0,16.71,16.17,33643000000.0,19235000000.0,9481000000.0,98937000000.0,-89456000000.0,,20.53,2026-06-22,4.51,15,8,20,0,12,0,1,3,59,B,61
ACN,ACN,Accenture plc,78.32,124.83000183105469,225.46059978485107,-44.63334083641423,398.25,-68.65536677186323,5.406420258238697,daily_close,9.0,26.05,85.55,10.222045,2.5211773,24.41,25.035,5.6,8.04,6.21,10.77 -> 11.44 -> 12.15,69672977000.0,10840988000.0,7678433000.0,15.56,11.02,11474399000.0,10874360000.0,11478729000.0,8182866000.0,3295863000.0,1.14,6.21,2026-06-22,4.51,12,3,20,10,4,5,1,1,56,B,62
ADBE,ADBE,어도비,77.58,194.7516,294.5309001159668,-33.87736229939891,586.5499877929688,-66.79710100535534,6.082831340170841,postMarketPrice,7.9,36.73,88.16,11.158377,6.760661,62.95,61.443,12.7,12.47,18.86,11.82 -> 12.36 -> 16.7,23769000000.0,8706000000.0,7130000000.0,36.63,30.0,10031000000.0,9852000000.0,5431000000.0,6648000000.0,-1217000000.0,1.41,18.86,2026-06-22,4.51,12,0,20,10,12,5,1,1,61,B,63
INTU,INTU,Intuit Inc.,73.03,257.848,521.2685507202149,-50.53451821642755,807.3900146484375,-68.06400929886718,11.159650897531236,postMarketPrice,,,,,,,,,,,-,,,,,,,,,,,,,2026-06-22,4.51,0,0,0,0,0,0,1,1,2,D,64
NKE,NKE,"Nike, Inc.",66.94,43.189998626708984,58.60069986343384,-26.297810900959828,97.16999816894531,-55.552125717223554,39.296880521665166,daily_close,-34.8,27.79,82.52,28.414473,4.536764,16.02,79.333,0.1,-41.34,-18.22,3.23 -> 3.73 -> 2.16,46309000000.0,3702000000.0,3219000000.0,7.99,6.95,3698000000.0,3268000000.0,7464000000.0,11018000000.0,-3554000000.0,,-18.22,2026-06-22,4.51,0,0,16,0,0,0,5,3,24,D,65
EL,EL,"Estee Lauder Companies, Inc. (T",30.68,84.15,93.12089988708496,-9.63360523573413,119.61000061035156,-29.646350998582555,47.81158088251216,postMarketPrice,,,,,,,,,,,-,,,,,,,,,,,,,2026-06-22,4.51,0,0,0,0,0,0,5,5,10,D,66
ABV,ABV,ABV,0.0,,,,,,,,,,0.0,,,,,,,,-,,,,,,,,,,,,,2026-06-22,4.51,0,0,0,0,0,0,1,0,1,D,67
ABBV,ABBV,ABBV,0.0,229.7,220.65819946289062,4.097649921515824,244.3800048828125,-6.007040097184714,66.7648373993247,postMarketPrice,-46.2,60.33,76.85,106.12255,-57.47014,,,12.4,68.92,-6.85,2.72 -> 2.39 -> 2.36,61160000000.0,20091000000.0,4226000000.0,32.85,6.91,19030000000.0,17816000000.0,5229000000.0,67496000000.0,-62267000000.0,,-6.85,2026-06-22,4.51,0,0,0,0,0,0,1,0,1,D,68
BKNG,BKNG,BKNG,0.0,167.77000427246094,190.43596405029297,-11.902142481787783,232.6367950439453,-27.883289382159422,48.183608810167186,daily_close,,,,,,,,,,,-,,,,,,,,,,,,,2026-06-22,4.51,0,0,0,0,0,0,5,5,10,D,69
ISRG,ISRG,ISRG,0.0,402.95001220703125,490.49840087890624,-17.84886322055285,610.4500122070312,-33.991317200535555,44.69878638039534,daily_close,18.8,72.94,89.29,49.486618,8.249945,17.23,,23.0,25.4,25.08,5.03 -> 6.42 -> 7.87,10064700000.0,2945500000.0,,29.27,,3030500000.0,2490700000.0,3368000000.0,87000000.0,3281000000.0,2.63,25.08,2026-06-22,4.51,0,0,16,0,15,8,5,5,49,C,70
BLK,BLK,BLK,0.0,1051.739990234375,1069.430103149414,-1.6541626108094911,1202.5899658203125,-12.543758044999109,59.48608010197117,daily_close,,,,,,,,,,,-,,,,,,,,,,,,,2026-06-22,4.51,0,0,0,0,0,0,3,5,8,D,71
TJX,TJX,TJX,0.0,164.97,152.4948003387451,8.180737725839203,168.41000366210938,-2.0426361779620006,75.33271093079323,postMarketPrice,29.3,27.36,94.02,31.86965,17.797695,61.25,136.307,9.2,13.9,12.32,3.86 -> 4.26 -> 4.87,60372000000.0,7178000000.0,5494000000.0,11.89,9.1,6874000000.0,4917000000.0,6230000000.0,13489000000.0,-7259000000.0,1.09,12.32,2026-06-22,4.51,0,0,20,10,8,8,1,0,47,C,72
VRTX,VRTX,VRTX,0.0,466.7900085449219,439.9837492370605,6.092556680637381,516.739990234375,-9.666366573796152,64.51283884010255,daily_close,,,,,,,,,,,-,,,,,,,,,,,,,2026-06-22,4.51,0,0,0,0,0,0,3,0,3,D,73
C,C,C,0.0,145.6699981689453,113.5632498550415,28.272128839995915,145.6699981689453,0.0,78.84484385087761,daily_close,56.1,11.47,81.59,17.705446,1.2747605,7.65,,15.9,,31.54,4.04 -> 5.94 -> 6.99,85213000000.0,,14306000000.0,,16.79,-67632000000.0,-74152000000.0,349579000000.0,367705000000.0,-18126000000.0,0.32,31.54,2026-06-22,4.51,8,6,6,20,15,10,1,0,66,B,74
