yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,cagr,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
012450.KS,012450,한화에어로스페이스,559462,,"항공기엔진,특수방산장비 제조/정비사업",KOSPI,주권,KRX,1086000.0,1037600.0,1049250.0,1215275.0,1148505.0,-5.4422923713871505,1537000.0,-29.34287573194535,65.61338289962654,13.36,-13.19,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,-38.13,15.96,45.64,26.0,6.08,19.14,221.38,137.57,78.38,34.11,15886 -> 46183 -> 28573,267029.0,30893.0,22020.0,11.57,8.25,40498.05,20557.23,77133.55,371654.85,-294521.3,0.64,25.63,7000.0,3601.42,OpenDART,91.29,4.0,False,4.0,OpenDART,,4.0,,,1632222.0,,,50.3,,,Naver/FnGuide,,KRW,2026-08-19,2025.0,CFS,11011.0,OpenDART,34.11,2025.0,11011.0,2,1,1,1,,,,,,,"항공기,우주선 및 부품 제조업","항공기,우주선 및 부품 제조업",2026-08-21,4.25,0,0,16,0,15,0,1,5,37,D,12
000270.KS,000270,기아,511050,,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비",KOSPI,주권,KRX,131200.0,131660.0,145895.0,153564.16666666666,145629.0,-9.908054027700526,206000.0,-36.310679611650485,48.18840579707701,-12.42,-21.44,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,-21.72,5.03,39.32,6.0,0.83,12.92,61.76,6.23,-28.33,-6.31,21770 -> 24413 -> 19111,1141409.0,90781.0,75542.0,7.95,6.62,90541.4,40610.71,139981.06,377885.91,-237904.85,5.18,34.9,6800.0,26424.99,OpenDART,24.78,0.0,False,3.0,OpenDART,,4.0,,,217800.0,,,66.01,,,Naver/FnGuide,,KRW,2026-08-20,2025.0,CFS,11011.0,OpenDART,-6.31,2025.0,11011.0,2,1,1,1,,,,,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,2026-08-21,4.25,15,8,12,0,0,0,5,5,45,C,13
055550.KS,055550,신한지주,488697,,금융지주회사,KOSPI,주권,KRX,103900.0,104075.0,102126.66666666667,98698.33333333333,92015.0,12.916372330598271,110000.0,-5.545454545454546,55.82191780819242,0.1,8.23,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,15.39,5.95,62.2,8.0,0.83,8.72,1201.94,-12.67,8.74,9.58,8398 -> 8740 -> 10085,646820.0,70234.0,50845.0,10.86,7.86,97308.81,90892.48,352951.23,7256411.61,-6903460.38,2.49,25.06,2590.0,12457.3,OpenDART,7.84,5.0,False,5.0,OpenDART,,4.0,,,137000.0,,,31.86,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,9.58,2025.0,11011.0,18,17,17,16,0.52,8.0,1.03,9.04,0.0,-19.42,기타 금융업,기타 금융업,2026-08-21,4.25,15,8,6,20,8,8,3,0,68,B,14
329180.KS,329180,HD현대중공업,475474,,"선박, 해양플랜트 및 엔진기계 등",KOSPI,주권,KRX,455500.0,484525.0,558391.6666666666,568641.6666666666,566910.0,-19.65214937115239,745000.0,-38.85906040268456,42.553191489358525,-8.53,-38.86,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,124.28,179.12,13.83,15.0,4.89,18.82,180.07,21.36,188.93,651.55,278 -> 7001 -> 15702,175806.0,20375.0,14155.0,11.59,8.05,35103.92,29689.02,18699.18,168214.24,-149515.06,1.24,40.0,5661.0,5670.22,OpenDART,170.86,2.0,False,2.0,OpenDART,,4.0,,,874105.0,,,91.9,,,Naver/FnGuide,,KRW,2026-08-21,2025.0,CFS,11011,OpenDART,651.55,2025.0,11011,3,2,2,2,0.12,,,,,,선박 및 보트 건조업,선박 및 보트 건조업,2026-08-21,4.25,8,0,16,20,15,10,5,5,79,A,15
034020.KS,034020,두산에너빌리티,469531,,"기관,터어빈,선박용엔진,주단조품,제강제품 제조/종합건설",KOSPI,주권,KRX,73400.0,73595.0,82998.33333333333,95589.16666666667,91230.5,-19.544450594921656,136400.0,-46.18768328445748,60.33333333330518,0.27,-34.81,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,-24.14,284.35,24.0,149.0,5.84,1.11,129.1,5.08,-25.05,23.18,87 -> 174 -> 132,170579.0,7627.0,2052.0,4.47,1.2,7518.01,536.28,30809.97,155038.53,-124228.56,,,,,,,,,,,,4.0,,,129375.0,,,76.26,,,Naver/FnGuide,,KRW,2026-08-21,2025.0,CFS,11011,OpenDART,23.18,,,1,0,0,0,,,,,,,일반 목적용 기계 제조업,일반 목적용 기계 제조업,2026-08-21,4.25,0,0,0,0,12,0,3,3,18,D,16
012330.KS,012330,현대모비스,450033,,"자동차A/S용 부품,컨테이너,특수중기,산업기계제품 생산,판매,부품모듈화,부품수출사업,환경/플랜트사업,특수중기부문(컨테이너)",KOSPI,주권,KRX,500000.0,491050.0,541150.0,498137.5,448965.0,11.367255799449847,768000.0,-34.89583333333333,55.319148936166094,-4.58,-24.7,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,-8.74,7.12,37.57,11.0,0.9,7.68,43.05,6.78,9.24,4.5,36340 -> 43480 -> 39682,611181.0,33575.0,36647.0,5.49,6.0,44725.15,29568.58,49223.78,211877.37,-162653.59,1.3,15.9,6500.0,5797.54,OpenDART,17.57,5.0,False,5.0,OpenDART,,4.0,,,737200.0,,,47.44,,,Naver/FnGuide,,KRW,2026-08-19,2025.0,CFS,11011.0,OpenDART,4.5,2025.0,11011.0,1,0,0,0,,,,,,,자동차 신품 부품 제조업,자동차 신품 부품 제조업,2026-08-21,4.25,12,8,6,0,4,0,3,5,38,D,17
068270.KS,068270,셀트리온,447322,,"램시마, 트룩시마, 허쥬마",KOSPI,주권,KRX,192200.0,191775.0,179874.63333333333,186074.25,187630.795,2.4352105953609517,236861.0,-18.855362427752986,55.49019607841614,11.61,3.41,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,148.85,65.74,25.53,29.0,2.55,5.94,28.71,17.01,137.5,15.32,3187 -> 1703 -> 4238,41625.0,11685.0,10315.0,28.07,24.78,6460.51,3143.17,11192.06,49823.7,-38631.64,,15.92,,1639.6,OpenDART,-50.0,0.0,True,2.0,OpenDART,,4.0,,,275338.0,,,43.26,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,15.32,2025.0,11011.0,2,1,1,1,0.19,,,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-21,4.25,0,3,6,20,12,10,3,5,59,B,18
034730.KS,034730,SK,424865,,"지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매",KOSPI,주권,KRX,588000.0,547175.0,624191.6666666666,514462.5,422035.0,39.32493750518322,858000.0,-31.46853146853147,54.94880546074822,-10.23,-10.37,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,,11.73,29.92,4.0,1.03,6.35,149.17,-0.56,-24.1,,-,1227033.0,18185.0,35552.0,1.48,2.9,60987.98,-39820.79,252141.32,1278283.33,-1026142.01,1.36,27.6,8000.0,4407.19,OpenDART,16.96,5.0,True,5.0,OpenDART,,4.0,,,849818.0,,,44.53,,,Naver/FnGuide,,KRW,2026-08-19,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,18,17,17,16,,8.0,0.96,9.04,-50.0,7.29,기타 금융업,기타 금융업,2026-08-21,4.25,15,8,6,0,0,0,5,5,39,D,19
006400.KS,006400,삼성SDI,385198,,"2차전지, 전자재료 제조 판매",KOSPI,주권,KRX,490500.0,443325.0,483816.6666666667,498462.5,428772.5,14.396329055618073,712000.0,-31.109550561797754,66.53061224489416,5.03,-23.6,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,-70.17,22.94,26.3,59.0,1.69,-3.15,79.27,-20.04,-574.1,,27788 -> 8288,132667.0,-17224.0,-5849.0,-12.98,-4.41,7923.86,-23367.18,18039.94,186852.25,-168812.31,,,,,,0.0,0.0,True,4.0,OpenDART,,3.95,,,694842.0,,,41.66,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,,,,3,1,2,2,,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-08-21,4.25,0,6,0,0,0,0,1,5,12,D,20
086790.KS,086790,하나금융지주,353385,,기타 금융,KOSPI,주권,KRX,128400.0,128395.0,124555.0,120817.5,112142.0,14.497690428207093,136800.0,-6.140350877192982,54.644808743148495,-1.61,7.0,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,9.62,4.94,68.26,8.0,0.76,9.17,1377.89,-15.53,10.21,10.23,11613 -> 12872 -> 14110,689436.0,53509.0,40366.0,7.76,5.85,-19624.71,-39700.46,365650.97,6289451.22,-5923800.25,3.2,28.0,4105.0,11177.79,OpenDART,7.01,5.0,False,5.0,OpenDART,,4.0,,,164737.0,,,28.3,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,10.23,2025.0,11011.0,18,17,17,16,0.83,8.0,1.03,8.82,0.0,-26.21,기타 금융업,기타 금융업,2026-08-21,4.25,15,10,6,16,8,5,5,0,65,B,21
035420.KS,035420,NAVER,348490,,포털 서비스 및 온라인 광고,KOSPI,주권,KRX,221500.0,215385.0,216290.0,214308.33333333334,230072.5,-3.725999413228439,290500.0,-23.752151462994835,57.52688172042144,0.68,10.75,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,3.89,24.18,35.17,17.0,1.06,7.36,41.9,12.08,11.56,41.51,6180 -> 11913 -> 12376,120350.0,22081.0,18187.0,18.35,15.11,30958.07,17763.67,59840.19,121314.83,-61474.64,1.19,20.2,2630.0,3935.96,OpenDART,42.23,5.0,True,5.0,OpenDART,,4.0,,,330565.0,,,49.24,,,Naver/FnGuide,,KRW,2026-08-19,2025.0,CFS,11011.0,OpenDART,41.51,2025.0,11011.0,2,1,1,1,4.37,,,,,,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2026-08-21,4.25,8,8,6,0,15,2,3,5,47,C,22
066570.KS,066570,LG전자,316810,,"이동통신단말기,C-TV,V.C.R.,컴퓨터,완전평면 TV,플라즈마 디스플레이 패널 TV,전자제품(세탁기외),CDMA(코드분할다중접속)이동통신,전자교환기,전송기기",KOSPI,주권,KRX,193500.0,181415.0,208735.0,173397.5,142848.0,35.45866935483871,392500.0,-50.70063694267516,65.11194029849895,3.2,-19.21,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,161.86,28.06,28.72,16.0,1.44,4.28,140.33,1.68,-27.53,16.18,3942 -> 2032 -> 5321,892009.0,24784.0,12204.0,2.78,1.37,42805.0,3731.2,87698.41,400681.42,-312983.01,0.7,25.4,1350.0,2439.48,OpenDART,24.47,5.0,True,5.0,OpenDART,,4.0,,,230000.0,,,18.86,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,16.18,2025.0,11011.0,2,1,1,1,0.1,,,,,,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,2026-08-21,4.25,8,6,0,20,12,10,1,3,60,B,23
000810.KS,000810,삼성화재,295119,,"손해보험의 원수,재보험,운용자산의 투자활동",KOSPI,주권,KRX,652000.0,627400.0,639900.0,563537.5,537360.0,21.333928837278545,730000.0,-10.684931506849315,57.923497267755124,2.19,12.22,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,-0.74,9.42,58.06,14.0,1.11,10.97,352.98,9.36,0.36,6.39,35961 -> 41007 -> 40703,247785.0,26591.0,20203.0,10.73,8.15,34131.66,33305.3,20198.04,751580.1,-731382.06,2.99,41.1,19500.0,8289.49,OpenDART,12.22,5.0,False,5.0,OpenDART,,3.87,,,736667.0,,,12.99,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,6.39,2025.0,11011.0,3,2,2,2,,,,,,,보험업,보험업,2026-08-21,4.25,8,8,12,0,4,0,3,5,40,C,24
010120.KS,010120,LS ELECTRIC,280500,,"고압기기,저압기기,변압기,배전반,PLC,인버터,빌딩설비,공조기,건축배관,자동화기기 제조,동가공",KOSPI,주권,KRX,188100.0,195750.0,214793.33333333334,207527.5,165903.0,13.379504891412452,318500.0,-40.94191522762951,51.167728237784324,-15.84,-34.0,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,20.11,26.34,18.38,52.0,13.45,14.67,131.48,9.1,9.42,17.98,1373 -> 1591 -> 1911,49658.0,4264.0,2843.0,8.59,5.73,2999.48,903.82,7627.17,28153.81,-20526.64,,31.1,,892.15,OpenDART,,0.0,False,0.0,OpenDART,,4.0,,,297500.0,,,58.16,,,Naver/FnGuide,,KRW,2026-08-21,2025.0,CFS,11011,OpenDART,17.98,2025.0,11011,4,3,3,3,2.59,28.0,11.24,29.21,85.71,19.66,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-08-21,4.25,0,0,12,0,12,8,5,5,42,C,25
267260.KS,267260,HD현대일렉트릭,258818,,"변압기, 고압차단기, 회전기, 배전반 등",KOSPI,주권,KRX,719000.0,736150.0,880033.3333333334,971800.0,928160.0,-22.534907774521635,1420000.0,-49.36619718309859,55.70469798657455,-17.26,-37.37,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,46.07,25.65,34.49,28.0,13.02,41.5,134.63,22.79,48.77,68.14,7189 -> 13914 -> 20324,40795.0,9953.0,7318.0,24.4,17.94,9595.73,7176.58,9507.82,27368.8,-17860.98,,34.88,,2555.48,OpenDART,227.11,0.0,False,3.0,OpenDART,,4.0,,,1193929.0,,,66.05,,,Naver/FnGuide,,KRW,2026-08-19,2025.0,CFS,11011.0,OpenDART,68.14,2025.0,11011.0,4,3,3,3,0.61,35.0,11.24,24.41,-20.0,15.84,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-08-21,4.25,0,0,20,20,15,10,3,3,71,A,26
010130.KS,010130,고려아연,258198,,"연,아연괴 제조,판매",KOSPI,주권,KRX,1250000.0,1117350.0,1136616.6666666667,1365625.0,1379865.0,-9.411427929543832,2115000.0,-40.8983451536643,65.69920844327055,19.85,-13.43,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,319.09,54.23,27.85,20.0,2.21,8.48,82.36,37.63,70.27,21.41,26127 -> 9190 -> 38514,165879.0,12319.0,7702.0,7.43,4.64,-6282.11,-15712.09,34510.7,92115.02,-57604.32,1.6,52.6,20000.0,4078.65,OpenDART,0.0,5.0,True,5.0,OpenDART,,4.0,,,1564600.0,,,25.17,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,21.41,2025.0,11011.0,1,0,0,0,0.06,,,,,,1차 비철금속 제조업,1차 비철금속 제조업,2026-08-21,4.25,4,3,6,20,12,10,1,5,61,B,27
042660.KS,042660,한화오션,258000,,선박 제조,KOSPI,주권,KRX,84300.0,87550.0,98926.66666666667,112785.83333333333,118638.0,-28.94350882516563,149900.0,-43.762508338892594,48.842592592576764,-6.23,-37.42,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,135.85,27.59,9.97,14.0,4.05,22.59,226.17,18.63,390.79,131.76,757 -> 1724 -> 4066,127835.0,11676.0,12459.0,9.13,9.75,13146.72,5980.49,7784.71,139659.07,-131874.36,,,,,,,,,,,,4.0,,,141050.0,,,67.32,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,131.76,,,3,2,2,2,0.1,,,,,,선박 및 보트 건조업,선박 및 보트 건조업,2026-08-21,4.25,8,0,20,20,15,10,5,5,83,A,28
