yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,peer_pbr_avg,peer_roe_avg,peer_pbr_gap,cagr,peer_per_avg,peer_per_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
000250.KQ,000250,삼천당제약,44967,중견기업부,"하메론, 아토로우",KOSDAQ,주권,KRX,190100.0,166380.0,235966.66666666666,435983.3333333333,371342.5,-48.807367861206295,1184000.0,-83.94425675675676,65.62248995983197,2.81,-53.06,nxt_web_latest,NXT 체결가,2026-08-11 21:14 KST,,,,1036.5,5.45,363.07,12.43,1.94,54.36,9.91,226.92,,-,2318.0,85.0,120.0,3.67,5.18,97.93,-497.95,959.44,1976.38,-1016.94,0.03,22.1,50.0,11.63,OpenDART,-75.0,2.0,True,2.0,OpenDART,,,,,,,,,,,,,KRW,2026-08-03,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,7,5,6,6,,3.9,9.66,218.72,,21.25,1608.56,의약품 제조업,의약품 제조업,2026-08-11,4.7,0,0,0,0,0,0,1,1,2,D,11
214450.KQ,214450,파마리서치,43324,우량기업부,재생의약품,KOSDAQ,주권,KRX,417500.0,362400.0,326533.3333333333,322679.1666666667,371650.0,12.336876093098345,711000.0,-41.27988748241913,68.86227544909795,26.32,18.95,nxt_web_latest,NXT 체결가,2026-08-11 21:14 KST,,,65.07,24.5,4.89,22.0,6.8,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,5363.0,2144.0,1683.0,39.98,31.38,1831.62,1473.8,1756.63,3200.1,-1443.47,0.89,25.9,3700.0,427.91,OpenDART,77.64,5.0,False,5.0,OpenDART,,4.0,,,494000.0,,,18.32,,,Naver/FnGuide,,KRW,2026-08-10,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,3,1,2,2,0.34,,,,37.82,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-08-11,4.7,4,0,20,20,15,10,1,5,75,A,12
141080.KQ,141080,리가켐바이오,43275,기술성장기업부,ADC 신약연구개발,KOSDAQ,주권,KRX,116400.0,100680.0,127991.66666666667,159396.66666666666,164047.5,-29.04494125177159,213500.0,-45.48009367681499,64.30348258705348,2.74,-40.58,nxt_web_latest,NXT 체결가,2026-08-11 21:14 KST,,,,483.55,11.07,-50.0,8.91,-13.22,29.7,12.47,,,-,1416.0,-1065.0,-916.0,-75.21,-64.69,-1245.33,-1305.74,986.5,1606.95,-620.45,,,,,,,,,,,,4.0,,,224000.0,,,92.44,,,Naver/FnGuide,,KRW,2026-08-07,2025.0,CFS,11011.0,OpenDART,,,10,2,9,9,,23.09,-31.49,-61.41,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-08-11,4.7,0,0,0,0,0,0,3,3,6,D,13
087010.KQ,087010,펩트론,42997,기술성장기업부,약효지속성 의약품 및 펩타이드 소재,KOSDAQ,주권,KRX,182000.0,139710.0,193578.33333333334,236710.0,251398.5,-27.604977754441652,386000.0,-52.84974093264248,81.12480739598509,68.21,-31.71,nxt_web_latest,NXT 체결가,2026-08-11 21:14 KST,,,,,4.02,,31.08,-9.41,26.03,75.0,,,-,56.0,-213.0,-138.0,-380.36,-246.43,-205.86,-235.83,43.78,369.71,-325.93,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-08-07,2025.0,OFS,11011.0,OpenDART,,,8,2,7,7,,11.9,-23.48,161.18,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-11,4.7,0,0,0,0,0,0,1,3,4,D,14
222800.KQ,222800,심텍,42671,중견기업부,반도체용 인쇄회로기판,KOSDAQ,주권,KRX,110900.0,96915.0,112110.0,89943.33333333333,75409.75,47.06321132214335,157300.0,-29.497774952320405,58.41073271412985,2.59,1.0,nxt_web_latest,NXT 체결가,2026-08-11 21:14 KST,,,,,9.89,23.0,6.88,-32.1,181.13,14.55,,,-,14106.0,119.0,-1646.0,0.84,-11.67,-1986.12,-2550.05,539.84,10439.64,-9899.8,0.09,,100.0,37.33,OpenDART,-41.52,5.0,True,5.0,OpenDART,,4.0,,,171111.0,,,54.29,,,Naver/FnGuide,,KRW,2026-08-07,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,8,6,7,7,,3.45,12.5,99.42,,20.96,9.73,전자부품 제조업,전자부품 제조업,2026-08-11,4.7,4,0,0,0,0,0,3,5,12,D,15
319660.KQ,319660,피에스케이,37396,우량기업부,"드라이스트립, 드라이클리닝",KOSDAQ,주권,KRX,130800.0,144990.0,146090.0,113055.83333333333,83470.75,56.70159906314487,211500.0,-38.156028368794324,38.66995073891181,-29.14,19.13,nxt_web_latest,NXT 체결가,2026-08-11 21:14 KST,,,-0.73,10.42,21.79,24.0,6.41,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,4572.0,885.0,785.0,19.36,17.17,617.31,431.97,1194.22,1069.62,124.6,0.52,25.1,680.0,196.97,OpenDART,19.35,5.0,True,5.0,OpenDART,,4.0,,,182857.0,,,39.8,,,Naver/FnGuide,,KRW,2026-08-03,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,19,15,18,18,,6.61,8.16,-3.03,22.31,28.0,-14.29,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-11,4.7,4,0,16,0,12,0,5,5,42,C,16
108490.KQ,108490,로보티즈,35699,기술성장기업부,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",KOSDAQ,주권,KRX,242500.0,208360.0,257093.33333333334,265780.0,260315.5,-6.843810683574356,405000.0,-40.123456790123456,56.07902735561912,17.72,-28.89,nxt_web_latest,NXT 체결가,2026-08-11 21:14 KST,,,,691.83,6.32,570.0,9.55,2.49,1.79,29.67,,,-,389.0,33.0,53.0,8.48,13.62,70.75,46.35,310.38,56.29,254.09,,,,,,,,,,,,4.0,,,398000.0,,,64.12,,,Naver/FnGuide,,KRW,2026-08-04,2025.0,CFS,11011.0,OpenDART,,,19,15,18,18,,6.42,8.98,48.75,,26.0,2092.31,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-11,4.7,0,0,0,0,0,0,3,5,8,D,17
214370.KQ,214370,케어젠,35451,벤처기업부,"성장인자, 바이오미메틱펩타이드 기반 안면, 두피, 바디 코스메슈티컬 제품",KOSDAQ,주권,KRX,65400.0,59970.0,70943.33333333333,89970.0,84728.0,-22.811821357756585,150100.0,-56.429047301798796,62.24719101121637,2.83,-35.76,nxt_web_latest,NXT 체결가,2026-08-11 21:14 KST,,,-37.87,92.25,4.39,160.92,15.95,9.23,8.85,-11.86,-40.35,-29.05,743 -> 602 -> 374,728.0,204.0,201.0,28.02,27.61,185.89,136.68,88.59,187.99,-99.4,0.67,106.3,437.0,213.57,OpenDART,-45.5,4.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-08-10,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,8,1,7,7,,11.9,-23.48,34.03,-29.05,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-11,4.7,0,0,6,0,0,0,3,3,12,D,18
145020.KQ,145020,휴젤,35355,우량기업부,"보툴리눔톡신, 필러",KOSDAQ,주권,KRX,282500.0,244725.0,249716.66666666666,254300.0,248970.0,13.46748604249508,388000.0,-27.190721649484534,74.79674796747116,15.31,-1.05,nxt_web_latest,NXT 체결가,2026-08-11 21:14 KST,,,3.3,21.91,56.49,18.0,2.78,16.06,9.86,13.97,20.88,22.87,7517 -> 10985 -> 11348,4251.0,2009.0,1470.0,47.26,34.58,1500.59,1205.36,2096.98,966.76,1130.22,,,,,,,,,,,,4.0,,,378571.0,,,34.01,,,Naver/FnGuide,,KRW,2026-08-04,2025.0,CFS,11011.0,OpenDART,,,8,1,7,7,5.45,15.95,-23.48,-82.57,22.87,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-11,4.7,8,3,16,0,12,2,1,5,47,C,19
310210.KQ,310210,보로노이,32552,기술성장기업부,표적치료제,KOSDAQ,주권,KRX,177000.0,135415.0,185733.33333333334,241970.83333333334,230395.0,-23.175416133162614,363500.0,-51.30674002751031,68.77296105803848,18.71,-33.71,nxt_web_latest,NXT 체결가,2026-08-11 21:14 KST,,,,,8.23,,23.09,-50.18,64.97,-23.47,,,-,75.0,-544.0,-427.0,-725.33,-569.33,-720.95,-737.78,357.37,674.39,-317.02,,,,,,,,,,,,4.0,,,450000.0,,,154.24,,,Naver/FnGuide,,KRW,2026-08-03,2025.0,CFS,11011.0,OpenDART,,,10,2,9,9,,16.96,-18.83,36.14,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-08-11,4.7,0,0,0,0,0,0,1,3,4,D,20
