yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,cagr,peg,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
011200.KS,011200,HMM,178649,18940.0,20647.25,-8.26865563210597,25950.0,-27.01348747591522,46.48760330571789,regularMarketPrice,-61.33,8.23,7.83,14.0,0.68,6.9,26.31,-6.91,-58.4,3.39,1829 -> 5055 -> 1955,,,,,,,,,,,3.39,,2026-06-24,4.25,8,10,6,0,4,0,5,5,38,D,43
033780.KS,033780,KT&G,175024,168600.0,154445.5,9.164721536075833,189000.0,-10.793650793650794,41.26213592231608,daily_close,-0.02,13.64,51.25,15.0,2.01,11.77,51.98,11.35,13.03,16.47,6615 -> 8975 -> 8973,,,,,,,,,,,16.47,,2026-06-24,4.25,8,3,12,0,12,0,5,5,45,C,44
138040.KS,138040,메리츠금융지주,173204,103500.0,113949.5,-9.170290347917279,146200.0,-29.20656634746922,45.58823529409888,daily_close,6.73,7.76,14.19,8.0,1.66,22.53,1102.87,16.25,-9.92,10.07,10480 -> 11897 -> 12698,,,,,,,,,,,10.07,1.19,2026-06-24,4.25,15,6,20,10,8,5,5,5,74,A,45
096770.KS,096770,SK이노베이션,166347,98400.0,115157.5,-14.551809478323166,149800.0,-34.31241655540721,31.22448979590945,daily_close,,53.47,14.47,10.0,0.73,-14.42,190.2,8.11,26.15,,-,,,,,,,,,,,,,2026-06-24,4.25,12,10,0,0,0,0,3,5,30,D,46
267250.KS,267250,HD현대,164700,208500.0,226120.5,-7.792526551108811,310500.0,-32.850241545893724,23.809523809521366,regularMarketPrice,89.12,15.56,26.91,8.0,1.49,10.25,159.39,5.16,104.47,90.79,3348 -> 6444 -> 12187,,,,,,,,,,,90.79,0.09,2026-06-24,4.25,15,6,12,20,15,10,1,5,84,A,47
024110.KS,024110,기업은행,160681,20150.0,21269.9,-5.265186954334536,28550.0,-29.422066549912433,47.24409448808482,daily_close,2.53,4.67,13.68,6.0,0.46,7.7,1258.51,-9.91,1.71,0.77,3348 -> 3316 -> 3400,,,,,,,,,,,0.77,2.37,2026-06-24,4.25,15,10,6,0,0,2,5,5,43,C,48
003670.KS,003670,포스코퓨처엠,158413,178100.0,204244.5,-12.80058948955786,296000.0,-39.83108108108108,31.45299145298769,daily_close,7.52,726.86,9.48,950.0,4.28,0.92,102.65,-20.57,4585.71,,359 -> 386,,,,,,,,,,,,126.33,2026-06-24,4.25,0,0,0,0,0,5,3,5,13,D,49
272210.KS,272210,한화시스템,156047,82600.0,86973.5,-5.0285431769447015,162700.0,-49.231714812538414,38.879736408557754,daily_close,-46.69,20.41,9.56,77.0,3.45,6.6,106.5,30.69,-45.33,-16.73,1849 -> 2405 -> 1282,,,,,,,,,,,-16.73,,2026-06-24,4.25,0,0,6,0,0,0,5,3,14,D,50
035720.KS,035720,카카오,150533,34000.0,54576.25,-37.70183916996862,70400.0,-51.70454545454546,26.047904191594938,daily_close,795.16,180.5,28.25,24.0,1.45,4.59,82.49,2.99,47.79,,124 -> 1110,,,,,,,,,,,,0.03,2026-06-24,4.25,4,6,0,20,0,10,3,3,46,C,51
003550.KS,003550,LG,149982,99200.0,90307.0,9.847520125793128,165800.0,-40.168878166465625,23.396880415938867,regularMarketPrice,29.09,16.15,35.84,15.0,0.56,2.64,12.03,1.07,-5.65,-23.3,7867 -> 3585 -> 4628,,,,,,,,,,,-23.3,0.52,2026-06-24,4.25,8,10,0,20,0,8,1,5,52,C,52
