yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_pbr_gap,cagr,peer_per_avg,peer_per_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
087010.KQ,087010,펩트론,43137,기술성장기업부,약효지속성 의약품 및 펩타이드 소재,KOSDAQ,주권,KRX,184200.0,174060.0,180346.66666666666,229673.33333333334,247431.5,-25.555153648585566,386000.0,-52.27979274611398,60.975609756083685,28.81,-38.8,nxt_web_latest,NXT 체결가,2026-08-26 20:57 KST,,,,,3.79,,31.86,-9.41,26.03,75.0,,,-,56.0,-213.0,-138.0,-380.36,-246.43,-205.86,-235.83,43.78,369.71,-325.93,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-08-12,2025.0,OFS,11011.0,OpenDART,,,,13.49,-13.96,7,2,6,6,136.17,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-26,4.25,0,0,0,0,0,0,3,3,6,D,11
222800.KQ,222800,심텍,42221,중견기업부,반도체용 인쇄회로기판,KOSDAQ,주권,KRX,112200.0,101940.0,111121.66666666667,94653.33333333333,77993.5,43.8581420246559,157300.0,-28.671328671328673,56.78321678320567,48.61,-5.0,nxt_web_latest,NXT 체결가,2026-08-26 20:57 KST,,,,,10.03,22.0,6.55,-32.1,181.13,14.55,,,-,14106.0,119.0,-1646.0,0.84,-11.67,-1986.12,-2550.05,539.84,10439.64,-9899.8,0.09,,100.0,37.33,OpenDART,-41.52,5.0,True,5.0,OpenDART,,4.0,,,171111.0,,,52.51,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,4.47,15.99,8,6,7,7,46.53,,15.65,40.58,전자부품 제조업,전자부품 제조업,2026-08-26,4.25,4,0,0,0,0,0,3,5,12,D,12
298380.KQ,298380,에이비엘바이오,41766,기술성장기업부,항체의약품 연구개발,KOSDAQ,주권,KRX,74400.0,78750.0,86080.0,119882.5,145609.5,-48.90443274648975,245500.0,-69.69450101832993,42.85714285712755,8.14,-33.51,nxt_web_latest,NXT 체결가,2026-08-26 20:57 KST,,,,,13.03,-68.0,26.91,-23.48,79.29,137.43,,,-,793.0,-404.0,-379.0,-50.95,-47.79,-412.53,-419.05,1119.82,1242.37,-122.55,,,,,,,,,,,,4.0,,,210000.0,,,182.26,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,,,,13.49,-6.93,7,2,6,6,99.48,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-26,4.25,0,0,0,0,0,0,5,1,6,D,13
000250.KQ,000250,삼천당제약,40135,중견기업부,"하메론, 아토로우",KOSDAQ,주권,KRX,169800.0,170005.0,205960.0,396863.3333333333,369645.5,-54.064096546556094,1184000.0,-85.65878378378379,53.26560232219528,21.72,-49.91,nxt_web_latest,NXT 체결가,2026-08-26 20:57 KST,,,,1036.5,4.69,423.62,14.5,1.94,54.36,9.91,226.92,,-,2318.0,85.0,120.0,3.67,5.18,97.93,-497.95,959.44,1976.38,-1016.94,0.03,22.1,50.0,11.63,OpenDART,-75.0,2.0,True,2.0,OpenDART,,,,,,,,,,,,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,3.85,9.66,7,5,6,6,276.62,,25.21,1580.36,의약품 제조업,의약품 제조업,2026-08-26,4.25,0,0,0,0,0,0,5,1,6,D,14
403870.KQ,403870,HPSP,39915,우량기업부,고압 수소 어닐링 장비,KOSDAQ,주권,KRX,48500.0,39337.5,45816.666666666664,47009.166666666664,42256.0,14.776599772813329,83500.0,-41.91616766467065,72.88461538457614,48.32,-0.31,daily_close,NXT 미확인,2026-08-26 21:04 KST,,,-16.35,35.96,32.58,33.0,13.46,24.79,19.95,-4.63,-4.26,-6.21,989 -> 1040 -> 870,1730.0,899.0,727.0,51.97,42.02,1002.05,977.76,939.41,614.76,324.65,1.03,55.66,500.0,404.37,OpenDART,49.38,4.0,True,4.0,OpenDART,,4.0,,,68250.0,,,40.72,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,OFS,11011.0,OpenDART,,2025.0,11011.0,6.2,8.16,19,16,18,18,117.1,-6.21,26.31,25.43,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-26,4.25,0,0,20,0,0,0,1,5,26,D,15
319660.KQ,319660,피에스케이,37511,우량기업부,"드라이스트립, 드라이클리닝",KOSDAQ,주권,KRX,129100.0,126305.0,149935.0,118784.16666666667,88096.75,46.54343094382029,211500.0,-38.959810874704495,51.6304347825956,2.87,31.07,nxt_web_latest,NXT 체결가,2026-08-26 20:57 KST,,,-0.73,10.42,20.6,25.0,6.74,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,4572.0,885.0,785.0,19.36,17.17,617.31,431.97,1194.22,1069.62,124.6,0.53,25.1,680.0,196.97,OpenDART,19.35,5.0,True,5.0,OpenDART,,4.0,,,182857.0,,,41.64,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,6.2,8.16,19,16,18,18,8.71,22.31,30.31,-17.52,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-26,4.25,4,0,16,0,12,0,5,5,42,C,16
108490.KQ,108490,로보티즈,36725,기술성장기업부,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",KOSDAQ,주권,KRX,251000.0,238155.0,250351.66666666666,264146.6666666667,263417.0,-4.713818774035085,405000.0,-38.02469135802469,53.711790393006524,38.98,-22.89,nxt_web_latest,NXT 체결가,2026-08-26 20:57 KST,,,,691.83,4.83,972.0,10.16,2.49,1.79,29.67,,,-,389.0,33.0,53.0,8.48,13.62,70.75,46.35,310.38,56.29,254.09,,,,,,,,,,,,4.0,,,397167.0,,,58.23,,,Naver/FnGuide,,KRW,2026-08-24,2025.0,CFS,11011.0,OpenDART,,,,6.2,8.98,19,16,18,18,63.87,,26.31,3594.41,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-26,4.25,0,0,0,0,0,0,5,5,10,D,17
141080.KQ,141080,리가켐바이오,36390,기술성장기업부,ADC 신약연구개발,KOSDAQ,주권,KRX,98000.0,104305.0,119630.0,153036.66666666666,162393.0,-39.6525712315186,213500.0,-54.09836065573771,37.71929824560245,8.17,-35.14,nxt_web_latest,NXT 체결가,2026-08-26 20:57 KST,,,,483.55,10.49,-51.0,9.06,-13.22,29.7,12.47,,,-,1416.0,-1065.0,-916.0,-75.21,-64.69,-1245.33,-1305.74,986.5,1606.95,-620.45,,,,,,,,,,,,4.0,,,224000.0,,,128.57,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,,,,32.81,-33.31,11,2,10,10,-72.39,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-08-26,4.25,0,0,0,0,0,0,5,3,8,D,18
095340.KQ,095340,ISC,34932,우량기업부,반도체테스트소켓,KOSDAQ,주권,KRX,163000.0,146135.0,163490.0,196112.5,164825.5,-1.1075349384652253,271000.0,-39.85239852398524,63.63636363635376,34.71,-19.51,nxt_web_latest,NXT 체결가,2026-08-26 20:57 KST,,,2.68,60.46,30.1,40.0,6.31,10.6,15.85,26.19,34.15,91.78,720 -> 2579 -> 2648,2202.0,601.0,563.0,27.29,25.57,417.12,353.78,798.71,851.6,-52.89,0.52,31.0,850.0,173.95,OpenDART,12.31,5.0,True,5.0,OpenDART,,4.0,,,217167.0,,,33.23,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,14.93,2025.0,11011.0,,,2,1,1,1,,91.78,,,기계장비 및 관련 물품 도매업,기계장비 및 관련 물품 도매업,2026-08-26,4.25,0,0,12,0,15,2,3,5,37,D,19
257720.KQ,257720,실리콘투,33968,우량기업부,화장품 유통,KOSDAQ,주권,KRX,51300.0,41655.0,37302.5,39097.916666666664,40913.75,25.38571995967126,61800.0,-16.990291262135923,78.59922178984046,40.55,41.91,nxt_web_latest,NXT 체결가,2026-08-26 20:57 KST,,,31.11,14.49,6.87,14.0,6.89,46.89,55.09,61.43,49.27,103.34,631 -> 1990 -> 2609,11163.0,2054.0,1686.0,18.4,15.1,11.41,-58.98,773.23,2520.18,-1746.95,0.6,11.9,306.0,200.28,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,58250.0,,,13.55,,,Naver/FnGuide,,KRW,2026-08-26,2025.0,CFS,11011,OpenDART,0.45,2025.0,11011,,,1,0,0,0,,103.34,,,상품 종합 도매업,상품 종합 도매업,2026-08-26,4.25,8,0,20,20,15,10,1,5,79,A,20
440110.KQ,440110,파두,31369,기술성장기업부,SSD 컨트롤러,KOSDAQ,주권,KRX,62600.0,61750.0,78416.66666666667,75891.66666666667,57033.75,9.759572183137177,128300.0,-51.20810600155885,45.012787723769044,11.19,-44.16,daily_close,NXT 미확인,2026-08-26 21:04 KST,,,,,26.77,,102.25,-131.08,518.5,112.41,,,-,924.0,-655.0,-762.0,-70.89,-82.47,-37.04,-78.42,408.04,1026.33,-618.29,,,,,,,,,,,,4.0,,,130000.0,,,107.67,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,,,,3.56,9.64,5,3,4,4,2772.19,,14.0,,반도체 제조업,반도체 제조업,2026-08-26,4.25,0,0,0,0,0,0,5,3,8,D,21
145020.KQ,145020,휴젤,31350,우량기업부,"보툴리눔톡신, 필러",KOSDAQ,주권,KRX,250000.0,254175.0,248341.66666666666,253425.0,248437.5,0.628930817610063,388000.0,-35.56701030927835,44.37869822484471,5.26,0.6,nxt_web_latest,NXT 체결가,2026-08-26 20:57 KST,,,3.3,21.91,56.69,18.0,2.7,16.06,9.86,13.97,20.88,22.87,7517 -> 10985 -> 11348,4251.0,2009.0,1470.0,47.26,34.58,1500.59,1205.36,2096.98,966.76,1130.22,,,,,,,,,,,,4.0,,,391429.0,,,56.57,,,Naver/FnGuide,,KRW,2026-08-24,2025.0,CFS,11011.0,OpenDART,5.45,,,18.74,-16.44,7,1,6,6,-85.59,22.87,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-26,4.25,8,3,16,0,12,2,5,5,51,C,22
084370.KQ,084370,유진테크,30730,우량기업부,실리콘질화막증착용LP-CVD,KOSDAQ,주권,KRX,133100.0,123125.0,143958.33333333334,136777.5,118540.5,12.28230014214551,206500.0,-35.544794188861985,57.87172011660627,32.97,7.34,nxt_web_latest,NXT 체결가,2026-08-26 20:57 KST,,,-32.89,30.03,37.51,27.62,5.57,9.81,18.16,3.61,-15.52,31.84,1066 -> 2761 -> 1853,3503.0,517.0,445.0,14.76,12.7,664.77,452.3,549.25,892.21,-342.96,0.17,12.3,230.0,52.02,OpenDART,-5.2,5.0,True,5.0,OpenDART,,4.0,,,180000.0,,,35.24,,,Naver/FnGuide,,KRW,2026-08-26,2025.0,CFS,11011,OpenDART,,2025.0,11011,6.58,8.16,19,16,18,18,-15.35,31.84,29.0,-4.76,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-26,4.25,0,0,6,0,15,0,3,5,29,D,23
310210.KQ,310210,보로노이,30578,기술성장기업부,표적치료제,KOSDAQ,주권,KRX,166900.0,154485.0,169655.0,233481.66666666666,229546.0,-27.291261882149982,363500.0,-54.085281980742785,58.575445173375634,42.53,-41.85,nxt_web_latest,NXT 체결가,2026-08-26 20:57 KST,,,,,6.68,,34.83,-50.18,64.97,-23.47,,,-,75.0,-544.0,-427.0,-725.33,-569.33,-720.95,-737.78,357.37,674.39,-317.02,,,,,,,,,,,,4.0,,,450000.0,,,169.62,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,,,,25.69,-25.16,11,2,10,10,35.58,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-08-26,4.25,0,0,0,0,0,0,3,3,6,D,24
214370.KQ,214370,케어젠,28468,벤처기업부,"성장인자, 바이오미메틱펩타이드 기반 안면, 두피, 바디 코스메슈티컬 제품",KOSDAQ,주권,KRX,52900.0,58880.0,65340.0,83409.16666666667,84386.5,-37.31224781215005,150100.0,-64.7568287808128,32.09459459457942,-3.47,-40.16,nxt_web_latest,NXT 체결가,2026-08-26 20:57 KST,,,-37.87,92.25,4.43,124.6,12.35,9.23,8.85,-11.86,-40.35,-29.05,743 -> 602 -> 374,728.0,204.0,201.0,28.02,27.61,185.89,136.68,88.59,187.99,-99.4,0.83,106.3,437.0,213.57,OpenDART,-45.5,4.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-08-25,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,18.74,-16.44,7,1,6,6,-34.1,-29.05,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-26,4.25,0,0,6,0,0,0,3,1,10,D,25
