yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,sector,industry,analyst_buy_ratio,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_gap,peer_pbr_gap,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
CAT,CAT,"Caterpillar, Inc.",454.06,991.4099731445312,694.1457489013671,42.82446801894959,1064.9000244140625,-6.901122132095688,64.16555925597496,daily_close,일봉 종가,2026-07-02 14:35 KST,993.74,0.2350215267734733,30.2,19.61,72.9,52.901146,26.286688,51.33,230.793,22.2,-14.7,-3.31,20.12 -> 22.05 -> 18.81,67589000000.0,11151000000.0,8884000000.0,16.5,13.14,11739000000.0,7453000000.0,9980000000.0,43330000000.0,-33350000000.0,61.0,29.58,6.52,,yfinance,,,,Industrials,Farm & Heavy Construction Machinery,55.88,2.94,,,,,7.97,Finnhub,1.75,-3.31,33.68,12.49,37.04,7,57.07,110.46,2026-07-01,4.47,0,0,20,5,0,10,3,0,38,D,21
MA,MA,마스터카드,432.77,522.4400024414062,531.3563986206054,-1.678044378941523,598.9600219726562,-12.775480286519572,69.86662904717126,daily_close,일봉 종가,2026-07-02 14:35 KST,,,21.2,35.12,91.48,30.26883,68.95987,232.08,282.059,15.8,19.52,18.17,11.83 -> 13.89 -> 16.52,32791000000.0,19514000000.0,14968000000.0,59.51,45.65,17648000000.0,16433000000.0,10566000000.0,19000000000.0,-8434000000.0,67.0,18.23,3.48,,yfinance,,,,Financial Services,Credit Services,90.2,0.2,,,,,2.2,Finnhub,1.43,18.17,20.64,9.35,35.37,16,46.65,637.54,2026-07-01,4.47,0,0,20,10,12,8,1,5,56,B,22
COST,COST,코스트코,421.95,924.6699829101562,957.2622985839844,-3.404742432877573,1094.3199462890625,-15.502775395276725,26.809413184698656,daily_close,일봉 종가,2026-07-02 14:35 KST,,,45.5,45.01,73.76,46.512577,24.80471,29.15,60.257,21.5,11.83,13.4,14.16 -> 16.56 -> 18.21,275235000000.0,10383000000.0,8099000000.0,3.77,2.94,13335000000.0,7837000000.0,14161000000.0,8173000000.0,5988000000.0,64.0,27.01,5.88,,yfinance,,,,Consumer Defensive,Discount Stores,68.18,0.0,,,,,-0.24,Finnhub,1.02,13.4,28.02,10.03,25.12,9,66.0,147.31,2026-07-01,4.47,0,0,20,10,8,10,3,5,56,B,23
BAC,BAC,뱅크오브아메리카,398.83,58.36000061035156,52.534700050354004,11.088481621507428,58.36000061035156,0.0,73.34963038980128,daily_close,일봉 종가,2026-07-02 14:35 KST,,,24.4,11.85,70.64,14.362283,1.4969997,10.64,,8.1,,11.22,3.08 -> 3.21 -> 3.81,113097000000.0,,30509000000.0,,26.98,12613000000.0,12613000000.0,239319000000.0,365904000000.0,-126585000000.0,,,,,,,,,,,,,,,,,,,0.59,11.22,38.37,11.65,26.14,14,-62.57,-87.15,2026-07-01,4.47,8,6,12,20,8,8,1,0,63,B,24
GE,GE,GE Aerospace,373.67,374.94000244140625,308.95335052490236,21.35812795180715,374.94000244140625,0.0,92.60493504901231,daily_close,일봉 종가,2026-07-02 14:35 KST,374.94,-6.511458463691848e-07,-1.8,276.01,80.99,46.539227,21.592997,45.43,116.527,24.7,28.38,-1.32,8.36 -> 5.99 -> 8.14,45855000000.0,8680000000.0,8704000000.0,18.93,18.98,8537000000.0,7264000000.0,12392000000.0,20495000000.0,-8103000000.0,50.0,19.25,1.88,,yfinance,,,,Industrials,Aerospace & Defense,,,,,,,,,,-1.32,33.68,12.49,37.04,7,38.18,72.88,2026-07-01,4.47,0,0,20,0,0,0,1,0,21,D,25
UNH,UNH,유나이티드헬스,364.13,426.5400085449219,336.9167492675781,26.60101033034879,625.25,-31.78088627830118,62.335140541457,daily_close,일봉 종가,2026-07-02 14:35 KST,425.63,-0.2133465857109721,0.7,25.21,85.93,32.26923,3.969369,12.18,73.982,2.0,-41.26,-25.54,23.86 -> 15.51 -> 13.23,447567000000.0,18964000000.0,12056000000.0,4.24,2.69,19697000000.0,16075000000.0,24365000000.0,78389000000.0,-54024000000.0,,,,,,,,,,,,,,,,,,,46.1,-25.54,38.37,11.65,26.14,14,-15.9,-65.93,2026-07-01,4.47,0,0,12,0,0,2,3,5,22,D,26
MS,MS,Morgan Stanley,352.0,211.86000061035156,178.16579940795899,18.911711065960844,227.08999633789062,-6.706590326805115,55.50380644372871,daily_close,일봉 종가,2026-07-02 14:35 KST,,,31.9,15.4,62.71,19.190218,3.201366,16.39,502.246,16.3,,40.39,5.18 -> 7.95 -> 10.21,65966000000.0,,16861000000.0,,25.56,-17889000000.0,-20787000000.0,81310000000.0,370538000000.0,-289228000000.0,189.0,35.55,4.0,,yfinance,,,,Financial Services,Capital Markets,56.25,1.7,,,,,13.19,Finnhub,0.6,40.39,20.64,9.35,35.37,16,-7.02,-65.76,2026-07-01,4.47,4,0,16,20,15,10,3,0,68,B,27
PG,PG,프록터앤갬블,350.17,147.42999267578125,148.5721006011963,-0.7687230111127948,179.6999969482422,-17.957709972446718,46.190008273627576,daily_close,일봉 종가,2026-07-02 14:35 KST,,,5.8,23.88,71.92,21.469986,6.3532777,31.11,67.651,7.4,2.84,5.04,5.9 -> 6.02 -> 6.51,84284000000.0,20451000000.0,15974000000.0,24.26,18.95,17817000000.0,14044000000.0,9556000000.0,35463000000.0,-25907000000.0,290.0,61.8,4.26,,yfinance,,,,Consumer Defensive,Household & Personal Products,61.11,-1.75,,,,,0.19,Finnhub,3.7,5.04,28.02,10.03,25.12,9,-23.38,-36.66,2026-07-01,4.47,4,0,20,0,4,5,5,5,43,C,28
CVX,CVX,쉐브론,345.8,165.69000244140625,172.365650100708,-3.8729570859399,211.14999389648438,-21.52971478529369,13.678803969516267,daily_close,일봉 종가,2026-07-02 14:35 KST,,,-44.5,14.21,70.53,28.87805,1.784169,6.64,23.989,2.3,-11.86,-23.6,11.36 -> 9.72 -> 6.63,184432000000.0,16674000000.0,12299000000.0,9.04,6.67,33939000000.0,16592000000.0,6293000000.0,40758000000.0,-34465000000.0,430.0,120.38,7.12,,yfinance,,,,Energy,Oil & Gas Integrated,74.19,0.0,,,,,15.54,Finnhub,,-23.6,25.97,1.99,8.25,2,,,2026-07-01,4.47,0,6,6,0,0,0,1,5,18,D,29
KO,KO,코카콜라,341.57,81.29000091552734,74.2338501739502,9.50530078265192,83.58999633789062,-2.751519946317683,37.76600358475316,daily_close,일봉 종가,2026-07-02 14:35 KST,81.24,-0.061509306143700766,18.2,23.92,68.23,25.562893,10.400461,43.37,124.943,12.1,6.34,10.94,2.47 -> 2.46 -> 3.04,47941000000.0,14911000000.0,13107000000.0,31.1,27.34,7408000000.0,5296000000.0,10270000000.0,45492000000.0,-35222000000.0,261.0,64.78,2.12,,yfinance,,,,Consumer Defensive,Beverages - Non-Alcoholic,82.35,-0.51,,,,,1.67,Finnhub,1.4,10.94,28.02,10.03,25.12,9,-8.77,3.69,2026-07-01,4.47,0,0,20,10,8,8,5,0,51,C,30
