yf_symbol,symbol,name,market_cap,krx_source,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,peg,cagr,dividend_history_years,dividend_history_source,dividend_year,dividend_report_code,dart_source,dart_year,dart_fs_div,dart_report_code,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
010120.KS,010120,LS ELECTRIC,395250,,270500.0,142001.0,90.49161625622357,318500.0,-15.070643642072213,58.9005235602051,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,20.11,26.34,18.15,78.0,18.95,14.67,131.48,9.1,9.42,17.98,1373 -> 1591 -> 1911,49658.0,4264.0,2843.0,8.59,5.73,2999.48,903.82,7627.17,28153.81,-20526.64,,31.1,,892.15,OpenDART,,0.0,False,3.88,17.98,0.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,0,0,12,0,12,8,3,5,40,C,21
267260.KS,267260,HD현대일렉트릭,364797,,1031000.0,900220.0,14.52755992979494,1420000.0,-27.3943661971831,48.35680751173603,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,46.07,25.65,34.67,37.0,17.52,41.5,134.63,22.79,48.77,68.14,7189 -> 13914 -> 20324,40795.0,9953.0,7318.0,24.4,17.94,9595.73,7176.58,9507.82,27368.8,-17860.98,,34.88,,2555.48,OpenDART,227.11,3.0,False,0.8,68.14,3.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,0,0,20,16,15,10,5,5,71,A,22
298040.KS,298040,효성중공업,346686,,3741000.0,2503930.0,49.40513512757945,4601000.0,-18.69158878504673,59.94102780117909,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,133.52,20.47,26.77,44.0,14.45,24.41,190.31,21.93,106.07,111.72,12438 -> 23876 -> 55755,59685.0,7470.0,5028.0,12.52,8.42,4930.1,3010.24,2167.73,47381.62,-45213.89,0.2,13.4,7500.0,698.38,OpenDART,73.21,3.0,False,0.33,111.72,3.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,0,0,20,20,15,10,3,5,73,A,23
086790.KS,086790,하나금융지주,319364,,117000.0,104879.5,11.556595902917158,132000.0,-11.363636363636363,51.71673819740936,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,9.62,4.94,68.53,7.0,0.69,9.17,1377.89,-15.53,10.21,10.23,11613 -> 12872 -> 14110,689436.0,53509.0,40366.0,7.76,5.85,-19624.71,-39700.46,365650.97,6289451.22,-5923800.25,3.51,28.0,4105.0,11177.79,OpenDART,7.27,5.0,False,0.73,10.23,5.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,15,10,6,16,8,5,5,5,70,A,24
042660.KS,042660,한화오션,316525,,104400.0,123272.5,-15.30957837311647,149900.0,-30.35356904603069,49.32584269662145,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,135.85,27.59,10.43,20.0,4.64,22.59,226.17,18.63,390.79,131.76,757 -> 1724 -> 4066,127835.0,11676.0,12459.0,9.13,9.75,13146.72,5980.49,7784.71,139659.07,-131874.36,,,,,,,,,0.15,131.76,,,,,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,4,0,20,20,15,10,5,5,79,A,25
066570.KS,066570,LG전자,314856,,192400.0,124933.0,54.00254536431527,392500.0,-50.98089171974522,36.476426799003214,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,161.86,28.06,28.4,18.0,1.36,4.28,140.33,1.68,-27.53,16.18,3942 -> 2032 -> 5321,892009.0,24784.0,12204.0,2.78,1.37,42805.0,3731.2,87698.41,400681.42,-312983.01,0.7,25.4,1350.0,2439.48,OpenDART,12.26,5.0,True,0.11,16.18,5.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,8,6,0,20,12,10,5,3,64,B,26
035420.KS,035420,NAVER,309696,,197700.0,236959.0,-16.567845070244218,290500.0,-31.94492254733219,35.760171306204484,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,3.89,24.18,34.66,16.0,1.0,7.36,41.9,12.08,11.56,41.51,6180 -> 11913 -> 12376,120350.0,22081.0,18187.0,18.35,15.11,30958.07,17763.67,59840.19,121314.83,-61474.64,1.33,20.2,2630.0,3935.96,OpenDART,50.62,5.0,True,4.11,41.51,5.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,8,8,6,0,15,2,5,5,49,C,27
000810.KS,000810,삼성화재,278153,,623000.0,505942.5,23.13652243090865,730000.0,-14.657534246575343,39.01098901098601,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,-0.74,9.42,58.38,14.0,1.1,10.97,352.98,9.36,0.36,6.39,35961 -> 41007 -> 40703,247785.0,26591.0,20203.0,10.73,8.15,34131.66,33305.3,20198.04,751580.1,-731382.06,3.13,41.1,19500.0,8289.49,OpenDART,12.91,5.0,False,,6.39,5.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,8,8,12,0,4,0,5,5,42,C,28
000150.KS,000150,두산,257481,,1603000.0,1075290.0,49.07606320155493,2203000.0,-27.23558783477077,48.3243243243236,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,,220.26,20.92,73.0,12.88,4.99,169.14,9.11,5.87,,-,197841.0,10627.0,2495.0,5.37,1.26,9819.08,834.83,49279.03,206934.67,-157655.64,0.25,94.61,4000.0,717.01,OpenDART,18.92,5.0,False,,,5.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,0,0,0,0,0,0,5,5,10,D,29
009540.KS,009540,HD한국조선해양,253721,,361500.0,418160.0,-13.549837382819971,479500.0,-24.608967674661105,45.81280788177024,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,84.96,21.88,33.42,7.0,1.87,17.78,133.86,17.21,172.26,212.72,3133 -> 16565 -> 30639,299332.0,39045.0,29284.0,13.04,9.78,44220.51,34183.5,37420.16,226338.6,-188918.44,3.4,40.11,12300.0,8697.9,OpenDART,141.18,2.0,False,0.08,212.72,2.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,15,3,16,20,15,10,5,5,89,S,30
