yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_pbr_gap,peg,cagr,peer_per_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
000250.KQ,000250,삼천당제약,44287,중견기업부,"하메론, 아토로우",KOSDAQ,주권,KRX,196900.0,166040.0,239521.66666666666,438635.8333333333,371386.5,-46.98245628206734,1184000.0,-83.36993243243244,57.68667642751971,-1.35,-50.65,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,,1036.5,5.45,363.07,12.43,1.94,54.36,9.91,226.92,,-,2318.0,85.0,120.0,3.67,5.18,97.93,-497.95,959.44,1976.38,-1016.94,0.03,22.1,50.0,11.63,OpenDART,-75.0,2.0,True,2.0,OpenDART,,,,,,,,,,,,,KRW,2026-08-03,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,7,5,6,6,21.25,3.9,9.66,218.72,,,1608.56,의약품 제조업,의약품 제조업,2026-08-10,4.25,0,0,0,0,0,0,3,1,4,D,11
039030.KQ,039030,이오테크닉스,43980,우량기업부,레이저 마커 및 레이저 응용기기,KOSDAQ,주권,KRX,360000.0,316275.0,416141.6666666667,424604.1666666667,369202.5,-2.4925345846791394,612000.0,-41.17647058823529,56.86956521738854,-4.89,-24.92,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,33.53,50.01,29.58,56.01,5.86,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,0.0,True,3.0,OpenDART,,4.0,,,532500.0,,,47.92,,,Naver/FnGuide,,KRW,2026-08-06,2025.0,CFS,11011.0,OpenDART,,,19,14,18,18,26.0,7.01,8.24,-16.41,1.67,24.98,115.42,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-10,4.25,0,0,6,5,12,10,3,5,41,C,12
222800.KQ,222800,심텍,43420,중견기업부,반도체용 인쇄회로기판,KOSDAQ,주권,KRX,115900.0,96625.0,112041.66666666667,89430.83333333333,75085.75,54.35685199921423,157300.0,-26.319135410044503,57.63747454174331,-5.54,1.49,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,,,9.89,23.0,6.88,-32.1,181.13,14.55,,,-,14106.0,119.0,-1646.0,0.84,-11.67,-1986.12,-2550.05,539.84,10439.64,-9899.8,0.09,,100.0,37.33,OpenDART,-41.52,5.0,True,5.0,OpenDART,,4.0,,,171111.0,,,47.64,,,Naver/FnGuide,,KRW,2026-08-07,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,8,6,7,7,20.5,3.45,12.5,99.42,,,12.2,전자부품 제조업,전자부품 제조업,2026-08-10,4.25,4,0,0,0,0,0,3,5,12,D,13
087010.KQ,087010,펩트론,42694,기술성장기업부,약효지속성 의약품 및 펩타이드 소재,KOSDAQ,주권,KRX,182700.0,135900.0,194946.66666666666,237252.5,251744.0,-27.426274310410577,386000.0,-52.66839378238342,79.26829268291837,63.71,-31.44,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,,,4.02,,31.08,-9.41,26.03,75.0,,,-,56.0,-213.0,-138.0,-380.36,-246.43,-205.86,-235.83,43.78,369.71,-325.93,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-08-07,2025.0,OFS,11011.0,OpenDART,,,8,2,7,7,,11.9,-23.48,161.18,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-10,4.25,0,0,0,0,0,0,1,3,4,D,14
214450.KQ,214450,파마리서치,42597,우량기업부,재생의약품,KOSDAQ,주권,KRX,417000.0,358075.0,325433.3333333333,322066.6666666667,372325.0,11.998925669777748,711000.0,-41.35021097046413,63.047619047615676,30.52,32.8,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,65.07,24.5,4.89,22.0,6.8,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,5363.0,2144.0,1683.0,39.98,31.38,1831.62,1473.8,1756.63,3200.1,-1443.47,0.89,25.9,3700.0,427.91,OpenDART,77.64,5.0,False,5.0,OpenDART,,4.0,,,494000.0,,,18.47,,,Naver/FnGuide,,KRW,2026-08-10,2025.0,CFS,11011,OpenDART,2025.0,11011,3,1,2,2,,,,,0.34,37.82,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-08-10,4.25,4,0,20,20,15,10,3,5,77,A,15
319660.KQ,319660,피에스케이,38438,우량기업부,"드라이스트립, 드라이클리닝",KOSDAQ,주권,KRX,134800.0,147765.0,145768.33333333334,112455.0,82989.0,62.431165576160694,211500.0,-36.26477541371159,35.817490494292755,-28.83,20.9,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,-0.73,10.42,21.79,24.0,6.41,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,4572.0,885.0,785.0,19.36,17.17,617.31,431.97,1194.22,1069.62,124.6,0.5,25.1,680.0,196.97,OpenDART,19.35,5.0,True,5.0,OpenDART,,4.0,,,182857.0,,,35.65,,,Naver/FnGuide,,KRW,2026-08-03,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,19,14,18,18,27.5,7.01,8.16,-8.56,,22.31,-12.73,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-10,4.25,4,0,16,0,12,0,5,5,42,C,16
214370.KQ,214370,케어젠,37600,벤처기업부,"성장인자, 바이오미메틱펩타이드 기반 안면, 두피, 바디 코스메슈티컬 제품",KOSDAQ,주권,KRX,70000.0,59850.0,71540.0,90403.33333333333,84696.5,-17.351956692425308,150100.0,-53.364423717521646,66.10978520284186,14.57,-27.98,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,-37.87,92.25,4.39,160.92,15.95,9.23,8.85,-11.86,-40.35,-29.05,743 -> 602 -> 374,728.0,204.0,201.0,28.02,27.61,185.89,136.68,88.59,187.99,-99.4,0.62,106.3,437.0,213.57,OpenDART,-45.5,4.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-08-10,2025.0,CFS,11011,OpenDART,2025.0,11011,8,1,7,7,,11.9,-23.48,34.03,,-29.05,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-10,4.25,0,0,6,0,0,0,1,3,10,D,17
108490.KQ,108490,로보티즈,36212,기술성장기업부,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",KOSDAQ,주권,KRX,248000.0,206485.0,258718.33333333334,266096.6666666667,260059.0,-4.637024675169865,405000.0,-38.76543209876544,61.55268022180747,13.76,-30.24,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,,691.83,6.32,570.0,9.55,2.49,1.79,29.67,,,-,389.0,33.0,53.0,8.48,13.62,70.75,46.35,310.38,56.29,254.09,,,,,,,,,,,,4.0,,,398000.0,,,60.48,,,Naver/FnGuide,,KRW,2026-08-04,2025.0,CFS,11011.0,OpenDART,,,19,14,18,18,26.0,6.6,8.98,44.7,,,2092.31,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-10,4.25,0,0,0,0,0,0,3,5,8,D,18
145020.KQ,145020,휴젤,34979,우량기업부,"보툴리눔톡신, 필러",KOSDAQ,주권,KRX,278000.0,242850.0,249766.66666666666,254329.16666666666,248852.5,11.71276157563215,388000.0,-28.350515463917525,70.0787401574726,15.59,0.0,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,3.3,21.91,56.49,18.0,2.78,16.06,9.86,13.97,20.88,22.87,7517 -> 10985 -> 11348,4251.0,2009.0,1470.0,47.26,34.58,1500.59,1205.36,2096.98,966.76,1130.22,,,,,,,,,,,,4.0,,,378571.0,,,36.18,,,Naver/FnGuide,,KRW,2026-08-04,2025.0,CFS,11011.0,OpenDART,,,8,1,7,7,,15.95,-23.48,-82.57,5.45,22.87,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-10,4.25,8,3,16,0,12,2,1,5,47,C,19
310210.KQ,310210,보로노이,32533,기술성장기업부,표적치료제,KOSDAQ,주권,KRX,179100.0,134045.0,187241.66666666666,242312.5,230380.0,-22.2588766385971,363500.0,-50.72902338376891,68.34795321636727,7.76,-32.67,nxt_web_latest,NXT 체결가,2026-08-10 21:13 KST,,,,,8.23,,23.09,-50.18,64.97,-23.47,,,-,75.0,-544.0,-427.0,-725.33,-569.33,-720.95,-737.78,357.37,674.39,-317.02,,,,,,,,,,,,4.0,,,450000.0,,,151.26,,,Naver/FnGuide,,KRW,2026-08-03,2025.0,CFS,11011.0,OpenDART,,,10,2,9,9,,16.96,-18.83,36.14,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-08-10,4.25,0,0,0,0,0,0,1,3,4,D,20
440110.KQ,440110,파두,30768,기술성장기업부,SSD 컨트롤러,KOSDAQ,주권,KRX,61400.0,65090.0,87090.0,74961.25,54785.75,12.072938674746627,128300.0,-52.14341387373344,38.52691218129548,-20.05,-38.6,daily_close,NXT 미확인,2026-08-10 21:23 KST,,,,,27.36,,94.76,-131.08,518.5,112.41,,,-,924.0,-655.0,-762.0,-70.89,-82.47,-37.04,-78.42,408.04,1026.33,-618.29,,,,,,,,,,,,4.0,,,130000.0,,,111.73,,,Naver/FnGuide,,KRW,2026-08-03,2025.0,CFS,11011.0,OpenDART,,,5,3,4,4,19.8,3.26,9.64,2806.75,,,,반도체 제조업,반도체 제조업,2026-08-10,4.25,0,0,0,0,0,0,5,3,8,D,21
