yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,dividend_year,dividend_report_code,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
214450.KQ,214450,파마리서치,45091,우량기업부,재생의약품,KOSDAQ,주권,KRX,432500.0,397775.0,346458.3333333333,329045.8333333333,364047.5,18.803178156696585,711000.0,-39.170182841068915,59.268292682922784,10.61,45.13,daily_close,NXT 미확인,2026-08-28 06:18 KST,,,65.07,24.5,9.04,22.0,6.88,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,5363.0,2144.0,1683.0,39.98,31.38,1831.62,1473.8,1756.63,3200.1,-1443.47,0.86,25.9,3700.0,427.91,OpenDART,77.64,5.0,False,5.0,OpenDART,,4.0,,,512667.0,,,18.54,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,CFS,11011.0,OpenDART,0.34,37.82,2025.0,11011.0,,,,3,1,2,2,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-08-27,4.25,4,0,20,20,15,10,3,5,77,A,11
087010.KQ,087010,펩트론,43626,기술성장기업부,약효지속성 의약품 및 펩타이드 소재,KOSDAQ,주권,KRX,188200.0,176705.0,178841.66666666666,229408.33333333334,247055.0,-23.822630588330533,386000.0,-51.24352331606218,58.762886597924,39.1,-32.42,daily_close,NXT 미확인,2026-08-28 06:18 KST,,,,,3.76,,33.79,-9.41,26.03,75.0,,,-,56.0,-213.0,-138.0,-380.36,-246.43,-205.86,-235.83,43.78,369.71,-325.93,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-08-28,2025.0,OFS,11011,OpenDART,,,,,,12.7,-13.96,7,2,6,6,,166.06,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-27,4.25,0,0,0,0,0,0,3,3,6,D,12
298380.KQ,298380,에이비엘바이오,42214,기술성장기업부,항체의약품 연구개발,KOSDAQ,주권,KRX,76000.0,79385.0,85481.66666666667,119241.66666666667,145473.0,-47.75662837777457,245500.0,-69.04276985743381,40.26666666665164,20.06,-32.08,daily_close,NXT 미확인,2026-08-28 06:18 KST,,,,,13.24,-68.0,24.81,-23.48,79.29,137.43,,,-,793.0,-404.0,-379.0,-50.95,-47.79,-412.53,-419.05,1119.82,1242.37,-122.55,,,,,,,,,,,,4.0,,,210000.0,,,176.32,,,Naver/FnGuide,,KRW,2026-08-28,2025.0,CFS,11011,OpenDART,,,,,,12.7,-6.93,7,2,6,6,,95.35,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-27,4.25,0,0,0,0,0,0,5,1,6,D,13
403870.KQ,403870,HPSP,41479,우량기업부,고압 수소 어닐링 장비,KOSDAQ,주권,KRX,50500.0,40380.0,45881.666666666664,47113.75,42334.25,19.288755558442634,83500.0,-39.52095808383233,77.02205882348977,70.32,8.37,daily_close,NXT 미확인,2026-08-28 06:18 KST,,,-16.35,35.96,32.58,33.0,13.46,24.79,19.95,-4.63,-4.26,-6.21,989 -> 1040 -> 870,1730.0,899.0,727.0,51.97,42.02,1002.05,977.76,939.41,614.76,324.65,0.99,55.66,500.0,404.37,OpenDART,49.38,4.0,True,4.0,OpenDART,,4.0,,,68250.0,,,35.15,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,OFS,11011.0,OpenDART,,-6.21,2025.0,11011.0,34.0,6.19,7.42,20,17,19,19,-2.94,117.45,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-27,4.25,0,0,20,0,0,0,1,5,26,D,14
000250.KQ,000250,삼천당제약,40346,중견기업부,"하메론, 아토로우",KOSDAQ,주권,KRX,172800.0,172320.0,203398.33333333334,392928.3333333333,369337.0,-53.213460877193455,1184000.0,-85.4054054054054,55.571635311132006,36.6,-47.08,daily_close,NXT 미확인,2026-08-28 06:18 KST,,,,1036.5,4.69,423.62,14.5,1.94,54.36,9.91,226.92,,-,2318.0,85.0,120.0,3.67,5.18,97.93,-497.95,959.44,1976.38,-1016.94,0.03,22.1,50.0,11.63,OpenDART,-75.0,2.0,True,2.0,OpenDART,,,,,,,,,,,,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,,,2025.0,11011.0,25.21,3.85,9.66,7,5,6,6,1580.36,276.62,의약품 제조업,의약품 제조업,2026-08-27,4.25,0,0,0,0,0,0,3,1,4,D,15
319660.KQ,319660,피에스케이,38293,우량기업부,"드라이스트립, 드라이클리닝",KOSDAQ,주권,KRX,133400.0,127230.0,150595.0,119442.5,88574.5,50.6076805401103,211500.0,-36.92671394799054,61.59695817488855,16.1,42.22,daily_close,NXT 미확인,2026-08-28 06:18 KST,,,-0.73,10.42,20.6,25.0,6.74,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,4572.0,885.0,785.0,19.36,17.17,617.31,431.97,1194.22,1069.62,124.6,0.51,25.1,680.0,196.97,OpenDART,19.35,5.0,True,5.0,OpenDART,,4.0,,,182857.0,,,37.07,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,,22.31,2025.0,11011.0,34.0,6.19,7.42,20,17,19,19,-26.47,8.89,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-27,4.25,4,0,16,0,12,0,3,5,40,C,16
108490.KQ,108490,로보티즈,36799,기술성장기업부,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",KOSDAQ,주권,KRX,255000.0,242235.0,247893.33333333334,264542.5,263319.5,-3.15946976961448,405000.0,-37.03703703703704,59.72850678732276,47.06,-36.65,daily_close,NXT 미확인,2026-08-28 06:18 KST,,,,691.83,4.83,972.0,10.16,2.49,1.79,29.67,,,-,389.0,33.0,53.0,8.48,13.62,70.75,46.35,310.38,56.29,254.09,,,,,,,,,,,,4.0,,,397167.0,,,55.75,,,Naver/FnGuide,,KRW,2026-08-24,2025.0,CFS,11011.0,OpenDART,,,,,33.0,6.19,8.9,20,17,19,19,2845.45,64.14,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-27,4.25,0,0,0,0,0,0,3,5,8,D,17
141080.KQ,141080,리가켐바이오,36797,기술성장기업부,ADC 신약연구개발,KOSDAQ,주권,KRX,99600.0,105140.0,118843.33333333333,152517.5,162147.5,-38.574446106168764,213500.0,-53.348946135831376,37.582417582406016,20.14,-32.15,daily_close,NXT 미확인,2026-08-28 06:18 KST,,,,483.55,11.83,-44.0,7.84,-13.22,29.7,12.47,,,-,1416.0,-1065.0,-916.0,-75.21,-64.69,-1245.33,-1305.74,986.5,1606.95,-620.45,,,,,,,,,,,,4.0,,,224000.0,,,124.9,,,Naver/FnGuide,,KRW,2026-08-28,2025.0,CFS,11011,OpenDART,,,,,,33.08,-31.49,10,2,9,9,,-76.3,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-08-27,4.25,0,0,0,0,0,0,5,3,8,D,18
095340.KQ,095340,ISC,36183,우량기업부,반도체테스트소켓,KOSDAQ,주권,KRX,171200.0,149150.0,162851.66666666666,196173.33333333334,165278.5,3.582740646847594,271000.0,-36.82656826568266,68.82416396978465,54.37,-18.28,daily_close,NXT 미확인,2026-08-28 06:18 KST,,,2.68,60.46,30.1,40.0,6.31,10.6,15.85,26.19,34.15,91.78,720 -> 2579 -> 2648,2202.0,601.0,563.0,27.29,25.57,417.12,353.78,798.71,851.6,-52.89,0.5,31.0,850.0,173.95,OpenDART,12.31,5.0,True,5.0,OpenDART,,4.0,,,217167.0,,,26.85,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,14.93,91.78,2025.0,11011.0,,,,1,0,0,0,,,기계장비 및 관련 물품 도매업,기계장비 및 관련 물품 도매업,2026-08-27,4.25,0,0,12,0,15,2,1,5,35,D,19
440110.KQ,440110,파두,31870,기술성장기업부,SSD 컨트롤러,KOSDAQ,주권,KRX,64500.0,62460.0,77640.0,75975.0,57226.75,12.709528323729725,128300.0,-49.727201870615744,60.18518518515918,28.23,-41.94,daily_close,NXT 미확인,2026-08-28 06:18 KST,,,,,26.77,,102.25,-131.08,518.5,112.41,,,-,924.0,-655.0,-762.0,-70.89,-82.47,-37.04,-78.42,408.04,1026.33,-618.29,,,,,,,,,,,,4.0,,,130000.0,,,101.55,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,,,,,14.0,3.56,9.64,5,3,4,4,,2772.19,반도체 제조업,반도체 제조업,2026-08-27,4.25,0,0,0,0,0,0,3,3,6,D,20
