yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,cagr,peg,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
068760.KQ,068760,셀트리온제약,17760,40000.0,58089.275,-31.14047300469837,95047.0,-57.915557566256695,30.98159509199793,regularMarketPrice,76.47,119.93,5.25,46.4,4.25,9.3,74.2,12.26,50.81,34.91,478 -> 493 -> 870,,,,,,,,,,,34.91,0.61,2026-06-23,4.51,0,0,6,20,15,10,3,3,57,B,54
140410.KQ,140410,메지온,17475,57500.0,85253.5,-32.55408868844095,172700.0,-66.70526925303996,38.01652892559784,daily_close,,,25.32,,118.04,-110.43,470.09,-8.14,,,-,79.0,-168.0,-349.0,-212.66,-441.77,,,,,,,,2026-06-23,4.51,0,0,0,0,0,0,5,1,6,D,55
218410.KQ,218410,RFHIC,17472,65800.0,54728.25,20.230411167906887,112500.0,-41.51111111111111,35.73883161511168,daily_close,11.66,23.8,25.87,44.0,5.13,8.84,37.77,61.71,1960.0,28.82,652 -> 969 -> 1082,,,,,,,,,,,28.82,3.77,2026-06-23,4.51,0,0,6,0,15,5,5,5,36,D,56
083650.KQ,083650,비에이치아이,17359,56100.0,68137.25,-17.66618112706339,109500.0,-48.76712328767123,41.001564945217936,daily_close,232.86,26.53,12.39,23.0,10.35,44.36,367.65,91.28,244.75,180.92,267 -> 633 -> 2107,,,,,,,,,,,180.92,0.1,2026-06-23,4.51,4,0,20,20,15,10,5,3,77,A,57
140860.KQ,140860,파크시스템스,17226,246000.0,254562.5,-3.3636140437024307,339500.0,-27.540500736377027,45.182724252489585,regularMarketPrice,-19.61,42.01,35.65,34.0,7.74,16.69,55.44,17.42,9.61,18.19,3530 -> 6134 -> 4931,,,,,,,,,,,18.19,,2026-06-23,4.51,0,0,16,0,12,0,5,5,38,D,58
058610.KQ,058610,에스피지,17076,77000.0,85492.25,-9.933356532317257,158100.0,-51.2966476913346,14.992503748122786,daily_close,-30.29,103.2,6.96,205.15,7.28,3.57,66.09,-12.05,45.53,-8.86,496 -> 591 -> 412,,,,,,,,,,,-8.86,,2026-06-23,4.51,0,0,0,0,0,0,1,3,4,D,59
030530.KQ,030530,원익홀딩스,16953,21950.0,28703.75,-23.529155598136132,48700.0,-54.92813141683778,43.24817518245966,regularMarketPrice,,137.36,5.29,99.6,1.9,2.78,51.37,-3.49,-101.31,,-,,,,,,,,,,,,,2026-06-23,4.51,0,3,0,0,0,0,5,3,11,D,60
007390.KQ,007390,네이처셀,16173,25100.0,22397.75,12.064827940306504,37800.0,-33.5978835978836,37.18820861675643,daily_close,,1126.55,8.94,,29.67,-4.45,18.57,-35.91,-700.0,,-,,,,,,,,,,,,,2026-06-23,4.51,0,0,0,0,0,0,5,5,10,D,61
041510.KQ,041510,에스엠,16163,70600.0,107533.0,-34.3457357276371,153000.0,-53.8562091503268,41.82590233544404,daily_close,1844.22,43.74,32.93,13.0,1.75,41.65,47.76,18.71,109.62,103.18,3664 -> 778 -> 15126,,,,,,,,,,,103.18,0.01,2026-06-23,4.51,8,6,20,20,15,10,5,3,87,S,62
078600.KQ,078600,대주전자재료,15519,98900.0,95062.5,4.03681788297173,182800.0,-45.89715536105033,33.69434416365256,daily_close,-43.95,667.76,13.67,171.17,6.65,8.6,155.9,16.1,-29.59,444.67,45 -> 2382 -> 1335,,,,,,,,,,,444.67,,2026-06-23,4.51,0,0,6,0,15,0,3,3,27,D,63
0009K0.KQ,0009K0,에임드바이오,15456,23900.0,47750.75,-49.9484301293697,72500.0,-67.0344827586207,27.765237020298486,regularMarketPrice,,626.65,1.94,370.29,8.61,5.13,3.32,300.85,,,-,,,,,,,,,,,,,2026-06-23,4.51,0,0,6,0,0,0,3,1,10,D,64
031330.KQ,031330,에스에이엠티,14349,14350.0,6003.25,139.03718818973056,18860.0,-23.91304347826087,42.19512195117149,daily_close,39.34,6.2,9.1,5.39,2.23,16.55,183.14,30.01,68.99,51.79,329 -> 544 -> 758,,,,,,,,,,,51.79,0.14,2026-06-23,4.51,15,3,16,20,15,10,5,5,89,S,65
039200.KQ,039200,오스코텍,14155,37000.0,47754.5,-22.520390748515847,62000.0,-40.32258064516129,34.177215189843125,regularMarketPrice,5847.83,547.23,12.36,25.59,7.94,33.87,23.02,193.53,,,23 -> 1368,,,,,,,,,,,,0.0,2026-06-23,4.51,0,0,20,0,0,10,3,5,38,D,66
096530.KQ,096530,씨젠,14127,27050.0,25629.5,5.542441327376656,35150.0,-23.044096728307252,30.95238095234656,regularMarketPrice,7007.69,906.71,17.85,22.12,1.24,4.81,21.66,14.46,,,13 -> 924,,,,,,,,,,,,0.0,2026-06-23,4.51,4,6,0,0,0,10,3,5,28,D,67
323280.KQ,323280,태성,14108,46200.0,50173.75,-7.919978076185257,89700.0,-48.49498327759198,43.58108108106734,daily_close,,103.42,4.98,,10.81,-3.0,34.71,-35.98,-141.67,,-,,,,,,,,,,,,,2026-06-23,4.51,0,0,0,0,0,0,5,3,8,D,68
060370.KQ,060370,LS마린솔루션,13111,25100.0,29524.5,-14.98585920167996,50100.0,-49.9001996007984,25.320512820490094,daily_close,-51.36,69.69,2.74,112.21,2.35,2.0,17.67,87.41,-43.55,-28.93,390 -> 405 -> 197,,,,,,,,,,,-28.93,,2026-06-23,4.51,0,3,0,0,0,0,3,3,9,D,69
204270.KQ,204270,제이앤티씨,12495,21600.0,20639.55,4.653444479167428,31250.0,-30.880000000000003,58.86157826644087,regularMarketPrice,,39.18,2.65,,4.98,-31.32,121.3,-32.03,,,-,,,,,,,,,,,,,2026-06-23,4.51,0,0,0,0,0,0,3,5,8,D,70
475830.KQ,475830,오름테라퓨틱,12249,56400.0,78406.0,-28.0667295870214,143700.0,-60.75156576200418,43.253234750450915,daily_close,,,7.87,,11.52,-33.22,29.37,,,,-,,-518.0,-420.0,,,,,,,,,,2026-06-23,4.51,0,0,0,0,0,0,5,1,6,D,71
437730.KQ,437730,삼현,12096,38150.0,44646.35,-14.550685554362225,73200.0,-47.88251366120219,35.62753036435902,regularMarketPrice,19.27,100.86,1.83,259.71,11.01,8.46,53.4,-5.38,-85.45,-5.72,369 -> 275 -> 328,,,,,,,,,,,-5.72,13.48,2026-06-23,4.51,0,0,6,0,0,8,5,3,22,D,72
166090.KQ,166090,하나머티리얼즈,12044,60900.0,53525.75,13.777013867157395,81100.0,-24.907521578298397,52.203389830496086,daily_close,20.8,21.83,22.69,25.57,2.56,9.39,47.86,8.7,15.44,5.86,1731 -> 1606 -> 1940,,,,,,,,,,,5.86,1.23,2026-06-23,4.51,0,3,6,10,4,8,5,5,41,C,73
101490.KQ,101490,에스앤에스텍,11648,54600.0,68631.25,-20.44440397049449,105100.0,-48.04947668886774,37.789203084819306,regularMarketPrice,91.27,24.46,14.21,21.5,3.92,21.24,29.18,38.47,70.85,50.19,1205 -> 1421 -> 2718,,,,,,,,,,,50.19,0.24,2026-06-23,4.51,4,0,20,20,15,10,5,3,77,A,74
476830.KQ,476830,알지노믹스,11425,82000.0,131346.0,-37.569472994990335,236000.0,-65.2542372881356,31.869510664988127,daily_close,,,10.51,,24.12,604.61,6.72,7800.0,,,-,79.0,-146.0,-1038.0,-184.81,-1313.92,,,,,,,,2026-06-23,4.51,0,0,20,0,0,0,3,1,24,D,75
458870.KQ,458870,씨어스,11056,29050.0,38260.435,-24.07300126096318,63034.0,-53.91376082748993,48.70317002877915,regularMarketPrice,,102.08,5.71,21.0,22.78,52.78,36.81,495.06,,,-,,,,,,,,,,,,,2026-06-23,4.51,4,0,20,0,0,0,5,3,32,D,76
232140.KQ,232140,와이씨,10805,13170.0,16364.9,-19.5228812886116,23700.0,-44.43037974683544,40.718038528846755,daily_close,75.37,55.92,8.28,32.0,3.11,5.56,27.51,29.07,60.38,19.34,165 -> 134 -> 235,,,,,,,,,,,19.34,0.42,2026-06-23,4.51,0,0,6,20,12,10,5,5,58,B,77
