yf_symbol,symbol,name,market_cap,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,sector,industry,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
LLY,LLY,일라이릴리,979.64,1280.3399658203125,1192.2049987792968,1162.846836344401,1058.1587529500325,1049.2794540405273,22.020874504882922,1280.3399658203125,0.0,68.9673118283716,10.09,20.22,daily_close,일봉 종가,2026-08-20 11:41 KST,,,26.2,66.6,85.44,40.75881,34.79738,102.29,162.071,47.7,74.27,98.92,5.8 -> 11.71 -> 22.95,65179000000.0,29696000000.0,20640000000.0,45.56,31.67,16813000000.0,5964000000.0,7268000000.0,42503000000.0,-35235000000.0,0.54,21.69,6.92,,yfinance,15.24,10.0,False,10.0,yfinance dividend history,Healthcare,Drug Manufacturers - General,78.95,4.29,27.0,0.0,1299.01,1600.0,850.0,1.46,24.79,Finnhub,yfinance,,,2026-08-12,,,,,1.56,98.92,25.73,3.93,14.6,16,15,14,14,58.41,785.43,2026-08-19,4.25,0,0,20,5,15,8,1,0,49,C,11
WMT,WMT,월마트,932.53,114.30000305175781,112.725,114.74233283996583,120.75041611989339,118.4999496459961,-3.544260235371495,134.1999969482422,-14.828609798075732,65.50392144062687,4.55,-4.96,daily_close,일봉 종가,2026-08-20 11:41 KST,114.7299,0.3761128055679232,19.4,36.02,38.08,39.27972,9.48177,24.13,74.816,7.3,1.63,19.45,1.91 -> 2.41 -> 2.73,713163000000.0,29825000000.0,21893000000.0,4.18,3.07,41565000000.0,14923000000.0,10727000000.0,67095000000.0,-56368000000.0,0.87,33.54,0.99,,yfinance,7.98,10.0,False,10.0,yfinance dividend history,Consumer Defensive,Discount Stores,89.58,4.47,40.0,0.0,137.97,155.0,81.0,20.71,-1.67,Finnhub,yfinance,,,2026-08-11,,,,,2.02,19.45,25.77,8.24,29.72,9,7,6,6,52.42,15.07,2026-08-19,4.25,0,0,20,0,12,8,1,5,46,C,12
AMD,AMD,AMD,876.24,466.4200134277344,487.06200408935547,509.7438349405924,397.8023342132568,327.7285504150391,42.31900541989854,580.9099731445312,-19.708726826817898,45.43880938493277,-15.55,-0.23,daily_close,일봉 종가,2026-08-20 11:41 KST,469.43,0.6453382113998823,159.5,135.05,74.13,131.55754,12.487922,10.2,6.361,50.1,77.09,123.61,0.53 -> 1.0 -> 2.65,34639000000.0,3694000000.0,4335000000.0,10.66,12.51,7709000000.0,6735000000.0,5539000000.0,3847000000.0,1692000000.0,,0.0,0.0,,yfinance,,,,,,Technology,Semiconductors,82.76,4.51,46.0,-1.45,613.33,1250.0,365.0,31.5,5.88,Finnhub,yfinance,,,2026-08-20,,,,,0.82,123.61,34.97,10.68,35.92,23,21,22,22,276.2,16.93,2026-08-19,4.25,0,0,12,16,15,10,5,5,63,B,13
JPM,JPM,JP모건 체이스,871.43,357.260009765625,357.0809982299805,335.8433334350586,318.0255007425944,315.6566506958008,13.179940602587672,365.17999267578125,-2.168788835369705,59.798234973813685,2.6,16.61,daily_close,일봉 종가,2026-08-20 11:41 KST,357.95,0.1931339124207174,46.9,11.94,75.95,15.2591,2.6788063,17.79,,30.4,,11.06,16.23 -> 19.75 -> 20.02,181847000000.0,,57048000000.0,,31.37,-147782000000.0,-147782000000.0,343338000000.0,499982000000.0,-156644000000.0,1.68,25.71,6.0,,yfinance,11.53,10.0,False,10.0,yfinance dividend history,Financial Services,Banks - Diversified,60.0,3.91,20.0,3.33,373.65,420.0,305.0,4.59,4.8,Finnhub,yfinance,,,2026-08-12,,,,,0.33,11.06,20.68,3.37,15.31,17,16,16,16,-26.21,-20.51,2026-08-19,4.25,8,3,16,20,8,10,3,0,68,B,14
INTC,INTC,Intel Corporation,673.43,92.80000305175781,96.21649932861328,109.56466623942057,90.42399978637695,70.99439994812012,30.714539625058258,140.94000244140625,-34.15637757609799,52.098524434942355,-9.57,-22.56,daily_close,일봉 종가,2026-08-20 11:41 KST,,,98.63,65.53,63.7,,6.0233884,-10.71,48.997,25.4,6.88,,1.94 -> 0.4,52853000000.0,-23000000.0,-267000000.0,-0.04,-0.51,9697000000.0,-4949000000.0,14265000000.0,46585000000.0,-32320000000.0,,0.0,0.0,,yfinance,,0.0,,9.0,yfinance dividend history,Technology,Semiconductors,34.55,3.4,40.0,1.82,114.05,200.0,74.0,22.9,1086.32,Finnhub,yfinance,,,2026-08-19,,,,,,,37.71,11.14,35.92,23,22,22,22,,-45.93,2026-08-19,4.25,0,0,0,0,0,10,5,5,20,D,15
V,V,비자,622.33,365.5400085449219,363.80750274658203,346.16750183105466,330.1472501118978,331.58379943847655,10.240611623350949,373.30999755859375,-2.0813771569169717,49.10738406626247,3.43,11.15,daily_close,일봉 종가,2026-08-20 11:41 KST,,,10.2,28.2,89.06,30.9046,19.227345,61.19,67.821,14.4,10.39,10.99,8.28 -> 9.73 -> 10.2,40000000000.0,26556000000.0,20058000000.0,66.39,50.14,23059000000.0,21577000000.0,17164000000.0,25171000000.0,-8007000000.0,0.73,22.13,2.68,,yfinance,15.71,10.0,False,10.0,yfinance dividend history,Financial Services,Credit Services,92.16,4.62,37.0,0.32,416.2,450.0,330.0,13.86,0.78,Finnhub,yfinance,,,2026-08-12,,,,,3.03,10.99,19.87,3.12,15.31,17,16,16,16,55.53,516.26,2026-08-19,4.25,0,0,20,0,8,5,5,0,38,D,16
XOM,XOM,엑슨모빌,571.22,164.77000427246094,157.45850067138673,148.52716649373372,151.73650004069012,142.04529987335206,15.998209317288412,171.47000122070312,-3.9073872400679943,64.97696821165854,6.68,6.36,daily_close,일봉 종가,2026-08-20 11:41 KST,164.63,-0.08496951437194437,112.8,12.2,68.23,26.900673,2.5331323,12.58,15.921,44.1,-14.41,-13.19,8.89 -> 7.84 -> 6.7,323905000000.0,33938000000.0,28844000000.0,10.48,8.91,51970000000.0,23612000000.0,10681000000.0,43537000000.0,-32856000000.0,2.5,68.01,4.12,,yfinance,4.06,10.0,False,10.0,yfinance dividend history,Energy,Oil & Gas Integrated,50.0,3.6,22.0,-3.33,168.32,185.0,142.0,2.15,3.84,Finnhub,yfinance,,,2026-08-11,,,,,0.24,-13.19,,,,3,2,2,2,,,2026-08-19,4.25,0,3,12,20,0,10,3,0,48,C,17
ORCL,ORCL,오라클,530.03,143.80999755859375,138.11649971008302,159.80366681416828,162.29799976348878,174.2341498184204,-17.461647037353725,328.3299865722656,-56.19955427770802,63.82036841722016,14.28,-25.13,daily_close,일봉 종가,2026-08-20 11:41 KST,144.7428,0.6486353224685777,21.9,36.02,45.94,25.81866,11.246165,53.38,388.87,20.6,24.33,25.36,3.71 -> 4.34 -> 5.83,67357000000.0,22444000000.0,17087000000.0,33.32,25.37,31977000000.0,-23686000000.0,31289000000.0,156189000000.0,-124900000000.0,1.39,34.31,2.0,,yfinance,14.07,10.0,False,10.0,yfinance dividend history,Technology,Software - Infrastructure,81.63,4.41,41.0,0.0,246.43,400.0,110.0,71.36,9.27,Finnhub,yfinance,,,2026-08-18,,,,,1.18,25.36,40.45,10.68,35.48,23,21,22,22,-36.17,5.3,2026-08-19,4.25,0,0,20,10,15,8,3,3,59,B,18
AMAT,AMAT,"Applied Materials, Inc.",489.96,496.1700134277344,519.3695007324219,545.6996653238932,464.0765820821126,392.92319946289064,26.276588937985274,723.0,-31.37344212617782,48.76619976047848,-10.43,14.81,daily_close,일봉 종가,2026-08-20 11:41 KST,,,33.5,18.76,84.51,50.305084,17.740585,39.69,30.399,11.4,7.66,3.34,8.11 -> 8.61 -> 8.66,28368000000.0,8470000000.0,6998000000.0,29.86,24.67,7958000000.0,5698000000.0,7241000000.0,7050000000.0,191000000.0,0.43,17.31,2.12,,yfinance,20.39,10.0,False,10.0,yfinance dividend history,Technology,Semiconductor Equipment & Materials,86.67,4.54,35.0,0.0,629.09,900.0,358.0,26.79,3.94,Finnhub,yfinance,,,2026-08-11,,,,,1.5,3.34,34.97,10.68,35.48,23,21,22,22,43.85,66.11,2026-08-19,4.25,0,0,20,10,4,10,5,5,54,C,19
CSCO,CSCO,시스코 시스템즈,471.16,110.55000305175781,116.38050003051758,117.65016670227051,102.84016660054525,92.56014999389649,19.435851237327935,130.0,-14.961536114032453,45.34776604113942,-1.48,-8.19,daily_close,일봉 종가,2026-08-20 11:41 KST,,,37.1,18.44,83.44,40.452145,9.883881,25.23,67.541,12.0,-3.59,-7.8,3.07 -> 2.54 -> 2.61,56654000000.0,12504000000.0,10180000000.0,22.07,17.97,14193000000.0,13288000000.0,8346000000.0,28093000000.0,-19747000000.0,1.52,55.0,1.68,,yfinance,2.58,10.0,False,10.0,yfinance dividend history,Technology,Communication Equipment,69.7,4.15,22.0,0.0,132.59,150.0,115.0,19.94,-0.11,Finnhub,yfinance,,,2026-08-11,,,,,1.09,-7.8,34.97,11.14,35.92,23,21,22,22,15.68,-11.28,2026-08-19,4.25,0,0,20,10,0,10,5,5,50,C,20
CAT,CAT,"Caterpillar, Inc.",454.06,816.1500244140625,848.3625030517578,907.4791656494141,846.2792500813802,758.6212490844727,7.5833329739995206,1064.9000244140625,-23.359000309617716,51.60831733814666,-8.23,-7.24,daily_close,일봉 종가,2026-08-20 11:41 KST,818.8,0.32469221425802786,68.2,19.57,73.08,36.22751,19.85116,56.97,232.783,24.0,-14.7,-3.31,20.12 -> 22.05 -> 18.81,67589000000.0,11151000000.0,8884000000.0,16.5,13.14,11739000000.0,7453000000.0,9980000000.0,43330000000.0,-33350000000.0,0.8,26.01,6.52,,yfinance,8.12,10.0,False,10.0,yfinance dividend history,Industrials,Farm & Heavy Construction Machinery,52.94,3.86,26.0,-2.94,972.95,1225.0,575.0,19.21,16.74,Finnhub,yfinance,,,2026-08-11,,,,,0.53,-3.31,34.78,8.62,27.34,9,8,8,8,4.16,130.29,2026-08-19,4.25,0,0,20,20,0,10,5,5,60,B,21
MA,MA,마스터카드,432.77,573.719970703125,564.0294891357422,526.5468292236328,515.4256645202637,528.1273477172851,8.632884319076448,598.9600219726562,-4.213979288033936,46.89690075054052,7.85,15.08,daily_close,일봉 종가,2026-08-20 11:41 KST,573.65,-0.012195967841117651,22.1,35.06,91.54,31.423773,89.26985,241.2,439.583,14.1,19.52,18.17,11.83 -> 13.89 -> 16.52,32791000000.0,19514000000.0,14968000000.0,59.51,45.65,17648000000.0,16433000000.0,10566000000.0,19000000000.0,-8434000000.0,0.61,17.93,3.48,,yfinance,15.75,10.0,False,10.0,yfinance dividend history,Financial Services,Credit Services,92.59,4.63,38.0,2.21,660.34,735.0,550.0,15.1,2.85,Finnhub,yfinance,,,2026-08-19,,,,,1.42,18.17,19.87,3.12,15.31,17,16,16,16,58.15,2761.21,2026-08-19,4.25,0,0,20,10,12,8,5,0,55,B,22
COST,COST,코스트코,421.95,956.989990234375,952.0835021972656,953.6856648763021,980.2304138183594,959.0787484741211,-0.2177879807126647,1094.3199462890625,-12.549342312582873,51.84314350302856,3.2,-6.93,daily_close,일봉 종가,2026-08-20 11:41 KST,958.03,0.10867509339050302,45.5,44.93,73.96,47.613693,25.55797,29.15,60.257,21.5,11.83,13.4,14.16 -> 16.56 -> 18.21,275235000000.0,10383000000.0,8099000000.0,3.77,2.94,13335000000.0,7837000000.0,14161000000.0,8173000000.0,5988000000.0,0.61,27.01,5.88,,yfinance,13.18,10.0,False,10.0,yfinance dividend history,Consumer Defensive,Discount Stores,65.22,4.0,35.0,-1.45,1077.31,1315.0,740.0,12.57,-0.24,Finnhub,yfinance,,,2026-08-11,,,,,1.05,13.4,25.77,8.24,27.21,9,7,6,6,84.76,210.17,2026-08-19,4.25,0,0,20,10,8,10,5,5,58,B,23
BAC,BAC,뱅크오브아메리카,398.83,63.16999816894531,63.00849952697754,58.91966641743978,54.72899993260702,54.32965002059937,16.271682488280494,64.80999755859375,-2.5304728458996446,60.74624482073525,2.52,21.95,daily_close,일봉 종가,2026-08-20 11:41 KST,63.33,0.2532876930386607,24.4,11.85,70.64,14.362283,1.4969997,10.64,,8.1,,11.22,3.08 -> 3.21 -> 3.81,113097000000.0,,30509000000.0,,26.98,12613000000.0,12613000000.0,239319000000.0,365904000000.0,-126585000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-12,,,,,0.59,11.22,,,,1,0,0,0,,,2026-08-19,4.25,8,6,12,20,8,8,3,0,65,B,24
GE,GE,GE Aerospace,373.67,356.2300109863281,364.77949981689454,352.5895009358724,326.2137502034505,319.2723504638672,11.575590704539728,381.2200012207031,-6.5552673402115955,50.718688018081544,4.41,17.63,daily_close,일봉 종가,2026-08-20 11:41 KST,357.0,0.21614939503270167,19.4,275.66,81.34,44.252174,20.953474,48.23,113.225,21.1,28.38,-1.32,8.36 -> 5.99 -> 8.14,45855000000.0,8680000000.0,8704000000.0,18.93,18.98,8537000000.0,7264000000.0,12392000000.0,20495000000.0,-8103000000.0,0.53,19.58,1.88,,yfinance,93.3,10.0,False,10.0,yfinance dividend history,Industrials,Aerospace & Defense,87.5,4.55,21.0,0.0,404.9,455.0,347.0,13.66,9.05,Finnhub,yfinance,,,2026-08-20,,,,,2.28,-1.32,34.78,8.62,27.34,9,8,8,8,27.23,143.08,2026-08-19,4.25,0,0,20,0,0,8,5,0,33,D,25
UNH,UNH,유나이티드헬스,364.13,388.6099853515625,409.46749725341795,409.9353312174479,366.69016520182294,347.4900987243652,11.833398067498388,625.25,-37.847263438374654,25.426257794663044,-9.9,0.04,daily_close,일봉 종가,2026-08-20 11:41 KST,,,61.5,25.21,86.57,31.05073,3.5019114,14.15,69.211,0.4,-41.26,-25.54,23.86 -> 15.51 -> 13.23,447567000000.0,18964000000.0,12056000000.0,4.24,2.69,19697000000.0,16075000000.0,24365000000.0,78389000000.0,-54024000000.0,2.39,66.57,9.28,,yfinance,10.9,10.0,False,10.0,yfinance dividend history,Healthcare,Healthcare Plans,79.41,4.41,26.0,0.0,475.23,529.0,313.0,22.29,10.15,Finnhub,yfinance,,,2026-08-12,,,,,0.5,-25.54,25.73,4.98,15.46,16,15,14,14,20.68,-29.68,2026-08-19,4.25,0,0,12,20,0,10,3,5,50,C,26
MS,MS,Morgan Stanley,352.0,214.22999572753906,214.4900001525879,215.41433283487956,196.37841618855794,187.9254493713379,13.997330560707496,228.5500030517578,-6.265590519802276,58.10336941157942,-1.95,6.57,daily_close,일봉 종가,2026-08-20 11:41 KST,214.98,0.3500930249818023,62.4,15.32,63.94,17.574242,3.1596878,17.97,517.282,28.0,,40.39,5.18 -> 7.95 -> 10.21,65966000000.0,,16861000000.0,,25.56,-17889000000.0,-20787000000.0,81310000000.0,370538000000.0,-289228000000.0,2.15,32.31,4.6,,yfinance,9.28,10.0,False,10.0,yfinance dividend history,Financial Services,Capital Markets,60.61,3.68,21.0,4.36,236.62,262.0,184.0,10.45,15.27,Finnhub,yfinance,,,2026-08-20,,,,,0.28,40.39,20.68,3.34,15.31,17,16,16,16,-15.02,-5.4,2026-08-19,4.25,8,0,16,20,15,10,3,0,72,A,27
PG,PG,프록터앤갬블,350.17,144.3800048828125,145.72350158691407,147.07300084431967,146.99158401489257,147.69090065002442,-2.2417736994221316,179.6999969482422,-19.654976441431256,51.64318346299768,-3.19,-0.04,daily_close,일봉 종가,2026-08-20 11:41 KST,,,-15.5,23.67,71.97,21.6365,6.2513614,30.29,64.49,1.5,-3.44,4.87,6.02 -> 6.51 -> 6.62,87032000000.0,19748000000.0,16046000000.0,22.69,18.44,19556000000.0,15147000000.0,9942000000.0,35026000000.0,-25084000000.0,3.01,64.33,4.35,,yfinance,5.0,10.0,False,10.0,yfinance dividend history,Consumer Defensive,Household & Personal Products,56.76,3.8,23.0,-2.7,160.57,186.0,143.0,11.21,-0.48,Finnhub,yfinance,,,2026-08-19,,,,,,4.87,25.92,9.03,26.64,9,7,6,6,-16.53,-30.77,2026-08-19,4.25,4,0,20,0,4,0,5,5,38,D,28
