yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,score_per,score_pbr,score_roe,score_rsi,score_peak_diff,score,grade,data_date,us_10y_bond,peg,cagr,rank
437730.KQ,437730,삼현,13998,44150.0,44370.95,-0.49796094066049323,73200.0,-39.68579234972678,40.11379800851888,19.27,100.86,1.83,259.71,11.01,8.46,53.4,-5.38,-85.45,-5.72,369 -> 275 -> 328,0,0,6,5,5,16,D,2026-06-19,4.45,13.48,-5.72,46
131290.KQ,131290,티에스이,26989,244000.0,97640.25,149.89694311515998,270500.0,-9.796672828096119,61.69761273209091,-10.0,1517.12,11.18,37.46,6.34,10.42,30.88,23.21,23.31,1672.52,11 -> 3840 -> 3456,0,0,12,3,0,15,D,2026-06-19,4.45,,1672.52,47
214370.KQ,214370,케어젠,38245,71200.0,83969.0,-15.206802510450284,150100.0,-52.56495669553631,37.27810650886803,-37.87,92.25,3.99,163.68,16.23,9.23,8.85,-11.86,-40.35,-29.05,743 -> 602 -> 374,0,0,6,5,3,14,D,2026-06-19,4.45,,-29.05,48
319400.KQ,319400,현대무벡스,35807,32150.0,22312.725,44.08818286426244,46350.0,-30.636461704422867,34.03361344535814,-56.77,99.75,1.45,357.22,22.8,6.79,76.81,15.38,-26.02,65.83,36 -> 229 -> 99,0,0,6,3,5,14,D,2026-06-19,4.45,,65.83,49
240810.KQ,240810,원익IPS,76570,156000.0,89158.0,74.97027748491443,183300.0,-14.893617021276595,62.794268167856295,304.73,46.26,17.33,45.0,7.73,9.05,20.06,21.6,596.23,,423 -> 1712,0,0,6,3,5,14,D,2026-06-19,4.45,0.15,,50
078600.KQ,078600,대주전자재료,17512,111600.0,94712.0,17.830897879888504,182800.0,-38.949671772428886,27.75991425508694,-43.95,667.76,13.67,171.17,6.65,8.6,155.9,16.1,-29.59,444.67,45 -> 2382 -> 1335,0,0,6,3,5,14,D,2026-06-19,4.45,,444.67,51
084370.KQ,084370,유진테크,38407,167600.0,102109.75,64.13711717049547,196100.0,-14.533401325854156,62.91469194312274,-32.89,30.03,38.07,41.0,7.91,9.81,18.16,3.61,-15.52,31.84,1066 -> 2761 -> 1853,0,0,6,3,5,14,D,2026-06-19,4.45,,31.84,52
074600.KQ,074600,원익QnC,9371,35650.0,27503.0,29.622223030214883,42150.0,-15.42111506524318,54.4141252006176,-55.74,18.02,11.53,40.1,1.84,4.73,170.93,5.84,-34.22,-23.19,1451 -> 1934 -> 856,0,3,0,5,5,13,D,2026-06-19,4.45,,-23.19,53
060370.KQ,060370,LS마린솔루션,15123,28950.0,29500.75,-1.8669016889401115,50100.0,-42.21556886227545,37.854889589871924,-51.36,69.69,2.74,112.21,2.35,2.0,17.67,87.41,-43.55,-28.93,390 -> 405 -> 197,0,3,0,5,5,13,D,2026-06-19,4.45,,-28.93,54
065350.KQ,065350,신성델타테크,10911,39700.0,57997.0,-31.548183526734142,121700.0,-67.37880032867707,37.297297297269076,73.25,81.02,3.4,47.72,4.28,9.51,161.32,7.19,4.53,,456 -> 790,0,0,6,5,1,12,D,2026-06-19,4.45,0.65,,55
068760.KQ,068760,셀트리온제약,18604,41900.0,58206.175,-28.01451048793363,95047.0,-55.91654655065389,31.761006289280218,76.47,119.93,5.25,46.4,4.25,9.3,74.2,12.26,50.81,34.91,478 -> 493 -> 870,0,0,6,3,3,12,D,2026-06-19,4.45,0.61,34.91,56
099320.KQ,099320,쎄트렉아이,11728,107100.0,115532.75,-7.299012617634395,214000.0,-49.953271028037385,27.75919732440822,93.35,37.02,10.67,73.0,4.76,6.31,73.42,20.78,,-45.98,4784 -> 722 -> 1396,0,0,6,3,3,12,D,2026-06-19,4.45,0.78,-45.98,57
030530.KQ,030530,원익홀딩스,19232,24900.0,28531.35,-12.727578610896431,48700.0,-48.870636550308014,45.856353591136575,,137.36,5.29,99.6,1.9,2.78,51.37,-3.49,-101.31,,-,0,3,0,5,3,11,D,2026-06-19,4.45,,,58
420770.KQ,420770,기가비스,17619,139000.0,62239.5,123.33084295342988,147600.0,-5.826558265582656,48.68421052630832,353.16,47.97,2.56,107.59,8.74,7.42,13.4,100.77,,-33.36,2745 -> 269 -> 1219,0,0,6,5,0,11,D,2026-06-19,4.45,0.3,-33.36,59
036540.KQ,036540,SFA반도체,11183,6800.0,5817.45,16.88970253289672,11010.0,-38.23796548592189,34.48979591826881,,23.78,8.62,,2.31,-3.93,16.21,-8.26,,,-,0,3,0,3,5,11,D,2026-06-19,4.45,,,60
098460.KQ,098460,고영,22690,33050.0,26317.2,25.583268736795706,43500.0,-24.022988505747126,48.05598755829945,-29.74,61.63,22.33,48.0,6.36,4.48,22.43,14.86,424.24,-17.9,319 -> 306 -> 215,0,0,0,5,5,10,D,2026-06-19,4.45,,-17.9,61
440110.KQ,440110,파두,50798,101400.0,45410.05,123.29858698680137,128300.0,-20.966484801247077,38.39479392623563,,,25.56,,151.8,-131.08,518.5,112.41,,,-,0,0,0,5,5,10,D,2026-06-19,4.45,,,62
178320.KQ,178320,서진시스템,42964,67500.0,38179.5,76.79644835579303,80800.0,-16.46039603960396,39.13978494622478,,15.93,12.91,,4.85,-12.63,212.62,-12.15,-98.99,,-,0,0,0,5,5,10,D,2026-06-19,4.45,,,63
141080.KQ,141080,리가켐바이오,49828,134600.0,169689.0,-20.678417575682573,213500.0,-36.95550351288056,40.719910011242185,,483.55,11.6,-112.0,10.59,-13.22,29.7,12.47,,,-,0,0,0,5,5,10,D,2026-06-19,4.45,,,64
950160.KQ,950160,코오롱티슈진,86674,102100.0,80054.5,27.53811465938829,138800.0,-26.440922190201725,51.93704600483381,,,4.73,,68.8,-183.43,561.65,1.96,,,-,0,0,0,5,5,10,D,2026-06-19,4.45,,,65
277810.KQ,277810,레인보우로보틱스,114459,590000.0,530342.5,11.248862763214337,880000.0,-32.95454545454545,37.6651982378843,-33.64,3949.62,6.94,,86.12,1.07,7.08,76.68,,,110 -> 73,0,0,0,5,5,10,D,2026-06-19,4.45,,,66
108490.KQ,108490,로보티즈,42065,287000.0,243513.95,17.857724372669402,405000.0,-29.1358024691358,43.85964912280506,,691.83,7.83,350.0,11.79,2.49,1.79,29.67,,,-,0,0,0,5,5,10,D,2026-06-19,4.45,,,67
161580.KQ,161580,필옵틱스,9927,42350.0,43296.0,-2.184959349593496,63000.0,-32.77777777777778,48.50498338868176,,19.45,0.38,,9.29,-14.67,100.09,-74.84,-352.9,,-,0,0,0,5,5,10,D,2026-06-19,4.45,,,68
204270.KQ,204270,제이앤티씨,12148,21000.0,20587.0,2.0061203672220334,31250.0,-32.800000000000004,49.48805460746124,,39.18,2.65,,4.98,-31.32,121.3,-32.03,,,-,0,0,0,5,5,10,D,2026-06-19,4.45,,,69
131970.KQ,131970,두산테스나,25975,134400.0,75351.25,78.3646588477298,190100.0,-29.300368227248818,41.371514694795934,-95.9,238.23,6.27,60.0,5.84,0.34,61.02,-18.55,-102.37,-83.42,2839 -> 1903 -> 78,0,0,0,5,5,10,D,2026-06-19,4.45,,-83.42,70
007390.KQ,007390,네이처셀,18718,29050.0,22342.0,30.02416972518127,37800.0,-23.14814814814815,47.261663285977214,,1126.55,8.94,,29.67,-4.45,18.57,-35.91,-700.0,,-,0,0,0,5,5,10,D,2026-06-19,4.45,,,71
127120.KQ,127120,제이에스링크,12428,35900.0,28011.35,28.162334196673854,48900.0,-26.58486707566462,40.48027444251915,,,2.08,,13.86,-35.13,79.37,21.38,,,-,0,0,0,5,5,10,D,2026-06-19,4.45,,,72
0009K0.KQ,0009K0,에임드바이오,16523,25550.0,47948.5,-46.71366153268611,72500.0,-64.75862068965517,29.07801418437792,,626.65,1.94,370.29,8.61,5.13,3.32,300.85,,,-,0,0,6,3,1,10,D,2026-06-19,4.45,,,73
085660.KQ,085660,차바이오텍,11091,11930.0,15039.5,-20.67555437348316,23850.0,-49.979035639413,34.15637860072465,,,8.26,,2.16,-37.19,214.81,21.37,,,-,0,3,0,3,3,9,D,2026-06-19,4.45,,,74
032500.KQ,032500,케이엠더블유,9893,23450.0,20301.2,15.51041317754615,38200.0,-38.61256544502618,30.8880308880142,,,6.49,,6.98,-19.66,87.99,11.56,,,-,0,0,0,3,5,8,D,2026-06-19,4.45,,,75
086520.KQ,086520,에코프로,157500,116000.0,112089.0,3.489191624512664,185000.0,-37.2972972972973,32.68072289155937,,336.78,19.6,256.64,7.14,-8.39,117.92,9.11,,,-,0,0,0,3,5,8,D,2026-06-19,4.45,,,76
247540.KQ,247540,에코프로비엠,165724,169400.0,172619.5,-1.8650847673640578,246000.0,-31.138211382113823,28.12499999999639,,364.17,14.15,420.0,9.28,2.29,142.16,-8.5,,,-,0,0,0,3,5,8,D,2026-06-19,4.45,,,77
290650.KQ,290650,엘앤씨바이오,22789,84500.0,65249.25,29.503404253688743,118300.0,-28.57142857142857,56.80751173707676,192.78,8.73,22.68,,10.25,-57.68,118.98,18.75,12.82,,2132 -> 6242,0,0,0,3,5,8,D,2026-06-19,4.45,,,78
226950.KQ,226950,올릭스,26825,132000.0,136596.0,-3.364666608099798,207000.0,-36.231884057971016,33.4103156274021,,,9.0,,20.33,-18.83,30.18,157.89,,,-,0,0,0,3,5,8,D,2026-06-19,4.45,,,79
010170.KQ,010170,대한광통신,25390,16330.0,7212.91,126.39960847979526,29100.0,-43.88316151202749,32.54794520545448,,,0.69,,21.89,-52.05,228.6,-8.71,,,-,0,0,0,3,5,8,D,2026-06-19,4.45,,,80
032820.KQ,032820,우리기술,24882,14500.0,10921.675,32.763518416360135,29300.0,-50.51194539249146,47.59972954694615,-84.85,398.75,4.58,71.78,15.03,0.67,172.08,22.16,-1016.67,,33 -> 5,0,0,0,5,3,8,D,2026-06-19,4.45,,,81
298380.KQ,298380,에이비엘바이오,55483,99100.0,148587.0,-33.30506706508645,245500.0,-59.63340122199593,39.43894389438032,,,12.91,-98.0,30.72,-23.48,79.29,137.43,,,-,0,0,0,5,3,8,D,2026-06-19,4.45,,,82
028300.KQ,028300,HLB,64068,48100.0,49477.75,-2.784584990222878,95100.0,-49.42166140904311,44.444444444418835,,,19.7,,15.4,-44.32,88.14,23.64,,,-,0,0,0,5,3,8,D,2026-06-19,4.45,,,83
089030.KQ,089030,테크윙,22306,60200.0,51866.0,16.068329927119887,71100.0,-15.330520393811534,61.0223642172342,,181.67,14.92,489.43,10.54,4.63,198.75,-14.23,-32.48,,-,0,0,0,3,5,8,D,2026-06-19,4.45,,,84
417200.KQ,417200,LS머트리얼즈,11636,17200.0,15774.55,9.036390895461366,31250.0,-44.96,30.44297832229725,-92.86,746.84,7.58,,6.34,0.24,33.22,8.09,-101.61,-83.26,214 -> 84 -> 6,0,0,0,3,5,8,D,2026-06-19,4.45,,-83.26,85
