yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,analyst_buy_ratio,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,peg,cagr,dividend_year,dividend_report_code,dividend_history_years,dividend_history_source,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_gap,peer_pbr_gap,dart_source,dart_year,dart_fs_div,dart_report_code,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
006400.KS,006400,삼성SDI,323550,,"2차전지, 전자재료 제조 판매",KOSPI,주권,KRX,403000.0,397781.5,1.3119011316514217,712000.0,-43.39887640449438,25.673534072899017,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,-70.17,22.94,26.25,118.0,1.71,-3.15,79.27,-20.04,-574.1,,27788 -> 8288,132667.0,-17224.0,-5849.0,-12.98,-4.41,7923.86,-23367.18,18039.94,186852.25,-168812.31,,,,,,0.0,4.0,True,,,,,,,,,,,,,4.0,OpenDART,432.0,3.01,-2.47,3,-72.69,-43.19,OpenDART,2025.0,CFS,11011,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-07-09,4.25,0,6,0,0,0,0,3,5,14,D,21
267260.KS,267260,HD현대일렉트릭,293784,,"변압기, 고압차단기, 회전기, 배전반 등",KOSPI,주권,KRX,823000.0,911595.0,-9.718679896225845,1420000.0,-42.04225352112676,26.047358834243425,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,46.07,25.65,34.67,37.0,17.52,41.5,134.63,22.79,48.77,68.14,7189 -> 13914 -> 20324,40795.0,9953.0,7318.0,24.4,17.94,9595.73,7176.58,9507.82,27368.8,-17860.98,,34.88,,2555.48,OpenDART,227.11,3.0,False,,,,,,,,,0.8,68.14,2025.0,11011.0,3.0,OpenDART,49.25,16.09,27.45,4,-24.87,8.89,OpenDART,2025.0,CFS,11011,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-07-09,4.25,0,0,20,16,15,10,3,5,69,B,22
066570.KS,066570,LG전자,289934,,"이동통신단말기,C-TV,V.C.R.,컴퓨터,완전평면 TV,플라즈마 디스플레이 패널 TV,전자제품(세탁기외),CDMA(코드분할다중접속)이동통신,전자교환기,전송기기",KOSPI,주권,KRX,179100.0,128335.5,39.55608541673972,392500.0,-54.36942675159236,34.03241182077714,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,161.86,28.06,28.4,18.0,1.36,4.28,140.33,1.68,-27.53,16.18,3942 -> 2032 -> 5321,892009.0,24784.0,12204.0,2.78,1.37,42805.0,3731.2,87698.41,400681.42,-312983.01,0.75,25.4,1350.0,2439.48,OpenDART,12.26,5.0,True,,,,,,,,,0.11,16.18,2025.0,11011.0,5.0,OpenDART,12.5,2.86,7.56,2,,,,,,,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,2026-07-09,4.25,8,6,0,20,12,10,3,3,62,B,23
035420.KS,035420,NAVER,289300,,포털 서비스 및 온라인 광고,KOSPI,주권,KRX,185400.0,235944.5,-21.422198864563487,290500.0,-36.179001721170394,17.176128093155157,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,3.89,24.18,34.66,16.0,1.0,7.36,41.9,12.08,11.56,41.51,6180 -> 11913 -> 12376,120350.0,22081.0,18187.0,18.35,15.11,30958.07,17763.67,59840.19,121314.83,-61474.64,1.42,20.2,2630.0,3935.96,OpenDART,50.62,5.0,True,,,,,,,,,4.11,41.51,2025.0,11011.0,5.0,OpenDART,19.0,1.16,5.98,2,,,,,,,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2026-07-09,4.25,8,8,6,0,15,2,1,5,45,C,24
010120.KS,010120,LS ELECTRIC,284100,,"고압기기,저압기기,변압기,배전반,PLC,인버터,빌딩설비,공조기,건축배관,자동화기기 제조,동가공",KOSPI,주권,KRX,192300.0,146553.0,31.215328243024707,318500.0,-39.623233908948194,32.80632411066968,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,20.11,26.34,18.15,78.0,18.95,14.67,131.48,9.1,9.42,17.98,1373 -> 1591 -> 1911,49658.0,4264.0,2843.0,8.59,5.73,2999.48,903.82,7627.17,28153.81,-20526.64,,31.1,,892.15,OpenDART,,0.0,False,,,,,,,,,3.88,17.98,2025.0,11011.0,0.0,OpenDART,49.25,16.09,27.45,4,58.38,17.78,OpenDART,2025.0,CFS,11011,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-07-09,4.25,0,0,12,0,12,8,3,5,40,C,25
000810.KS,000810,삼성화재,277707,,"손해보험의 원수,재보험,운용자산의 투자활동",KOSPI,주권,KRX,618000.0,511622.5,20.792185644689198,730000.0,-15.342465753424658,34.645669291336674,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,-0.74,9.42,58.38,14.0,1.1,10.97,352.98,9.36,0.36,6.39,35961 -> 41007 -> 40703,247785.0,26591.0,20203.0,10.73,8.15,34131.66,33305.3,20198.04,751580.1,-731382.06,3.16,41.1,19500.0,8289.49,OpenDART,12.91,5.0,False,,,,,,,,,,6.39,2025.0,11011.0,5.0,OpenDART,15.67,0.89,11.23,3,-10.66,23.6,,,,,보험업,보험업,2026-07-09,4.25,8,8,12,0,4,0,3,5,40,C,26
298040.KS,298040,효성중공업,258289,,-,KOSPI,주권,KRX,2823000.0,2557355.0,10.387490199835376,4601000.0,-38.64377309280591,28.098506257569483,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,133.52,20.47,26.77,44.0,14.45,24.41,190.31,21.93,106.07,111.72,12438 -> 23876 -> 55755,59685.0,7470.0,5028.0,12.52,8.42,4930.1,3010.24,2167.73,47381.62,-45213.89,0.27,13.4,7500.0,698.38,OpenDART,73.21,3.0,False,,,,,,,,,0.33,111.72,2025.0,11011.0,3.0,OpenDART,49.25,16.09,27.45,4,-10.66,-10.19,,,,,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-07-09,4.25,0,0,20,20,15,10,3,5,73,A,27
042660.KS,042660,한화오션,240840,,선박 제조,KOSPI,주권,KRX,79400.0,122758.5,-35.3201611293719,149900.0,-47.03135423615744,24.949698189131297,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,135.85,27.59,10.43,20.0,4.64,22.59,226.17,18.63,390.79,131.76,757 -> 1724 -> 4066,127835.0,11676.0,12459.0,9.13,9.75,13146.72,5980.49,7784.71,139659.07,-131874.36,,,,,,,,,,,,,,,,,0.15,131.76,,,,,20.33,5.26,18.38,3,-1.62,-11.79,OpenDART,2025.0,CFS,11011,선박 및 보트 건조업,선박 및 보트 건조업,2026-07-09,4.25,4,0,20,20,15,10,1,3,73,A,28
005490.KS,005490,POSCO홀딩스,235347,,"열연코일,냉연강판,후판,선재,스테인리스 제조",KOSPI,주권,KRX,298500.0,347400.0,-14.075993091537134,535000.0,-44.205607476635514,29.830508474573435,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,-38.15,27.33,31.91,14.0,0.42,1.18,68.64,-4.94,-15.94,-36.54,20079 -> 13073 -> 8085,690949.0,18271.0,5044.0,2.64,0.73,45719.1,-16728.84,70498.0,428147.47,-357649.47,3.35,115.0,10000.0,7562.08,OpenDART,-12.42,5.0,True,,,,,,,,,,-36.54,2025.0,11011.0,5.0,OpenDART,14.0,0.42,1.18,1,,,,,,,1차 철강 제조업,1차 철강 제조업,2026-07-09,4.25,8,10,0,0,0,0,3,5,26,D,29
009540.KS,009540,HD한국조선해양,231781,,"선박,해양구조물,엔진,펌프 전동기,중전기,중장비 제조/자동창고,물류시스템",KOSPI,주권,KRX,328000.0,416162.5,-21.18463340642177,479500.0,-31.595411887382692,23.16715542521804,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,84.96,21.88,33.42,7.0,1.87,17.78,133.86,17.21,172.26,212.72,3133 -> 16565 -> 30639,299332.0,39045.0,29284.0,13.04,9.78,44220.51,34183.5,37420.16,226338.6,-188918.44,3.75,40.11,12300.0,8697.9,OpenDART,141.18,2.0,False,,,,,,,,,0.08,212.72,2025.0,11011.0,2.0,OpenDART,12.67,1.48,11.49,17,-44.75,26.35,,,,,기타 금융업,기타 금융업,2026-07-09,4.25,15,3,16,20,15,10,1,5,85,S,30
