yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,peer_pbr_avg,peer_roe_avg,peer_pbr_gap,peer_per_avg,peer_per_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
028300.KQ,028300,HLB,40692,중견기업부,"의료기기, 의약외품 등",KOSDAQ,주권,KRX,31200.0,44322.5,50541.666666666664,52247.5,50047.5,-37.65922373744942,92500.0,-66.27027027027027,31.290027447384475,-35.14,-50.63,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,,,18.2,,11.3,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,-925.88,-1101.21,409.83,4357.64,-3947.81,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,,,4,2,3,3,,5.58,8.69,102.51,,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-07-20,4.56,0,0,0,0,0,0,3,1,4,D,11
298380.KQ,298380,에이비엘바이오,39303,기술성장기업부,항체의약품 연구개발,KOSDAQ,주권,KRX,71200.0,88975.0,108916.66666666667,145990.83333333334,147746.5,-51.8093491216374,245500.0,-70.9979633401222,19.767441860460522,-28.15,-55.56,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,,,12.88,-78.0,24.52,-23.48,79.29,137.43,,,-,793.0,-404.0,-379.0,-50.95,-47.79,-412.53,-419.05,1119.82,1242.37,-122.55,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,,8,2,7,7,,14.06,-9.41,74.4,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-20,4.56,0,0,0,0,0,0,1,1,2,D,12
039030.KQ,039030,이오테크닉스,39052,우량기업부,레이저 마커 및 레이저 응용기기,KOSDAQ,주권,KRX,322000.0,408350.0,461141.6666666667,431287.5,364697.5,-11.707648119331775,612000.0,-47.385620915032675,29.02255639097622,-35.41,-31.49,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,33.53,50.01,27.12,44.0,7.58,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,3.0,True,3.0,OpenDART,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,20,15,19,19,1.31,8.33,7.42,-9.0,38.84,13.29,24.98,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-20,4.56,0,0,6,10,12,10,3,3,44,C,13
222800.KQ,222800,심텍,37276,중견기업부,반도체용 인쇄회로기판,KOSDAQ,주권,KRX,103400.0,121200.0,112785.0,84725.41666666667,71495.75,44.62398114573244,157300.0,-34.26573426573427,42.39263803680617,-16.81,32.06,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,,,10.38,28.0,6.77,-32.1,181.13,14.55,,,-,14106.0,119.0,-1646.0,0.84,-11.67,-1986.12,-2550.05,539.84,10439.64,-9899.8,0.1,,100.0,37.33,OpenDART,-41.52,5.0,True,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,10,7,9,9,,4.21,9.7,60.81,19.58,43.0,,전자부품 제조업,전자부품 제조업,2026-07-20,4.56,0,0,0,0,0,0,5,5,10,D,14
141080.KQ,141080,리가켐바이오,35945,기술성장기업부,ADC 신약연구개발,KOSDAQ,주권,KRX,98300.0,130745.0,152711.66666666666,170364.16666666666,167840.5,-41.43249096612558,213500.0,-53.95784543325527,17.23107569720875,-26.97,-50.85,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,,483.55,9.57,-70.0,8.92,-13.22,29.7,12.47,,,-,1416.0,-1065.0,-916.0,-75.21,-64.69,-1245.33,-1305.74,986.5,1606.95,-620.45,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,,8,2,7,7,,28.92,-31.49,-69.16,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-20,4.56,0,0,0,0,0,0,1,3,4,D,15
440110.KQ,440110,파두,35872,기술성장기업부,SSD 컨트롤러,KOSDAQ,주권,KRX,71600.0,79680.0,91735.0,70829.16666666667,51801.25,38.22060278468184,128300.0,-44.19329696024942,39.94293865905051,-29.39,21.77,daily_close,NXT 미확인,2026-07-20 22:41 KST,,,,,28.49,,106.74,-131.08,518.5,112.41,,,-,924.0,-655.0,-762.0,-70.89,-82.47,-37.04,-78.42,408.04,1026.33,-618.29,,,,,,,,,,,,4.0,,,130000.0,,,81.56,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,,,5,3,4,4,,3.64,9.64,2832.42,20.98,,,반도체 제조업,반도체 제조업,2026-07-20,4.56,0,0,0,0,0,0,5,5,10,D,16
214450.KQ,214450,파마리서치,33974,우량기업부,재생의약품,KOSDAQ,주권,KRX,328000.0,327725.0,313933.3333333333,330504.1666666667,387347.5,-15.3215136279439,711000.0,-53.867791842475384,44.17989417989091,11.56,7.19,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,65.07,24.5,6.46,18.0,5.58,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,5363.0,2144.0,1683.0,39.98,31.38,1831.62,1473.8,1756.63,3200.1,-1443.47,1.13,25.9,3700.0,427.91,OpenDART,77.64,5.0,False,5.0,OpenDART,,4.0,,,481429.0,,,46.78,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,4,1,3,3,0.28,11.3,4.81,-50.62,,,37.82,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-07-20,4.56,8,0,20,20,15,10,5,3,81,A,17
095610.KQ,095610,테스,33066,우량기업부,반도체장비(화학증착장비),KOSDAQ,주권,KRX,178200.0,177780.0,140808.33333333334,104300.0,80349.75,121.78040379714933,217500.0,-18.068965517241377,48.138854035965394,7.22,97.34,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,33.69,92.12,9.44,42.0,9.21,15.76,24.43,46.23,50.13,504.31,79 -> 2158 -> 2885,3511.0,578.0,569.0,16.46,16.21,824.23,492.84,121.43,957.15,-835.72,0.48,26.4,850.0,150.74,OpenDART,11.0,5.0,True,5.0,OpenDART,,,,,,,,,,,,,,,,,,,2025.0,11011.0,20,15,19,19,1.25,8.2,7.42,12.32,38.84,8.14,504.31,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-20,4.56,0,0,16,10,15,10,5,5,61,B,18
403870.KQ,403870,HPSP,32508,우량기업부,고압 수소 어닐링 장비,KOSDAQ,주권,KRX,39500.0,46897.5,51845.0,47792.083333333336,41785.75,-5.470166264815159,83500.0,-52.69461077844312,34.66522678184697,-30.21,-13.57,daily_close,NXT 미확인,2026-07-20 22:41 KST,,,-16.35,35.96,33.27,30.0,11.79,24.79,19.95,-4.63,-4.26,-6.21,989 -> 1040 -> 870,1730.0,899.0,727.0,51.97,42.02,1002.05,977.76,939.41,614.76,324.65,1.27,55.66,500.0,404.37,OpenDART,49.38,4.0,True,4.0,OpenDART,,4.0,,,68000.0,,,72.15,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,OFS,11011.0,OpenDART,2025.0,11011.0,20,15,19,19,,8.2,7.42,43.78,39.0,-23.08,-6.21,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-20,4.56,0,0,20,0,0,0,3,3,26,D,19
214370.KQ,214370,케어젠,32229,벤처기업부,"성장인자, 바이오미메틱펩타이드 기반 안면, 두피, 바디 코스메슈티컬 제품",KOSDAQ,주권,KRX,60000.0,66570.0,82326.66666666667,96518.33333333333,85016.5,-29.425464468661964,150100.0,-60.02664890073285,36.36363636362479,-15.73,-39.27,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,-37.87,92.25,4.06,141.84,14.06,9.23,8.85,-11.86,-40.35,-29.05,743 -> 602 -> 374,728.0,204.0,201.0,28.02,27.61,185.89,136.68,88.59,187.99,-99.4,0.73,106.3,437.0,213.57,OpenDART,-45.5,4.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-16,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,8,1,7,7,,18.5,-23.48,-24.0,,,-29.05,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-20,4.56,0,0,6,0,0,0,5,1,12,D,20
347850.KQ,347850,디앤디파마텍,29473,기술성장기업부,대사성질환 치료제 등,KOSDAQ,주권,KRX,64300.0,83550.0,82011.66666666667,81744.16666666667,79636.72,-19.258352177236834,111200.0,-42.17625899280576,31.04838709676835,-42.18,-21.59,daily_close,NXT 미확인,2026-07-20 22:41 KST,,,,,6.89,,54.29,-31.49,23.5,-62.28,,,-,43.0,-340.0,-240.0,-790.7,-558.14,-211.39,-212.03,328.84,185.6,143.24,,,,,,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,8,2,7,7,,19.05,-18.83,184.99,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-20,4.56,0,0,0,0,0,0,3,5,8,D,21
084370.KQ,084370,유진테크,29309,우량기업부,실리콘질화막증착용LP-CVD,KOSDAQ,주권,KRX,137300.0,161965.0,149305.0,133805.83333333334,113260.0,21.22549885219848,206500.0,-33.510895883777245,41.33395960544585,-18.08,6.19,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,-32.89,30.03,36.77,51.0,9.75,9.81,18.16,3.61,-15.52,31.84,1066 -> 2761 -> 1853,3503.0,517.0,445.0,14.76,12.7,664.77,452.3,549.25,892.21,-342.96,0.17,12.3,230.0,52.02,OpenDART,-3.93,5.0,True,5.0,OpenDART,,,,,,,,,,,,,,,,,,,2025.0,11011.0,20,15,19,19,,8.2,7.42,18.9,38.84,31.31,31.84,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-20,4.56,0,0,6,0,15,0,5,5,31,D,22
095340.KQ,095340,ISC,28743,우량기업부,반도체테스트소켓,KOSDAQ,주권,KRX,140200.0,164465.0,201715.0,198684.16666666666,156441.0,-10.381549593776567,271000.0,-48.26568265682657,29.92817238626961,-24.62,-39.04,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,2.68,60.46,31.83,35.0,5.66,10.6,15.85,26.19,34.15,91.78,720 -> 2579 -> 2648,2202.0,601.0,563.0,27.29,25.57,417.12,353.78,798.71,851.6,-52.89,0.61,31.0,850.0,173.95,OpenDART,12.31,5.0,True,5.0,OpenDART,,4.0,,,292500.0,,,108.63,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,13.06,,,,,,91.78,기계장비 및 관련 물품 도매업,기계장비 및 관련 물품 도매업,2026-07-20,4.56,0,0,12,0,15,2,3,3,35,D,23
131290.KQ,131290,티에스이,28593,우량기업부,"Probe Card, Test Interface Board, OLED Test Equipment, Test Socket",KOSDAQ,주권,KRX,266000.0,249075.0,218723.33333333334,160831.66666666666,118560.75,124.3575550930641,284500.0,-6.502636203866433,57.23270440251236,9.02,69.97,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,-10.0,1517.12,9.85,21.0,6.51,10.42,30.88,23.21,23.31,1672.52,11 -> 3840 -> 3456,4289.0,492.0,400.0,11.47,9.33,485.7,-22.4,758.17,1434.62,-676.45,0.17,12.4,450.0,49.78,OpenDART,-3.45,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,,,1672.52,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2026-07-20,4.56,4,0,12,0,15,0,3,0,34,D,24
214150.KQ,214150,클래시스,28573,우량기업부,미용의료기기,KOSDAQ,주권,KRX,43350.0,46572.5,48928.333333333336,54013.75,53779.75,-19.39345199633691,75600.0,-42.65873015873016,34.626038781136586,-7.17,-24.48,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,32.76,30.47,70.66,17.0,5.69,26.21,27.73,38.66,39.38,32.57,1146 -> 1517 -> 2014,3368.0,1706.0,1320.0,50.65,39.19,1639.36,1446.82,375.21,1529.75,-1154.54,2.31,49.4,1000.0,651.53,OpenDART,105.04,5.0,False,5.0,OpenDART,,4.0,,,77688.0,,,79.21,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,3,1,2,2,0.52,,,,,,32.57,의료용 기기 제조업,의료용 기기 제조업,2026-07-20,4.56,8,0,20,20,15,10,3,5,81,A,25
145020.KQ,145020,휴젤,28299,우량기업부,"보툴리눔톡신, 필러",KOSDAQ,주권,KRX,232000.0,249175.0,255433.33333333334,256575.0,252245.0,-8.02592717397768,388000.0,-40.20618556701031,30.396475770921356,-4.13,-14.39,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,3.3,21.91,57.69,16.0,2.47,16.06,9.86,13.97,20.88,22.87,7517 -> 10985 -> 11348,4251.0,2009.0,1470.0,47.26,34.58,1500.59,1205.36,2096.98,966.76,1130.22,,,,,,,,,,,,4.0,,,378462.0,,,63.13,,,Naver/FnGuide,,KRW,2026-07-20,2025.0,CFS,11011,OpenDART,,,8,1,7,7,4.85,18.5,-23.48,-86.65,,,22.87,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-20,4.56,8,3,16,0,12,2,3,5,49,C,26
031980.KQ,031980,피에스케이홀딩스,27642,우량기업부,"Descum, Reflow",KOSDAQ,주권,KRX,132900.0,135405.0,127191.66666666667,109985.0,85324.5,55.75831091890372,166500.0,-20.18018018018018,47.95982423100645,18.13,18.34,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,-4.32,11.02,6.35,20.0,5.42,19.55,15.5,-3.57,-17.06,46.54,1980 -> 4444 -> 4252,2078.0,734.0,917.0,35.32,44.13,814.17,792.28,1827.79,785.01,1042.78,0.81,25.4,1080.0,232.87,OpenDART,39.25,1.0,False,4.0,OpenDART,,4.0,,,191600.0,,,44.17,,,Naver/FnGuide,,KRW,2026-07-20,2025.0,CFS,11011,OpenDART,2025.0,11011,20,15,19,19,,8.33,7.42,-34.93,39.0,-48.72,46.54,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-20,4.56,4,0,16,0,15,0,5,5,45,C,27
108490.KQ,108490,로보티즈,27005,기술성장기업부,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",KOSDAQ,주권,KRX,189100.0,228400.0,286358.3333333333,276366.6666666667,256802.725,-26.363709730883894,405000.0,-53.308641975308646,31.40540540540303,-34.11,-33.88,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,,691.83,7.57,451.0,7.56,2.49,1.79,29.67,,,-,389.0,33.0,53.0,8.48,13.62,70.75,46.35,310.38,56.29,254.09,,,,,,,,,,,,4.0,,,398000.0,,,110.47,,,Naver/FnGuide,,KRW,2026-07-20,2025.0,CFS,11011,OpenDART,,,20,15,19,19,,8.33,8.9,-9.24,38.84,1061.17,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-20,4.56,0,0,0,0,0,0,3,3,6,D,28
080220.KQ,080220,제주반도체,26865,우량기업부,"모바일용 LP DDR SDRAM, CRAM, SRAM",KOSDAQ,주권,KRX,78000.0,93205.0,87000.0,64256.666666666664,47230.95,65.14594773130756,134000.0,-41.7910447761194,40.021119324175714,-31.76,81.4,daily_close,NXT 미확인,2026-07-20 22:41 KST,,,102.29,22.3,2.82,22.41,8.14,19.21,47.94,86.2,273.96,53.63,486 -> 567 -> 1147,3022.0,359.0,395.0,11.88,13.07,255.55,228.3,772.3,1088.84,-316.54,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,,,5,2,4,4,0.22,3.64,2.73,123.63,,,53.63,반도체 제조업,반도체 제조업,2026-07-20,4.56,4,0,16,20,15,10,5,5,75,A,29
087010.KQ,087010,펩트론,25299,기술성장기업부,약효지속성 의약품 및 펩타이드 소재,KOSDAQ,주권,KRX,109000.0,162860.0,225978.33333333334,253893.33333333334,262561.0,-58.485837576791674,386000.0,-71.76165803108809,20.376378974689914,-46.7,-58.32,nxt_web_latest,NXT 체결가,2026-07-20 22:31 KST,,,,,5.24,,18.5,-9.41,26.03,75.0,,,-,56.0,-213.0,-138.0,-380.36,-246.43,-205.86,-235.83,43.78,369.71,-325.93,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,OFS,11011.0,OpenDART,,,8,2,7,7,,14.06,-23.48,31.58,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-20,4.56,0,0,0,0,0,0,1,1,2,D,30
