yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
068270.KS,068270,셀트리온,412550,,"램시마, 트룩시마, 허쥬마",KOSPI,주권,KRX,177000.0,175340.0,177035.13333333333,189402.06666666668,185305.825,-4.4822255317662085,236861.0,-25.27262825032403,48.581560283663826,-1.23,-10.29,nxt_web_latest,NXT 체결가,2026-07-28 22:15 KST,,,148.85,65.74,24.85,28.0,2.31,5.94,28.71,17.01,137.5,15.32,3187 -> 1703 -> 4238,41625.0,11685.0,10315.0,28.07,24.78,6460.51,3143.17,11192.06,49823.7,-38631.64,,15.92,,1639.6,OpenDART,-50.0,0.0,True,2.0,OpenDART,,4.0,,,265398.0,,,49.94,,,Naver/FnGuide,,KRW,2026-07-24,2025.0,CFS,11011.0,OpenDART,0.19,15.32,2025.0,11011.0,2,1,1,1,,,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-28,4.63,0,3,6,20,12,10,5,5,61,B,17
012330.KS,012330,현대모비스,399223,,"자동차A/S용 부품,컨테이너,특수중기,산업기계제품 생산,판매,부품모듈화,부품수출사업,환경/플랜트사업,특수중기부문(컨테이너)",KOSPI,주권,KRX,430500.0,486550.0,555866.6666666666,490716.6666666667,432512.5,-0.46530447096904715,768000.0,-43.9453125,39.04382470119304,-14.24,-3.69,nxt_web_latest,NXT 체결가,2026-07-28 22:15 KST,,,-8.74,7.12,37.16,10.0,0.83,7.68,43.05,6.78,9.24,4.5,36340 -> 43480 -> 39682,611181.0,33575.0,36647.0,5.49,6.0,44725.15,29568.58,49223.78,211877.37,-162653.59,1.51,15.9,6500.0,5797.54,OpenDART,17.57,5.0,False,5.0,OpenDART,,4.0,,,774800.0,,,79.98,,,Naver/FnGuide,,KRW,2026-07-20,2025.0,CFS,11011.0,OpenDART,,4.5,2025.0,11011.0,1,0,0,0,,,,,,자동차 신품 부품 제조업,자동차 신품 부품 제조업,2026-07-28,4.63,12,8,6,0,4,0,5,5,40,C,18
034730.KS,034730,SK,392239,,"지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매",KOSPI,주권,KRX,531000.0,635400.0,623258.3333333334,487104.1666666667,395430.0,34.284196950155525,858000.0,-38.111888111888106,40.61810154525261,-32.36,28.26,nxt_web_latest,NXT 체결가,2026-07-28 22:15 KST,,,,11.73,29.84,5.0,1.08,6.35,149.17,-0.56,-24.1,,-,1227033.0,18185.0,35552.0,1.48,2.9,60987.98,-39820.79,252141.32,1278283.33,-1026142.01,1.51,27.6,8000.0,4407.19,OpenDART,16.96,5.0,True,5.0,OpenDART,,4.0,,,853692.0,,,60.77,,,Naver/FnGuide,,KRW,2026-07-20,2025.0,CFS,11011.0,OpenDART,,,2025.0,11011.0,18,17,17,16,8.0,0.97,9.04,-37.5,11.34,기타 금융업,기타 금융업,2026-07-28,4.63,15,8,6,0,0,0,5,5,39,D,19
086790.KS,086790,하나금융지주,337472,,기타 금융,KOSPI,주권,KRX,125600.0,127840.0,122965.0,119481.66666666667,108647.5,15.603212223014795,136800.0,-8.187134502923977,44.68664850134535,9.41,-1.1,nxt_web_latest,NXT 체결가,2026-07-28 22:15 KST,,,9.62,4.94,68.5,8.0,0.73,9.17,1377.89,-15.53,10.21,10.23,11613 -> 12872 -> 14110,689436.0,53509.0,40366.0,7.76,5.85,-19624.71,-39700.46,365650.97,6289451.22,-5923800.25,3.27,28.0,4105.0,11177.79,OpenDART,7.01,5.0,False,5.0,OpenDART,,4.0,,,164737.0,,,31.16,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11011,OpenDART,0.83,10.23,2025.0,11011,18,17,17,16,8.0,1.08,8.82,0.0,-32.41,기타 금융업,기타 금융업,2026-07-28,4.63,15,10,6,16,8,5,5,0,65,B,20
035420.KS,035420,NAVER,329582,,포털 서비스 및 온라인 광고,KOSPI,주권,KRX,206500.0,197170.0,213471.66666666666,220515.0,233619.0,-11.60821679743514,290500.0,-28.915662650602407,55.43293718165725,1.23,-5.92,nxt_web_latest,NXT 체결가,2026-07-28 22:15 KST,,,3.89,24.18,35.3,16.0,0.94,7.36,41.9,12.08,11.56,41.51,6180 -> 11913 -> 12376,120350.0,22081.0,18187.0,18.35,15.11,30958.07,17763.67,59840.19,121314.83,-61474.64,1.27,20.2,2630.0,3935.96,OpenDART,42.23,5.0,True,5.0,OpenDART,,4.0,,,330143.0,,,59.88,,,Naver/FnGuide,,KRW,2026-07-20,2025.0,CFS,11011.0,OpenDART,4.11,41.51,2025.0,11011.0,2,1,1,1,,,,,,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2026-07-28,4.63,8,8,6,0,15,2,3,5,47,C,21
006400.KS,006400,삼성SDI,307836,,"2차전지, 전자재료 제조 판매",KOSPI,주권,KRX,379000.0,438025.0,540958.3333333334,489995.8333333333,411155.0,-7.820651579088178,712000.0,-46.76966292134831,40.48338368579889,-25.98,-44.26,nxt_web_latest,NXT 체결가,2026-07-28 22:15 KST,,,-70.17,22.94,26.38,85.0,1.33,-3.15,79.27,-20.04,-574.1,,27788 -> 8288,132667.0,-17224.0,-5849.0,-12.98,-4.41,7923.86,-23367.18,18039.94,186852.25,-168812.31,,,,,,0.0,0.0,True,4.0,OpenDART,,3.96,,,797783.0,,,110.5,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11011,OpenDART,,,,,3,1,2,2,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-07-28,4.63,0,6,0,0,0,0,5,3,14,D,22
000810.KS,000810,삼성화재,271903,,"손해보험의 원수,재보험,운용자산의 투자활동",KOSPI,주권,KRX,625000.0,640250.0,609600.0,550779.1666666666,522407.5,19.638404885075346,730000.0,-14.383561643835616,39.775910364144096,0.0,29.4,nxt_web_latest,NXT 체결가,2026-07-28 22:15 KST,,,-0.74,9.42,58.18,13.0,1.07,10.97,352.98,9.36,0.36,6.39,35961 -> 41007 -> 40703,247785.0,26591.0,20203.0,10.73,8.15,34131.66,33305.3,20198.04,751580.1,-731382.06,3.12,41.1,19500.0,8289.49,OpenDART,12.22,5.0,False,5.0,OpenDART,,3.88,,,732500.0,,,17.2,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11011,OpenDART,,6.39,2025.0,11011,3,2,2,2,,,,,,보험업,보험업,2026-07-28,4.63,8,8,12,0,4,0,5,5,42,C,23
010120.KS,010120,LS ELECTRIC,263250,,"고압기기,저압기기,변압기,배전반,PLC,인버터,빌딩설비,공조기,건축배관,자동화기기 제조,동가공",KOSPI,주권,KRX,172900.0,204555.0,238868.33333333334,198021.66666666666,154603.5,11.834466878175462,318500.0,-45.714285714285715,42.011524358299695,-22.81,-33.88,nxt_web_latest,NXT 체결가,2026-07-28 22:15 KST,,,20.11,26.34,18.01,55.0,14.38,14.67,131.48,9.1,9.42,17.98,1373 -> 1591 -> 1911,49658.0,4264.0,2843.0,8.59,5.73,2999.48,903.82,7627.17,28153.81,-20526.64,,31.1,,892.15,OpenDART,,0.0,False,0.0,OpenDART,,4.0,,,300000.0,,,73.51,,,Naver/FnGuide,,KRW,2026-07-27,2025.0,CFS,11011.0,OpenDART,2.73,17.98,2025.0,11011.0,3,2,2,2,,,,,,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-07-28,4.63,0,0,12,0,12,8,5,3,40,C,24
066570.KS,066570,LG전자,256543,,"이동통신단말기,C-TV,V.C.R.,컴퓨터,완전평면 TV,플라즈마 디스플레이 패널 TV,전자제품(세탁기외),CDMA(코드분할다중접속)이동통신,전자교환기,전송기기",KOSPI,주권,KRX,154600.0,183210.0,209401.66666666666,163298.33333333334,134328.0,15.09141802155917,392500.0,-60.61146496815286,37.278582930752634,-21.4,10.43,nxt_web_latest,NXT 체결가,2026-07-28 22:15 KST,,,161.86,28.06,28.92,13.0,1.11,4.28,140.33,1.68,-27.53,16.18,3942 -> 2032 -> 5321,892009.0,24784.0,12204.0,2.78,1.37,42805.0,3731.2,87698.41,400681.42,-312983.01,0.87,25.4,1350.0,2439.48,OpenDART,24.47,5.0,True,5.0,OpenDART,,4.0,,,218250.0,,,41.17,,,Naver/FnGuide,,KRW,2026-07-28,2025.0,CFS,11011,OpenDART,0.08,16.18,2025.0,11011,2,1,1,1,,,,,,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,2026-07-28,4.63,8,8,0,20,12,10,5,1,64,B,25
267260.KS,267260,HD현대일렉트릭,254132,,"변압기, 고압차단기, 회전기, 배전반 등",KOSPI,주권,KRX,699000.0,845850.0,1026266.6666666666,1002625.0,924130.0,-24.361291160334588,1420000.0,-50.774647887323944,33.04195804195723,-25.4,-43.54,nxt_web_latest,NXT 체결가,2026-07-28 22:15 KST,,,46.07,25.65,34.44,28.0,13.02,41.5,134.63,22.79,48.77,68.14,7189 -> 13914 -> 20324,40795.0,9953.0,7318.0,24.4,17.94,9595.73,7176.58,9507.82,27368.8,-17860.98,,34.88,,2555.48,OpenDART,227.11,0.0,False,3.0,OpenDART,,4.0,,,1445714.0,,,106.83,,,Naver/FnGuide,,KRW,2026-07-20,2025.0,CFS,11011.0,OpenDART,0.61,68.14,2025.0,11011.0,3,2,2,2,,,,,,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-07-28,4.63,0,0,20,20,15,10,3,3,71,A,26
