yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_pbr_gap,peer_per_avg,peer_per_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
403870.KQ,403870,HPSP,44359,우량기업부,,KOSDAQ,주권,KRX,53700.0,51597.5,44591.666666666664,47904.166666666664,44044.0,21.923531014440105,83500.0,-35.688622754491014,60.86956521733837,19.6,6.13,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,-16.35,35.96,33.26,35.0,13.18,24.79,19.95,-4.63,-4.26,-6.21,989 -> 1040 -> 870,1729.65,899.02,726.62,51.98,42.01,1002.05,977.76,939.41,614.76,324.65,0.93,55.66,500.0,404.37,OpenDART,49.38,4.0,True,4.0,OpenDART,,4.0,,,67800.0,,,26.26,,,Naver/FnGuide,,KRW,2026-09-15,2025.0,OFS,11011.0,OpenDART,,2025.0,11011.0,5.54,8.16,20,17,18,18,137.91,30.0,16.67,-6.21,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-18,4.25,0,0,20,0,0,0,3,5,28,D,11
028300.KQ,028300,HLB,39493,중견기업부,,KOSDAQ,주권,KRX,30050.0,33460.0,37121.666666666664,45702.083333333336,47959.25,-37.34263984528532,92500.0,-67.51351351351352,27.530364372438427,-22.25,-40.26,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,,,18.48,,13.03,-44.32,88.14,23.64,,,-,841.73,-1042.17,-2354.15,-123.81,-279.68,-925.88,-1101.21,409.83,4357.64,-3947.81,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-09-15,2025.0,CFS,11011.0,OpenDART,,,,,,3,2,2,2,,,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-09-18,4.25,0,0,0,0,0,0,3,1,4,D,12
095340.KQ,095340,ISC,39490,우량기업부,,KOSDAQ,주권,KRX,186300.0,177410.0,158605.0,191550.0,173144.0,7.598299681190223,271000.0,-31.25461254612546,60.579345088150525,20.74,-2.2,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,2.68,60.46,29.73,44.0,6.76,10.6,15.85,26.19,34.15,91.78,720 -> 2579 -> 2648,2201.95,600.54,563.43,27.27,25.59,417.12,353.78,798.71,851.6,-52.89,0.46,31.0,850.0,173.95,OpenDART,12.31,5.0,True,5.0,OpenDART,,4.0,,,220429.0,,,18.32,,,Naver/FnGuide,,KRW,2026-09-18,2025.0,CFS,11011.0,OpenDART,16.42,2025.0,11011.0,,,1,0,0,0,,,,91.78,기계장비 및 관련 물품 도매업,기계장비 및 관련 물품 도매업,2026-09-18,4.25,0,0,12,0,15,2,3,5,37,D,13
000250.KQ,000250,삼천당제약,37438,중견기업부,,KOSDAQ,주권,KRX,160700.0,163635.0,176625.0,301579.1666666667,364472.5,-55.90888201441809,1184000.0,-86.42736486486487,42.49999999998761,-4.74,-32.62,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,,1036.5,4.7,215.04,12.62,1.94,54.36,9.91,226.92,,-,2318.05,84.67,120.3,3.65,5.19,97.93,-497.95,959.44,1976.38,-1016.94,0.03,22.1,50.0,11.63,OpenDART,-75.0,2.0,True,2.0,OpenDART,,,,,,,,,,,,,KRW,2026-09-18,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,3.49,9.66,7,5,6,6,261.6,14.62,1370.86,,의약품 제조업,의약품 제조업,2026-09-18,4.25,0,0,0,0,0,0,5,1,6,D,14
319660.KQ,319660,피에스케이,36758,우량기업부,,KOSDAQ,주권,KRX,126700.0,126370.0,144363.33333333334,126484.16666666667,95818.25,32.229507426821094,211500.0,-40.09456264775414,49.053030303017295,3.68,-25.34,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,-0.73,10.42,23.42,23.0,6.04,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,4572.13,884.94,785.46,19.36,17.18,617.31,431.97,1194.22,1069.62,124.6,0.54,25.1,680.0,196.97,OpenDART,19.35,5.0,True,5.0,OpenDART,,3.83,,,190000.0,,,49.96,,,Naver/FnGuide,,KRW,2026-09-18,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,5.54,8.16,20,17,18,18,9.03,32.0,-28.12,22.31,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-18,4.25,4,0,16,0,12,0,5,5,42,C,15
087010.KQ,087010,펩트론,36375,기술성장기업부,,KOSDAQ,주권,KRX,155900.0,161450.0,158511.66666666666,209443.33333333334,235123.5,-33.69442016642318,386000.0,-59.611398963730565,37.231057062670516,-12.71,-27.82,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,,,3.84,,29.71,-9.41,26.03,75.0,,,-,56.35,-212.57,-138.24,-377.23,-245.32,-205.86,-235.83,43.78,369.71,-325.93,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-09-17,2025.0,OFS,11011.0,OpenDART,,,,9.95,-4.45,6,2,5,5,198.59,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-09-18,4.25,0,0,0,0,0,0,5,3,8,D,16
031980.KQ,031980,피에스케이홀딩스,34478,우량기업부,,KOSDAQ,주권,KRX,159900.0,141045.0,126550.0,122242.5,101025.0,58.27765404602822,167000.0,-4.251497005988024,71.22128174122132,48.74,30.11,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,-4.32,11.02,6.2,20.0,5.2,19.55,15.5,-3.57,-17.06,46.54,1980 -> 4444 -> 4252,2077.64,734.01,916.85,35.33,44.13,814.17,792.28,1827.79,785.01,1042.78,0.68,25.4,1080.0,232.87,OpenDART,39.25,1.0,False,4.0,OpenDART,,4.0,,,195000.0,,,21.95,,,Naver/FnGuide,,KRW,2026-09-19,2025.0,CFS,11011,OpenDART,,2025.0,11011,5.79,8.16,20,17,18,18,-10.19,32.0,-37.5,46.54,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-18,4.25,4,0,16,0,15,0,1,0,36,D,17
214450.KQ,214450,파마리서치,34026,우량기업부,,KOSDAQ,주권,KRX,327000.0,381775.0,368000.0,336120.8333333333,356622.5,-8.306402428338089,711000.0,-54.008438818565395,7.692307692306784,-18.35,7.39,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,65.07,24.5,9.99,20.0,5.93,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,5362.89,2143.96,1682.55,39.98,31.37,1831.62,1473.8,1756.63,3200.1,-1443.47,1.13,25.9,3700.0,427.91,OpenDART,77.64,5.0,False,5.0,OpenDART,,4.0,,,518750.0,,,58.64,,,Naver/FnGuide,,KRW,2026-09-15,2025.0,CFS,11011.0,OpenDART,0.31,2025.0,11011.0,,,3,1,2,2,,,,37.82,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-09-18,4.25,4,0,20,20,15,10,1,3,73,A,18
084370.KQ,084370,유진테크,31624,우량기업부,,KOSDAQ,주권,KRX,137400.0,135790.0,136443.33333333334,137721.66666666666,122248.5,12.39401710450435,206500.0,-33.46246973365618,53.59019264447022,6.93,-15.08,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,-32.89,30.03,37.62,27.46,5.53,9.81,18.16,3.61,-15.52,31.84,1066 -> 2761 -> 1853,3503.24,516.72,444.82,14.75,12.7,664.77,452.3,549.25,892.21,-342.96,0.17,12.3,230.0,52.02,OpenDART,-5.2,5.0,True,5.0,OpenDART,,4.0,,,180000.0,,,31.0,,,Naver/FnGuide,,KRW,2026-09-16,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,5.79,8.16,20,17,18,18,-4.49,32.0,-14.19,31.84,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-18,4.25,0,0,6,0,15,0,5,5,31,D,19
298380.KQ,298380,에이비엘바이오,31352,기술성장기업부,,KOSDAQ,주권,KRX,56200.0,68310.0,77231.66666666667,103603.33333333333,139345.0,-59.66844881409451,245500.0,-77.10794297352342,19.780219780209634,-25.27,-43.12,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,,,12.99,-68.0,23.18,-23.48,79.29,137.43,,,-,793.5,-403.9,-378.77,-50.9,-47.73,-412.53,-419.05,1119.82,1242.37,-122.55,,,,,,,,,,,,4.0,,,240000.0,,,327.05,,,Naver/FnGuide,,KRW,2026-09-17,2025.0,CFS,11011.0,OpenDART,,,,9.95,-4.45,6,2,5,5,132.96,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-09-18,4.25,0,0,0,0,0,0,1,1,2,D,20
440110.KQ,440110,파두,30567,기술성장기업부,,KOSDAQ,주권,KRX,61000.0,65300.0,67685.0,76495.0,60527.0,0.7814694268673485,128300.0,-52.4551831644583,45.40117416828502,-1.45,-29.32,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,,,27.78,,54.82,-131.08,518.5,112.41,,,-,924.19,-654.7,-762.18,-70.84,-82.47,-37.04,-78.42,408.04,1026.33,-618.29,,,,,,,,,,,,4.0,,,115000.0,,,88.52,,,Naver/FnGuide,,KRW,2026-09-18,2025.0,CFS,11011.0,OpenDART,,,,3.06,9.64,5,3,4,4,1691.5,11.02,,,반도체 제조업,반도체 제조업,2026-09-18,4.25,0,0,0,0,0,0,5,3,8,D,21
141080.KQ,141080,리가켐바이오,30429,기술성장기업부,,KOSDAQ,주권,KRX,81900.0,91165.0,106206.66666666667,137916.66666666666,156019.5,-47.506561679790025,213500.0,-61.63934426229508,21.031746031734357,-18.1,-46.33,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,,483.55,11.95,-39.0,8.74,-13.22,29.7,12.47,,,-,1415.53,-1064.86,-915.52,-75.23,-64.68,-1245.33,-1305.74,986.5,1606.95,-620.45,,,,,,,,,,,,4.0,,,227500.0,,,177.78,,,Naver/FnGuide,,KRW,2026-09-17,2025.0,CFS,11011.0,OpenDART,,,,31.43,-31.49,9,2,7,7,-72.19,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-09-18,4.25,0,0,0,0,0,0,1,1,2,D,22
064760.KQ,064760,티씨케이,30016,우량기업부,,KOSDAQ,주권,KRX,269000.0,253425.0,227673.33333333334,251249.16666666666,225936.0,19.060264853763897,348500.0,-22.812051649928264,59.633027522928124,19.29,4.26,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,-2.77,18.81,66.58,25.0,4.89,13.5,9.3,9.29,3.97,6.91,5246 -> 6167 -> 5996,3013.34,838.87,699.03,27.84,23.2,541.11,495.32,362.27,483.14,-45.27,0.53,22.9,1430.0,159.87,OpenDART,-5.6,5.0,True,5.0,OpenDART,,4.0,,,321667.0,,,19.58,,,Naver/FnGuide,,KRW,2026-09-17,2025.0,OFS,11011.0,OpenDART,,2025.0,11011.0,,,1,0,0,0,,,,6.91,기타 비금속 광물제품 제조업,기타 비금속 광물제품 제조업,2026-09-18,4.25,4,0,12,0,4,0,3,5,28,D,23
010170.KQ,010170,대한광통신,28484,중견기업부,,KOSDAQ,주권,KRX,18400.0,14331.0,12369.666666666666,15202.916666666666,10622.57,73.21608612605048,29100.0,-36.769759450171826,74.88789237656408,51.82,28.04,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,,,2.98,,18.71,-52.05,228.6,-8.71,,,-,1394.47,-214.11,-279.73,-15.35,-20.06,-122.2,-130.89,97.78,1523.64,-1425.86,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-09-16,2025.0,CFS,11011.0,OpenDART,,,,,,1,0,0,0,,,,,절연선 및 케이블 제조업,절연선 및 케이블 제조업,2026-09-18,4.25,0,0,0,0,0,0,1,5,6,D,24
257720.KQ,257720,실리콘투,27246,우량기업부,,KOSDAQ,주권,KRX,41300.0,47462.5,40777.5,40412.5,41158.75,0.3431834057156741,61800.0,-33.17152103559871,11.377245508972493,-13.33,22.92,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,31.11,14.49,11.88,15.0,5.15,46.89,55.09,61.43,49.27,103.34,631 -> 1990 -> 2609,11162.87,2053.62,1685.85,18.4,15.1,11.41,-58.98,773.23,2520.18,-1746.95,0.74,11.9,306.0,200.28,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,59000.0,,,42.86,,,Naver/FnGuide,,KRW,2026-09-16,2025.0,CFS,11011.0,OpenDART,0.48,2025.0,11011.0,,,1,0,0,0,,,,103.34,상품 종합 도매업,상품 종합 도매업,2026-09-18,4.25,8,0,20,20,15,10,1,5,79,A,25
131290.KQ,131290,티에스이,26879,우량기업부,,KOSDAQ,주권,KRX,243000.0,247850.0,237178.33333333334,210160.83333333334,157379.0,54.404336029584634,306500.0,-20.717781402936378,51.38248847925936,9.46,-2.61,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,-10.0,1517.12,11.71,17.0,5.2,10.42,30.88,23.21,23.31,1672.52,11 -> 3840 -> 3456,4289.01,491.72,400.44,11.46,9.34,485.7,-22.4,758.17,1434.62,-676.45,0.19,12.4,450.0,49.78,OpenDART,-3.45,2.0,True,4.0,OpenDART,,4.0,,,380000.0,,,56.38,,,Naver/FnGuide,,KRW,2026-09-17,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,,,2,1,1,1,,,,1672.52,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2026-09-18,4.25,8,0,12,0,15,0,5,5,45,C,26
145020.KQ,145020,휴젤,26782,우량기업부,,KOSDAQ,주권,KRX,215000.0,240375.0,246283.33333333334,251412.5,249282.5,-13.752469587716748,388000.0,-44.58762886597938,21.09374999999538,-12.24,-17.15,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,3.3,21.91,58.57,17.0,2.46,16.06,9.86,13.97,20.88,22.87,7517 -> 10985 -> 11348,4251.1,2008.51,1469.74,47.25,34.57,1500.59,1205.36,2096.98,966.76,1130.22,,,,,,,,,,,,4.0,,,393333.0,,,82.95,,,Naver/FnGuide,,KRW,2026-09-19,2025.0,CFS,11011,OpenDART,5.15,,,23.18,-9.41,6,1,5,5,-89.39,,,22.87,기초 의약물질 제조업,기초 의약물질 제조업,2026-09-18,4.25,8,3,16,0,12,2,1,5,47,C,27
095610.KQ,095610,테스,26736,우량기업부,,KOSDAQ,주권,KRX,138100.0,140960.0,150525.0,130468.33333333333,100693.75,37.14853205884179,217500.0,-36.50574712643678,47.002724795631366,3.91,-15.02,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,33.69,92.12,8.99,26.0,5.4,15.76,24.43,46.23,50.13,504.31,79 -> 2158 -> 2885,3511.16,578.38,569.18,16.47,16.21,824.23,492.84,121.43,957.15,-835.72,0.62,26.4,850.0,150.74,OpenDART,19.35,5.0,True,5.0,OpenDART,,4.0,,,215286.0,,,55.89,,,Naver/FnGuide,,KRW,2026-09-16,2025.0,CFS,11011.0,OpenDART,0.77,2025.0,11011.0,5.79,8.16,20,17,18,18,-6.74,32.0,-18.75,504.31,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-18,4.25,0,0,16,16,15,10,5,5,67,B,28
357780.KQ,357780,솔브레인,25747,우량기업부,,KOSDAQ,주권,KRX,331000.0,333000.0,311641.6666666667,362004.1666666667,357350.0,-7.373723240520498,501000.0,-33.93213572854291,44.49760765549643,1.53,-1.93,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,-33.25,18.26,30.47,15.0,2.17,7.66,30.15,6.95,-20.43,-22.12,16759 -> 15226 -> 10164,9233.82,1336.42,839.89,14.47,9.1,1469.22,268.78,2476.57,3351.74,-875.17,0.71,22.77,2350.0,179.98,OpenDART,6.42,2.0,False,4.0,OpenDART,,4.0,,,493429.0,,,49.07,,,Naver/FnGuide,,KRW,2026-09-15,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,,,2,1,1,1,,,,-22.12,기타 화학제품 제조업,기타 화학제품 제조업,2026-09-18,4.25,8,3,6,0,0,0,5,5,27,D,29
067310.KQ,067310,하나마이크론,25698,중견기업부,,KOSDAQ,주권,KRX,38550.0,35762.5,36455.833333333336,38850.416666666664,35272.75,9.291166693835894,56800.0,-32.13028169014084,61.02941176464306,10.14,-20.1,daily_close,NXT 미확인,2026-09-19 00:20 KST,,,,44.79,19.71,10.0,4.18,9.89,209.16,22.68,19.57,,-,15344.19,1276.89,655.79,8.32,4.27,1749.19,118.91,955.88,13651.63,-12695.75,0.18,12.19,70.0,46.46,OpenDART,11.87,4.0,False,4.0,OpenDART,,4.0,,,64333.0,,,66.88,,,Naver/FnGuide,,KRW,2026-09-19,2025.0,CFS,11011,OpenDART,,2025.0,11011,3.76,2.73,5,2,4,4,11.17,,,,반도체 제조업,반도체 제조업,2026-09-18,4.25,12,0,6,0,0,0,3,5,26,D,30
