yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,sector,industry,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
CAT,CAT,"Caterpillar, Inc.",454.06,914.2999877929688,715.9153486633301,27.710628009308408,1064.9000244140625,-14.142176088685702,39.99650496325882,-2.1,15.06,daily_close,일봉 종가,2026-07-16 13:42 KST,914.7827,0.05279582341419991,30.2,19.61,72.9,52.901146,26.286688,51.33,230.793,22.2,-14.7,-3.31,20.12 -> 22.05 -> 18.81,67589000000.0,11151000000.0,8884000000.0,16.5,13.14,11739000000.0,7453000000.0,9980000000.0,43330000000.0,-33350000000.0,0.71,29.58,6.52,,yfinance,,,,,,Industrials,Farm & Heavy Construction Machinery,55.88,,,2.94,,,,,7.97,Finnhub,,,,,,,,,1.75,-3.31,30.17,7.28,32.48,7,6,6,6,75.34,261.08,2026-07-15,4.55,0,0,20,5,0,10,5,5,45,C,21
MA,MA,마스터카드,432.77,535.2100219726562,529.1366491699218,1.1477891036770858,598.9600219726562,-10.643448253865317,71.14866063065632,9.08,2.67,daily_close,일봉 종가,2026-07-16 13:42 KST,,,21.2,35.12,91.48,30.26883,68.95987,232.08,282.059,15.8,19.52,18.17,11.83 -> 13.89 -> 16.52,32791000000.0,19514000000.0,14968000000.0,59.51,45.65,17648000000.0,16433000000.0,10566000000.0,19000000000.0,-8434000000.0,0.65,18.23,3.48,,yfinance,,,,,,Financial Services,Credit Services,90.2,,,0.2,,,,,2.2,Finnhub,,,,2026-07-15,,,,,1.43,18.17,18.62,2.86,15.43,16,15,15,15,62.56,2311.18,2026-07-15,4.55,0,0,20,10,12,8,1,5,56,B,22
COST,COST,코스트코,421.95,916.5399780273438,956.4739483642578,-4.175123682689771,1094.3199462890625,-16.24570299249197,35.8418525659266,-6.42,-8.34,daily_close,일봉 종가,2026-07-16 13:42 KST,,,45.5,45.01,73.76,46.512577,24.80471,29.15,60.257,21.5,11.83,13.4,14.16 -> 16.56 -> 18.21,275235000000.0,10383000000.0,8099000000.0,3.77,2.94,13335000000.0,7837000000.0,14161000000.0,8173000000.0,5988000000.0,0.64,27.01,5.88,,yfinance,,,,,,Consumer Defensive,Discount Stores,68.18,,,0.0,,,,,-0.24,Finnhub,,,,,,,,,1.02,13.4,24.99,8.18,27.62,9,7,6,6,86.12,203.24,2026-07-15,4.55,0,0,20,10,8,10,5,5,58,B,23
BAC,BAC,뱅크오브아메리카,398.83,61.59000015258789,52.90080003738403,16.42546069069534,61.59000015258789,0.0,69.65377143994709,10.24,14.25,daily_close,일봉 종가,2026-07-16 13:42 KST,,,24.4,11.85,70.64,14.362283,1.4969997,10.64,,8.1,,11.22,3.08 -> 3.21 -> 3.81,113097000000.0,,30509000000.0,,26.98,12613000000.0,12613000000.0,239319000000.0,365904000000.0,-126585000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,11.22,32.27,6.17,24.62,12,9,8,8,-55.49,-75.74,2026-07-15,4.55,8,6,12,20,8,8,1,0,63,B,24
GE,GE,GE Aerospace,373.67,360.3500061035156,311.92040069580077,15.526270580469554,378.67999267578125,-4.840495121684292,45.07918885751969,5.29,18.49,daily_close,일봉 종가,2026-07-16 13:42 KST,,,-1.8,275.66,80.96,43.8382,20.821056,45.43,116.527,24.7,28.38,-1.32,8.36 -> 5.99 -> 8.14,45855000000.0,8680000000.0,8704000000.0,18.93,18.98,8537000000.0,7264000000.0,12392000000.0,20495000000.0,-8103000000.0,0.52,19.25,1.88,,yfinance,93.3,10.0,False,10.0,yfinance dividend history,Industrials,Aerospace & Defense,87.5,4.5,21.0,0.0,375.9,455.0,270.0,4.32,10.84,Finnhub,yfinance,,,2026-07-16,,,,,,-1.32,30.17,7.28,32.48,7,6,6,6,45.3,186.0,2026-07-15,4.55,0,0,20,0,0,0,5,0,25,D,25
UNH,UNH,유나이티드헬스,364.13,418.5199890136719,340.61219909667966,22.872871295745576,625.25,-33.06357632728159,56.710272830448545,1.82,28.92,daily_close,일봉 종가,2026-07-16 13:42 KST,415.6974,-0.6744215539916907,0.7,25.21,85.93,32.26923,3.969369,12.18,73.982,2.0,-41.26,-25.54,23.86 -> 15.51 -> 13.23,447567000000.0,18964000000.0,12056000000.0,4.24,2.69,19697000000.0,16075000000.0,24365000000.0,78389000000.0,-54024000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1,-25.54,22.22,5.42,24.62,12,9,8,8,45.23,-26.76,2026-07-15,4.55,0,0,12,0,0,2,3,5,22,D,26
MS,MS,Morgan Stanley,352.0,228.5500030517578,181.01854934692383,26.257780695026717,228.5500030517578,0.0,60.07419596658622,4.85,21.04,daily_close,일봉 종가,2026-07-16 13:42 KST,,,31.9,15.4,62.71,19.190218,3.201366,16.39,502.246,16.3,,40.39,5.18 -> 7.95 -> 10.21,65966000000.0,,16861000000.0,,25.56,-17889000000.0,-20787000000.0,81310000000.0,370538000000.0,-289228000000.0,1.75,35.55,4.0,,yfinance,,,,,,Financial Services,Capital Markets,56.25,,,1.7,,,,,13.19,Finnhub,,,,2026-07-16,,,,,0.6,40.39,18.62,2.86,15.43,16,15,15,15,3.06,11.94,2026-07-15,4.55,4,0,16,20,15,10,3,0,68,B,27
PG,PG,프록터앤갬블,350.17,148.0500030517578,148.26985054016114,-0.14827524786894059,179.6999969482422,-17.61268471562652,42.982780031088176,-1.6,0.76,daily_close,일봉 종가,2026-07-16 13:42 KST,147.35,-0.47281529032667385,5.8,23.88,71.83,21.705795,6.3290153,31.11,67.651,7.4,2.84,5.04,5.9 -> 6.02 -> 6.51,84284000000.0,20451000000.0,15974000000.0,24.26,18.95,17817000000.0,14044000000.0,9556000000.0,35463000000.0,-25907000000.0,2.88,61.8,4.26,,yfinance,5.0,10.0,False,10.0,yfinance dividend history,Consumer Defensive,Household & Personal Products,59.46,3.96,23.0,-1.65,163.43,186.0,145.0,10.39,0.19,Finnhub,yfinance,,,2026-07-15,,,,,3.74,5.04,25.56,9.3,26.64,9,7,6,6,-15.08,-31.95,2026-07-15,4.55,4,0,20,0,4,5,5,5,43,C,28
CVX,CVX,쉐브론,345.8,181.60000610351562,173.15530014038086,4.876954939460966,211.14999389648438,-13.994785056662392,66.64483021835906,0.67,-1.3,daily_close,일봉 종가,2026-07-16 13:42 KST,181.279,-0.17676546956317213,-44.5,14.21,70.53,28.87805,1.784169,6.64,23.989,2.3,-11.86,-23.6,11.36 -> 9.72 -> 6.63,184432000000.0,16674000000.0,12299000000.0,9.04,6.67,33939000000.0,16592000000.0,6293000000.0,40758000000.0,-34465000000.0,3.92,120.38,7.12,,yfinance,,,,,,Energy,Oil & Gas Integrated,74.19,,,0.0,,,,,15.54,Finnhub,,,,2026-07-15,,,,,,-23.6,,,,2,1,1,1,,,2026-07-15,4.55,0,6,6,0,0,0,1,5,18,D,29
KO,KO,코카콜라,341.57,82.44999694824219,74.9974501800537,9.937066860668498,84.25,-2.1365021385849405,56.71748296738147,1.9,8.86,daily_close,일봉 종가,2026-07-16 13:42 KST,,,18.2,23.92,68.23,25.562893,10.400461,43.37,124.943,12.1,6.34,10.94,2.47 -> 2.46 -> 3.04,47941000000.0,14911000000.0,13107000000.0,31.1,27.34,7408000000.0,5296000000.0,10270000000.0,45492000000.0,-35222000000.0,2.57,64.78,2.12,,yfinance,,,,,,Consumer Defensive,Beverages - Non-Alcoholic,82.35,,,-0.51,,,,,1.67,Finnhub,,,,,,,,,1.4,10.94,24.99,8.18,26.64,9,7,6,6,2.29,27.15,2026-07-15,4.55,0,0,20,10,8,8,3,0,49,C,30
