yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,peer_pbr_avg,peer_roe_avg,peer_pbr_gap,cagr,peer_per_avg,peer_per_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
257720.KQ,257720,실리콘투,31247,우량기업부,화장품 유통,KOSDAQ,주권,KRX,46850.0,39505.0,36590.833333333336,38882.5,40820.0,14.77217050465458,61800.0,-24.190938511326863,77.39999999995666,28.71,23.13,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,31.11,14.49,6.77,13.0,6.34,46.89,55.09,61.43,49.27,103.34,631 -> 1990 -> 2609,11163.0,2054.0,1686.0,18.4,15.1,11.41,-58.98,773.23,2520.18,-1746.95,0.65,11.9,306.0,200.28,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,57750.0,,,23.27,,,Naver/FnGuide,,KRW,2026-08-21,2025.0,CFS,11011,OpenDART,2025.0,11011,1,0,0,0,0.42,,,,103.34,,,상품 종합 도매업,상품 종합 도매업,2026-08-21,4.7,8,0,20,20,15,10,1,5,79,A,20
440110.KQ,440110,파두,31018,기술성장기업부,SSD 컨트롤러,KOSDAQ,주권,KRX,61900.0,61590.0,80941.66666666667,75775.0,56459.0,9.63708177615615,128300.0,-51.75370226032736,48.17518248173541,-16.01,-47.0,daily_close,NXT 미확인,2026-08-21 21:01 KST,,,,,26.77,,102.25,-131.08,518.5,112.41,,,-,924.0,-655.0,-762.0,-70.89,-82.47,-37.04,-78.42,408.04,1026.33,-618.29,,,,,,,,,,,,4.0,,,130000.0,,,110.02,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,,,5,3,4,4,,3.7,9.64,2663.51,,14.0,,반도체 제조업,반도체 제조업,2026-08-21,4.7,0,0,0,0,0,0,5,3,8,D,21
145020.KQ,145020,휴젤,30662,우량기업부,"보툴리눔톡신, 필러",KOSDAQ,주권,KRX,245000.0,252450.0,248475.0,253775.0,248617.5,-1.4550464066286564,388000.0,-36.855670103092784,56.09756097560209,1.45,-5.95,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,3.3,21.91,56.99,18.0,2.66,16.06,9.86,13.97,20.88,22.87,7517 -> 10985 -> 11348,4251.0,2009.0,1470.0,47.26,34.58,1500.59,1205.36,2096.98,966.76,1130.22,,,,,,,,,,,,4.0,,,391429.0,,,59.77,,,Naver/FnGuide,,KRW,2026-08-19,2025.0,CFS,11011.0,OpenDART,,,7,1,6,6,5.45,18.74,-16.44,-85.81,22.87,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-21,4.7,8,3,16,0,12,2,3,5,49,C,22
084370.KQ,084370,유진테크,29447,우량기업부,실리콘질화막증착용LP-CVD,KOSDAQ,주권,KRX,128700.0,118805.0,143581.66666666666,136722.5,117955.0,9.109406129456149,206500.0,-37.675544794188866,62.31003039512352,5.15,-7.21,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,-32.89,30.03,37.14,51.96,6.06,9.81,18.16,3.61,-15.52,31.84,1066 -> 2761 -> 1853,3503.0,517.0,445.0,14.76,12.7,664.77,452.3,549.25,892.21,-342.96,0.18,12.3,230.0,52.02,OpenDART,-5.2,5.0,True,5.0,OpenDART,,4.0,,,180000.0,,,39.86,,,Naver/FnGuide,,KRW,2026-08-21,2025.0,CFS,11011,OpenDART,2025.0,11011,21,16,20,20,,6.9,6.8,-12.17,31.84,25.0,107.84,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-21,4.7,0,0,6,0,15,0,3,5,29,D,23
310210.KQ,310210,보로노이,28051,기술성장기업부,표적치료제,KOSDAQ,주권,KRX,152200.0,147925.0,175580.0,237435.83333333334,230010.0,-33.82896395808878,363500.0,-58.1292984869326,66.47999999999256,14.01,-44.25,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,,,6.68,,34.83,-50.18,64.97,-23.47,,,-,75.0,-544.0,-427.0,-725.33,-569.33,-720.95,-737.78,357.37,674.39,-317.02,,,,,,,,,,,,4.0,,,450000.0,,,195.66,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,,,11,2,10,10,,24.17,-25.16,44.1,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-08-21,4.7,0,0,0,0,0,0,1,3,4,D,24
214370.KQ,214370,케어젠,27878,벤처기업부,"성장인자, 바이오미메틱펩타이드 기반 안면, 두피, 바디 코스메슈티컬 제품",KOSDAQ,주권,KRX,51700.0,59370.0,67168.33333333333,85442.5,84547.0,-38.85058015068542,150100.0,-65.55629580279813,44.78873239434854,-10.24,-42.87,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,-37.87,92.25,4.4,124.14,12.31,9.23,8.85,-11.86,-40.35,-29.05,743 -> 602 -> 374,728.0,204.0,201.0,28.02,27.61,185.89,136.68,88.59,187.99,-99.4,0.85,106.3,437.0,213.57,OpenDART,-45.5,4.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-08-20,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,7,1,6,6,,18.74,-16.44,-34.31,-29.05,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-21,4.7,0,0,6,0,0,0,5,1,12,D,25
095610.KQ,095610,테스,25729,우량기업부,반도체장비(화학증착장비),KOSDAQ,주권,KRX,133800.0,134200.0,154071.66666666666,118211.66666666667,90888.25,47.21374875190138,217500.0,-38.48275862068966,52.24806201549254,-13.17,5.52,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,33.69,92.12,6.83,24.0,5.04,15.76,24.43,46.23,50.13,504.31,79 -> 2158 -> 2885,3511.0,578.0,569.0,16.46,16.21,824.23,492.84,121.43,957.15,-835.72,0.64,26.4,850.0,150.74,OpenDART,19.35,5.0,True,5.0,OpenDART,,4.0,,,215286.0,,,60.9,,,Naver/FnGuide,,KRW,2026-08-21,2025.0,CFS,11011,OpenDART,2025.0,11011,21,16,20,20,0.71,6.9,6.8,-26.96,504.31,29.0,-17.24,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-21,4.7,4,0,16,16,15,10,5,5,71,A,26
319400.KQ,319400,현대무벡스,25449,우량기업부,"물류자동화, IT서비스",KOSDAQ,주권,KRX,22850.0,23408.5,26973.666666666668,29268.916666666668,25483.4,-10.33378591553718,46350.0,-50.701186623516726,55.40069686405746,6.03,-39.63,daily_close,NXT 미확인,2026-08-21 21:01 KST,,,-56.77,99.75,1.72,278.89,17.8,6.79,76.81,15.38,-26.02,65.83,36 -> 229 -> 99,3939.0,182.0,113.0,4.62,2.87,-14.32,-43.28,361.19,1231.33,-870.14,0.22,48.8,50.0,55.07,OpenDART,18.56,5.0,False,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,65.83,,,일반 목적용 기계 제조업,일반 목적용 기계 제조업,2026-08-21,4.7,0,0,6,0,15,0,3,3,27,D,27
357780.KQ,357780,솔브레인,25358,우량기업부,반도체 및 디스플레이 관련 화학재료 제조ㆍ판매 등,KOSDAQ,주권,KRX,326000.0,291450.0,326225.0,379095.8333333333,350607.5,-7.0185321192501595,501000.0,-34.930139720558884,85.50724637680003,10.14,-27.88,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,-33.25,18.26,29.46,16.0,2.34,7.66,30.15,6.95,-20.43,-22.12,16759 -> 15226 -> 10164,9234.0,1336.0,840.0,14.47,9.1,1469.22,268.78,2476.57,3351.74,-875.17,0.72,22.77,2350.0,179.98,OpenDART,6.42,1.0,False,3.0,OpenDART,,4.0,,,518222.0,,,58.96,,,Naver/FnGuide,,KRW,2026-08-20,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,-22.12,,,기타 화학제품 제조업,기타 화학제품 제조업,2026-08-21,4.7,8,3,6,0,0,0,1,5,23,D,28
080220.KQ,080220,제주반도체,25315,우량기업부,"모바일용 LP DDR SDRAM, CRAM, SRAM",KOSDAQ,주권,KRX,73500.0,73580.0,88686.66666666667,70710.41666666667,53397.65,37.646506915566505,134000.0,-45.149253731343286,57.92452830187149,-9.15,-38.18,daily_close,NXT 미확인,2026-08-21 21:01 KST,,,102.29,22.3,2.79,23.05,8.37,19.21,47.94,86.2,273.96,53.63,486 -> 567 -> 1147,3022.0,359.0,395.0,11.88,13.07,255.55,228.3,772.3,1088.84,-316.54,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,,,5,2,4,4,0.23,3.7,2.73,126.22,53.63,,,반도체 제조업,반도체 제조업,2026-08-21,4.7,4,0,16,20,15,10,3,3,71,A,29
