yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
010130.KS,010130,고려아연,220418,1049000.0,1367495.0,-23.290395942946777,2115000.0,-50.401891252955075,41.20982986767377,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,319.09,54.23,28.19,17.0,1.92,8.48,82.36,37.63,70.27,21.41,26127 -> 9190 -> 38514,165879.0,12319.0,7702.0,7.43,4.64,,,,,,0.05,21.41,2026-06-26,4.25,8,3,6,20,12,10,5,3,67,B,34
011070.KS,011070,LG이노텍,220340,926000.0,401116.0,130.85591200550465,1530000.0,-39.47712418300654,38.94878706199387,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,-24.04,12.45,22.97,27.0,3.62,6.14,107.02,3.28,-5.81,-22.3,23881 -> 18983 -> 14419,218966.0,6650.0,3413.0,3.04,1.56,,,,,,,-22.3,2026-06-26,4.25,0,0,6,0,0,0,5,5,16,D,35
316140.KS,316140,우리금융지주,208110,28400.0,29797.25,-4.689191116629891,40800.0,-30.392156862745097,47.31182795691802,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,1.86,4.73,45.51,7.0,0.55,8.91,1488.67,-10.87,-13.64,11.6,3389 -> 4144 -> 4221,415484.0,36748.0,32275.0,8.84,7.77,,,,,,3.76,11.6,2026-06-26,4.25,15,10,6,0,8,2,5,5,51,C,36
010140.KS,010140,삼성중공업,202400,22950.0,26767.75,-14.2624987158054,34400.0,-33.28488372093023,37.49999999995766,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,749.32,97.29,28.65,19.0,4.35,13.73,265.05,7.54,71.51,,73 -> 620,106500.0,8622.0,5358.0,8.1,5.03,,,,,,0.03,,2026-06-26,4.25,4,0,12,20,0,10,5,5,56,B,37
017670.KS,017670,SK텔레콤,194599,89700.0,71850.5,24.842555027452836,125200.0,-28.354632587859424,25.382262996931033,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,-67.28,15.89,76.67,16.0,1.45,3.33,132.4,-4.69,-41.14,-38.32,4997 -> 5810 -> 1901,170992.0,10732.0,3751.0,6.28,2.19,,,,,,,-38.32,2026-06-26,4.25,8,6,0,0,0,0,3,5,22,D,38
051910.KS,051910,LG화학,191305,271000.0,342122.5,-20.78860642021498,429500.0,-36.90337601862631,36.11111111110831,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,,29.2,37.25,81.0,0.61,-5.5,114.54,-5.68,34.98,,-,459322.0,11809.0,-9771.0,2.57,-2.13,,,,,,,,2026-06-26,4.25,0,10,0,0,0,0,5,5,20,D,39
064350.KS,064350,현대로템,185323,167800.0,207022.0,-18.94581252234062,269000.0,-37.62081784386617,47.71929824560817,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,89.24,19.33,37.47,20.0,5.76,30.05,206.39,33.41,120.24,118.7,1475 -> 3728 -> 7055,58390.0,10056.0,7705.0,17.22,13.2,,,,,,0.22,118.7,2026-06-26,4.25,4,0,20,20,15,10,5,5,79,A,40
033780.KS,033780,KT&G,173778,166900.0,154770.0,7.83743619564515,189000.0,-11.693121693121693,37.931034482745545,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,-0.02,13.64,51.34,14.0,1.87,11.77,51.98,11.35,13.03,16.47,6615 -> 8975 -> 8973,65797.0,13437.0,11023.0,20.42,16.75,,,,,,,16.47,2026-06-26,4.25,8,3,12,0,12,0,5,5,45,C,41
011200.KS,011200,HMM,172706,18400.0,20613.35,-10.737458976828117,25950.0,-29.09441233140655,48.179871520270396,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,-61.33,8.23,7.77,13.0,0.62,6.9,26.31,-6.91,-58.4,3.39,1829 -> 5055 -> 1955,108914.0,14612.0,18787.0,13.42,17.25,,,,,,,3.39,2026-06-26,4.25,8,10,6,0,4,0,5,5,38,D,42
138040.KS,138040,메리츠금융지주,168351,100300.0,113706.0,-11.790055054262748,146200.0,-31.3953488372093,46.51898734175154,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,6.73,7.76,14.12,7.0,1.55,22.53,1102.87,16.25,-9.92,10.07,10480 -> 11897 -> 12698,203170.0,28727.0,23501.0,14.14,11.57,,,,,,1.04,10.07,2026-06-26,4.25,15,6,20,10,8,5,5,5,74,A,43
