yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
LLY,LLY,일라이릴리,979.64,1107.10498046875,971.6300277709961,13.94305948001064,1160.949951171875,-4.638009644496158,57.927719236163874,daily_close,일봉 종가,2026-06-25 00:08 KST,169.9,,85.36,39.067207,31.462324,107.46,139.015,55.5,49.39,,-,,,,,,,,,,,0.23,,2026-06-23,4.25,0,0,20,20,0,10,3,0,53,C,11
WMT,WMT,월마트,932.53,119.87000274658203,116.74104972839355,2.6802508847301074,134.1999969482422,-10.678088321557043,61.287887524000055,daily_close,일봉 종가,2026-06-25 00:08 KST,19.4,36.02,38.09,42.176056,10.109723,24.13,74.816,7.3,1.63,19.45,1.91 -> 2.41 -> 2.73,713163000000.0,29825000000.0,21893000000.0,4.18,3.07,41565000000.0,14923000000.0,10727000000.0,67095000000.0,-56368000000.0,2.17,19.45,2026-06-23,4.25,0,0,20,0,12,8,3,5,48,C,12
AMD,AMD,AMD,876.24,518.8200073242188,266.7264501190186,94.51389507591432,551.6300048828125,-5.94782685281303,46.61428396855953,daily_close,일봉 종가,2026-06-25 00:08 KST,91.2,135.05,72.16,171.20695,13.074189,8.06,6.005,37.8,77.09,123.61,0.53 -> 1.0 -> 2.65,34639000000.0,3694000000.0,4335000000.0,10.66,12.51,7709000000.0,6735000000.0,5539000000.0,3847000000.0,1692000000.0,1.88,123.61,2026-06-23,4.25,0,0,6,5,15,10,5,0,41,C,13
JPM,JPM,JP모건 체이스,871.43,332.995,307.6035757446289,8.254593332962724,334.6099853515625,-0.48264708833051984,75.40930659757068,regularMarketPrice,정규장/실시간,2026-06-25 00:08 KST,17.2,11.99,75.65,15.575671,2.5332804,16.47,,12.7,,11.06,16.23 -> 19.75 -> 20.02,,,,,,,,,,,0.91,11.06,2026-06-23,4.25,8,3,16,16,8,8,1,0,60,B,14
INTC,INTC,Intel Corporation,673.43,135.4250030517578,57.18962503433227,136.79994923984728,140.94000244140625,-3.913012128647591,61.93077578799529,daily_close,일봉 종가,2026-06-25 00:08 KST,98.63,65.53,64.04,,6.093254,-2.91,36.028,7.2,6.88,,1.94 -> 0.4,52853000000.0,-23000000.0,-267000000.0,-0.04,-0.51,9697000000.0,-4949000000.0,14265000000.0,46585000000.0,-32320000000.0,,,2026-06-23,4.25,0,0,0,0,0,10,3,0,13,D,15
V,V,비자,622.33,332.572509765625,328.80521087646486,1.1457540101381039,373.30999755859375,-10.912509190588903,69.02619459317506,daily_close,일봉 종가,2026-06-25 00:08 KST,35.5,,91.67,28.480417,17.55391,60.35,67.233,17.1,67.35,,-,,,,,,,,,,,0.8,,2026-06-23,4.25,0,0,20,16,0,10,1,5,52,C,16
XOM,XOM,엑슨모빌,571.22,135.9600067138672,134.9156498336792,0.7740813474755885,171.47000122070312,-20.709158601527143,22.557111864068588,daily_close,일봉 종가,2026-06-25 00:08 KST,-43.4,,68.74,23.200336,2.2202709,9.87,18.261,2.6,6.35,,-,,,,,,,,,,,,,2026-06-23,4.25,4,3,6,0,0,0,1,5,19,D,17
ORCL,ORCL,오라클,530.03,160.15,204.05429916381837,-21.515988314743236,328.3299865722656,-51.22285305952373,15.226242147872028,regularMarketPrice,정규장/실시간,2026-06-25 00:08 KST,21.9,36.14,43.92,27.557463,13.771644,53.38,388.87,20.6,24.33,25.36,3.71 -> 4.34 -> 5.83,67357000000.0,22444000000.0,17087000000.0,33.32,25.37,31977000000.0,-23686000000.0,31289000000.0,156189000000.0,-124900000000.0,1.26,25.36,2026-06-23,4.25,0,0,20,10,15,8,1,3,57,B,18
AMAT,AMAT,"Applied Materials, Inc.",489.96,586.62,324.51200004577635,80.76989446222332,640.1799926757812,-8.366395902489048,63.343686617495706,regularMarketPrice,정규장/실시간,2026-06-25 00:08 KST,33.5,18.76,85.13,55.410847,19.504383,39.69,30.399,11.4,7.66,3.34,8.11 -> 8.61 -> 8.66,28368000000.0,8470000000.0,6998000000.0,29.86,24.67,7958000000.0,5698000000.0,7241000000.0,7050000000.0,191000000.0,1.65,3.34,2026-06-23,4.25,0,0,20,5,4,10,3,0,42,C,19
CSCO,CSCO,시스코 시스템즈,471.16,122.20500183105469,83.45692497253418,46.42883364235211,130.0,-5.99615243765024,43.46966869612217,daily_close,일봉 종가,2026-06-25 00:08 KST,37.1,18.51,82.86,39.84667,9.639545,25.23,67.541,12.0,,-7.8,3.07 -> 2.54 -> 2.61,,,,,,,,,,,1.07,-7.8,2026-06-23,4.25,0,0,20,10,0,10,5,0,45,C,20
CAT,CAT,"Caterpillar, Inc.",454.06,999.5,679.084027709961,47.183553023704704,1022.280029296875,-2.228355112497221,60.7474413516419,regularMarketPrice,정규장/실시간,2026-06-25 00:08 KST,30.2,19.61,72.88,49.763447,24.66614,51.33,230.793,22.2,-14.7,-3.31,20.12 -> 22.05 -> 18.81,67589000000.0,11151000000.0,8884000000.0,16.5,13.14,11739000000.0,7453000000.0,9980000000.0,43330000000.0,-33350000000.0,1.65,-3.31,2026-06-23,4.25,0,0,20,5,0,10,3,0,38,D,21
MA,MA,마스터카드,432.77,495.94,533.2927232360839,-7.004168931730992,598.9600219726562,-17.19981604671427,64.08996488495558,regularMarketPrice,정규장/실시간,2026-06-25 00:08 KST,21.2,35.12,91.55,28.327934,64.65021,232.08,282.059,15.8,,18.17,11.83 -> 13.89 -> 16.52,,,,,,,,,,,1.34,18.17,2026-06-23,4.25,0,0,20,10,12,8,3,5,58,B,22
COST,COST,코스트코,421.95,962.5700073242188,957.959748840332,0.481258058020464,1094.3199462890625,-12.039435031008953,50.34958017418517,daily_close,일봉 종가,2026-06-25 00:08 KST,45.5,45.01,73.79,48.168674,25.739578,29.15,60.257,21.5,11.83,13.4,14.16 -> 16.56 -> 18.21,275235000000.0,10383000000.0,8099000000.0,3.77,2.94,13335000000.0,7837000000.0,14161000000.0,8173000000.0,5988000000.0,1.06,13.4,2026-06-23,4.25,0,0,20,10,8,10,5,5,58,B,23
BAC,BAC,뱅크오브아메리카,398.83,57.72999954223633,52.34430006027222,10.288989394762577,57.90999984741211,-0.3108276733725896,81.9161760624927,daily_close,일봉 종가,2026-06-25 00:08 KST,24.4,11.85,70.63,14.284118,1.4888526,10.64,,8.1,,11.22,3.08 -> 3.21 -> 3.81,113097000000.0,,30509000000.0,,26.98,12613000000.0,12613000000.0,239319000000.0,365904000000.0,-126585000000.0,0.59,11.22,2026-06-23,4.25,8,6,12,20,8,8,1,0,63,B,24
GE,GE,GE Aerospace,373.67,367.6300048828125,306.64315048217776,19.888542856651654,367.6300048828125,0.0,78.36418521724295,daily_close,일봉 종가,2026-06-25 00:08 KST,-1.8,276.01,80.98,45.640816,21.255272,45.43,116.527,24.7,28.38,-1.32,8.36 -> 5.99 -> 8.14,45855000000.0,8680000000.0,8704000000.0,18.93,18.98,8537000000.0,7264000000.0,12392000000.0,20495000000.0,-8103000000.0,,-1.32,2026-06-23,4.25,0,0,20,0,0,0,1,0,21,D,25
UNH,UNH,유나이티드헬스,364.13,403.92,334.9880992126465,20.57741780957907,625.25,-35.398640543782484,68.27088982988548,regularMarketPrice,정규장/실시간,2026-06-25 00:08 KST,0.7,25.21,85.93,30.437407,3.74404,12.18,73.982,2.0,-41.26,-25.54,23.86 -> 15.51 -> 13.23,447567000000.0,18964000000.0,12056000000.0,4.24,2.69,19697000000.0,16075000000.0,24365000000.0,78389000000.0,-54024000000.0,43.48,-25.54,2026-06-23,4.25,0,0,12,0,0,2,1,5,20,D,26
MS,MS,Morgan Stanley,352.0,222.57000732421875,176.6908994293213,25.965744723173877,227.08999633789062,-1.9903954760501714,62.712211406495356,daily_close,일봉 종가,2026-06-25 00:08 KST,31.9,15.4,62.76,20.196379,3.3722687,16.39,502.246,16.3,,40.39,5.18 -> 7.95 -> 10.21,,,,,,,,,,,0.63,40.39,2026-06-23,4.25,4,0,16,20,15,10,3,0,68,B,27
PG,PG,프록터앤갬블,350.17,152.72000122070312,148.83705070495606,2.608860157706533,179.6999969482422,-15.013909953103635,73.68618710000797,daily_close,일봉 종가,2026-06-25 00:08 KST,5.8,23.88,71.9,22.23719,6.5803046,31.11,67.651,7.4,2.84,5.04,5.9 -> 6.02 -> 6.51,84284000000.0,20451000000.0,15974000000.0,24.26,18.95,17817000000.0,14044000000.0,9556000000.0,35463000000.0,-25907000000.0,3.83,5.04,2026-06-23,4.25,4,0,20,0,4,5,1,5,39,D,28
CVX,CVX,쉐브론,345.8,170.93,172.05810012817383,-0.6556506943488591,211.14999389648438,-19.04806775234959,24.228952171089134,regularMarketPrice,정규장/실시간,2026-06-25 00:08 KST,-44.5,,70.53,30.196522,1.8688784,6.64,23.989,2.3,7.31,,-,,,,,,,,,,,,,2026-06-23,4.25,0,3,6,0,0,0,1,5,15,D,29
KO,KO,코카콜라,341.57,81.25,73.88450023651123,9.968937652567336,83.58999633789062,-2.7993736576226222,58.3277494481924,daily_close,일봉 종가,2026-06-25 00:08 KST,18.2,23.92,68.27,25.473269,10.3639965,43.37,124.943,12.1,6.34,10.94,2.47 -> 2.46 -> 3.04,47941000000.0,14911000000.0,13107000000.0,31.1,27.34,7408000000.0,5296000000.0,10270000000.0,45492000000.0,-35222000000.0,1.4,10.94,2026-06-23,4.25,0,0,20,10,8,8,3,0,49,C,30
HD,HD,홈디포,333.32,339.051,357.455849609375,-5.148845550992569,431.3699951171875,-21.40134830010785,66.91328593861496,regularMarketPrice,정규장/실시간,2026-06-25 00:08 KST,-4.3,23.05,76.09,24.062855,24.346434,128.38,459.356,4.8,-2.95,-2.96,15.11 -> 14.91 -> 14.23,164683000000.0,20890000000.0,14156000000.0,12.68,8.6,16325000000.0,12646000000.0,1389000000.0,65350000000.0,-63961000000.0,,-2.96,2026-06-23,4.25,4,0,20,0,0,0,1,5,30,D,31
NFLX,NFLX,넷플릭스,325.83,72.4800033569336,97.57223991394044,-25.716573258068497,133.91299438476562,-45.87530232601598,21.679203846545107,daily_close,일봉 종가,2026-06-25 00:08 KST,86.4,37.65,85.1,23.317743,9.782785,48.49,53.788,16.2,27.92,45.02,1.2 -> 1.98 -> 2.53,45183036000.0,13326603000.0,10981201000.0,29.49,24.3,10149273000.0,9461053000.0,9033681000.0,14462836000.0,-5429155000.0,0.27,45.02,2026-06-23,4.25,4,0,20,20,15,10,1,3,73,A,32
GS,GS,"Goldman Sachs Group, Inc. (The)",323.49,1081.78,881.9627267456054,22.655977083261718,1106.3699951171875,-2.2225833333976976,56.872485734576635,regularMarketPrice,정규장/실시간,2026-06-25 00:08 KST,24.2,,74.64,20.039474,3.0778818,14.55,678.596,14.5,38.6,,-,,,,,,,,,,,0.83,,2026-06-23,4.25,4,0,12,16,0,8,3,0,43,C,33
TXN,TXN,Texas Instruments Incorporated,293.83,305.56,212.16190078735352,44.02208825714561,332.2799987792969,-8.04141052048231,49.27229126318219,regularMarketPrice,정규장/실시간,2026-06-25 00:08 KST,31.3,26.03,92.62,52.372433,16.589195,32.35,83.741,18.6,14.96,-12.2,7.07 -> 5.2 -> 5.45,17682000000.0,6140000000.0,5001000000.0,34.72,28.28,7153000000.0,2603000000.0,3225000000.0,14048000000.0,-10823000000.0,1.67,-12.2,2026-06-23,4.25,0,0,20,5,0,10,5,0,40,C,34
PM,PM,Philip Morris International Inc,278.05,177.42999267578125,166.6420999908447,6.4736898331989465,191.86000061035156,-7.521113253760596,51.795602037329175,daily_close,일봉 종가,2026-06-25 00:08 KST,-9.3,19.93,84.12,24.957806,-29.803493,,,9.1,11.42,20.26,5.02 -> 4.53 -> 7.26,40648000000.0,14933000000.0,11348000000.0,36.74,27.92,12233000000.0,10664000000.0,4872000000.0,48835000000.0,-43963000000.0,,20.26,2026-06-23,4.25,4,0,0,0,12,0,5,0,21,D,35
WFC,WFC,Wells Fargo & Company,251.55,83.94499969482422,84.25417518615723,-0.36695569169111597,96.38999938964844,-12.911090127219898,68.1114293666561,daily_close,일봉 종가,2026-06-25 00:08 KST,15.1,12.27,78.74,12.967544,1.5772456,12.03,,5.7,29.45,13.84,4.83 -> 5.37 -> 6.26,83699000000.0,,21338000000.0,,25.49,-19001000000.0,-19001000000.0,174210000000.0,193035000000.0,-18825000000.0,0.86,13.84,2026-06-23,4.25,8,6,12,16,8,8,1,5,64,B,36
RTX,RTX,RTX Corporation,249.94,185.77000427246094,182.83980003356933,1.6026074401490378,212.16000366210938,-12.438724987805772,63.146381785977255,daily_close,일봉 종가,2026-06-25 00:08 KST,32.5,32.9,81.57,34.85366,3.774509,11.57,57.229,8.7,42.25,49.14,2.23 -> 3.55 -> 4.96,88603000000.0,9300000000.0,6732000000.0,10.5,7.6,10567000000.0,7448000000.0,7435000000.0,39506000000.0,-32071000000.0,1.07,49.14,2026-06-23,4.25,0,0,12,10,15,10,3,5,55,B,37
QCOM,QCOM,QUALCOMM Incorporated,238.32,198.99000549316406,167.55489990234375,18.76107807598684,251.02000427246094,-20.72743123803899,31.801971861783713,daily_close,일봉 종가,2026-06-25 00:08 KST,173.0,19.11,84.88,24.339075,8.778244,36.08,55.979,-3.5,,-11.66,6.42 -> 8.97 -> 5.01,,,,,,,,,,,0.14,-11.66,2026-06-23,4.25,4,0,20,20,0,10,3,5,62,B,38
LIN,LIN,Linde plc,236.79,520.54,468.1675756835937,11.186683366513533,523.5700073242188,-0.5787205687552812,59.552791099407,regularMarketPrice,정규장/실시간,2026-06-25 00:08 KST,13.4,32.12,89.35,34.567398,6.244423,18.23,65.642,8.2,7.67,7.72,12.59 -> 13.62 -> 14.61,33986000000.0,9254000000.0,6898000000.0,27.23,20.3,10350000000.0,5089000000.0,5056000000.0,28069000000.0,-23013000000.0,2.58,7.72,2026-06-23,4.25,0,0,16,0,4,5,3,0,28,D,39
IBM,IBM,International Business Machines,234.13,263.19000244140625,273.6506497955322,-3.8226283628202644,329.2300109863281,-20.058927297385505,24.525823786825754,daily_close,일봉 종가,2026-06-25 00:08 KST,14.2,36.69,65.59,22.024757,7.100305,35.77,211.169,9.5,,17.14,8.14 -> 6.43 -> 11.17,,,,,,,,,,,1.55,17.14,2026-06-23,4.25,4,0,20,5,12,5,1,5,52,C,40
AXP,AXP,American Express Company,230.63,342.455,337.6198504638672,1.432128332942992,384.8900146484375,-11.025231373486811,83.90543898734045,regularMarketPrice,정규장/실시간,2026-06-25 00:08 KST,17.6,18.87,65.32,21.39038,6.8703604,34.42,177.847,11.6,,17.13,11.21 -> 14.01 -> 15.38,72230000000.0,,10833000000.0,,15.0,18428000000.0,16003000000.0,47708000000.0,57759000000.0,-10051000000.0,1.22,17.13,2026-06-23,4.25,4,0,20,10,12,8,1,5,60,B,41
MCD,MCD,McDonald's Corporation,197.95,273.96,304.63037475585935,-10.06806191944569,341.05999755859375,-19.673957086411477,50.85864858895509,regularMarketPrice,정규장/실시간,2026-06-25 00:08 KST,6.9,25.8,77.19,22.492586,-150.86188,,,9.4,4.58,1.67,11.56 -> 11.39 -> 11.95,26885000000.0,12394000000.0,8563000000.0,46.1,31.85,10551000000.0,7186000000.0,774000000.0,54814000000.0,-54040000000.0,3.26,1.67,2026-06-23,4.25,4,0,0,0,0,5,5,5,19,D,42
TMUS,TMUS,"T-Mobile US, Inc.",196.6,183.77000427246094,206.02305000305176,-10.801240798183114,272.8299865722656,-32.64303290804693,53.67322047766777,daily_close,일봉 종가,2026-06-25 00:08 KST,-12.0,32.59,44.02,19.532413,3.5717063,18.02,218.569,10.6,3.04,18.43,6.93 -> 9.66 -> 9.72,88309000000.0,18557000000.0,10992000000.0,21.01,12.45,27950000000.0,15427000000.0,5598000000.0,122269000000.0,-116671000000.0,,18.43,2026-06-23,4.25,4,0,16,0,12,0,5,5,42,C,43
PEP,PEP,펩시코,194.13,143.07,150.15424980163573,-4.717981549636141,179.3000030517578,-20.20635941723852,51.637008014681044,regularMarketPrice,정규장/실시간,2026-06-25 00:08 KST,27.8,23.3,80.91,22.45283,9.135693,43.88,244.837,8.5,4.42,-4.36,6.56 -> 6.95 -> 6.0,93925000000.0,13491000000.0,8240000000.0,14.36,8.77,12087000000.0,7672000000.0,9159000000.0,49901000000.0,-40742000000.0,0.81,-4.36,2026-06-23,4.25,4,0,20,16,0,8,5,5,58,B,44
AMGN,AMGN,Amgen Inc.,182.21,351.22,332.8547511291504,5.517496388003724,388.1600036621094,-9.516695000411575,59.19922812761675,regularMarketPrice,정규장/실시간,2026-06-25 00:08 KST,4.4,24.27,85.22,23.47705,19.82617,101.32,623.754,5.8,,6.74,12.49 -> 7.56 -> 14.23,,,,,,,,,,,5.34,6.74,2026-06-23,4.25,4,0,20,0,4,2,3,0,33,D,45
NEE,NEE,"NextEra Energy, Inc.",180.93,86.6957015991211,86.03372867584228,0.7694341899012545,97.87999725341797,-11.426538586162781,62.19325473786881,daily_close,일봉 종가,2026-06-25 00:08 KST,160.0,24.14,86.98,22.019035,3.2761223,10.32,156.686,7.3,12.53,-4.52,3.6 -> 3.37 -> 3.28,27412000000.0,8020000000.0,6835000000.0,29.26,24.93,12485000000.0,3211000000.0,2812000000.0,95619000000.0,-92807000000.0,0.14,-4.52,2026-06-23,4.25,4,0,12,20,0,10,3,5,54,C,46
DIS,DIS,Walt Disney Company (The),180.41,103.98999786376953,106.90950004577637,-2.730816420202853,124.01000213623047,-16.14386253333669,67.74690887387177,daily_close,일봉 종가,2026-06-25 00:08 KST,-29.8,41.6,78.1,16.6528,1.6707065,11.01,41.069,6.5,16.1,130.44,1.29 -> 2.72 -> 6.85,94425000000.0,13832000000.0,12404000000.0,14.65,13.14,18101000000.0,10077000000.0,5695000000.0,44877000000.0,-39182000000.0,,130.44,2026-06-23,4.25,8,6,12,0,15,0,1,5,47,C,47
TMO,TMO,Thermo Fisher Scientific Inc,172.66,488.0899963378906,525.5925997924804,-7.135298988113026,639.4500122070312,-23.670343729719974,56.22030232829123,daily_close,일봉 종가,2026-06-25 00:08 KST,11.3,32.43,94.25,26.75865,3.4325778,13.52,82.903,6.2,5.09,7.16,15.45 -> 16.53 -> 17.74,44557000000.0,8110000000.0,6704000000.0,18.2,15.05,7818000000.0,6293000000.0,9852000000.0,39385000000.0,-29533000000.0,2.37,7.16,2026-06-23,4.25,0,0,12,0,4,5,3,5,29,D,48
ABT,ABT,Abbott Laboratories,153.99,91.12000274658203,112.99434989929199,-19.358797295799143,140.22000122070312,-35.01640140256368,61.50418400265364,daily_close,일봉 종가,2026-06-25 00:08 KST,-19.7,26.48,82.65,25.466387,3.0417545,12.33,64.773,7.8,17.99,6.82,3.26 -> 7.64 -> 3.72,44328000000.0,8053000000.0,6524000000.0,18.17,14.72,9566000000.0,7395000000.0,8522000000.0,13860000000.0,-5338000000.0,,6.82,2026-06-23,4.25,0,0,12,0,4,0,3,5,24,D,49
UNP,UNP,Union Pacific Corporation,152.51,262.5,242.7015007019043,8.157551247453142,279.3900146484375,-6.04531792937932,50.365102409901795,daily_close,일봉 종가,2026-06-25 00:08 KST,6.2,19.51,90.83,21.142387,7.8537364,40.69,162.246,3.2,,7.07,10.45 -> 11.09 -> 11.98,,,,,,,,,,,3.41,7.07,2026-06-23,4.25,4,0,20,0,4,5,5,0,38,D,50
HON,HON,Honeywell International Inc.,145.11,228.465,213.773924407959,6.872248630289006,248.0399932861328,-7.891869785511394,54.39430317812849,regularMarketPrice,정규장/실시간,2026-06-25 00:08 KST,-41.9,23.92,81.8,36.41547,10.64601,24.26,257.387,2.4,-1.51,-2.87,8.47 -> 8.71 -> 7.99,37442000000.0,6567000000.0,4729000000.0,17.54,12.63,6408000000.0,5422000000.0,12487000000.0,35563000000.0,-23076000000.0,,-2.87,2026-06-23,4.25,0,0,20,0,0,0,5,0,25,D,51
PFE,PFE,"Pfizer, Inc.",143.68,24.385000228881836,25.876575031280517,-5.764189428452616,31.389999389648438,-22.31602197187891,37.4836199146513,daily_close,일봉 종가,2026-06-25 00:08 KST,-10.1,27.66,69.39,18.809086,1.5585009,8.31,71.602,5.4,16.53,91.72,0.37 -> 1.41 -> 1.36,62579000000.0,17407000000.0,7771000000.0,27.82,12.42,11704000000.0,9075000000.0,1142000000.0,63961000000.0,-62819000000.0,,91.72,2026-06-23,4.25,4,6,6,0,15,0,5,5,41,C,52
COP,COP,ConocoPhillips,131.26,106.26,105.33695041656495,0.876282804642409,133.8000030517578,-20.582961452627558,29.25148290908882,regularMarketPrice,정규장/실시간,2026-06-25 00:08 KST,-20.2,11.47,87.5,18.098984,2.0190837,11.28,36.143,-5.3,-11.27,-16.28,9.06 -> 7.81 -> 6.35,58944000000.0,11342000000.0,7988000000.0,19.24,13.55,19796000000.0,7243000000.0,6497000000.0,23444000000.0,-16947000000.0,,-16.28,2026-06-23,4.25,4,3,12,0,0,0,3,5,27,D,53
LOW,LOW,"Lowe's Companies, Inc.",124.59,221.41000366210938,244.8136506652832,-9.559780240837966,287.3900146484375,-22.958351934057653,62.63777473457713,daily_close,일봉 종가,2026-06-25 00:08 KST,-0.7,19.46,81.25,18.050718,-12.92302,,,10.3,-2.99,-5.25,13.2 -> 12.23 -> 11.85,86286000000.0,10153000000.0,6654000000.0,11.77,7.71,9864000000.0,7651000000.0,982000000.0,44677000000.0,-43695000000.0,,-5.25,2026-06-23,4.25,4,0,0,0,0,0,3,5,12,D,54
CRM,CRM,세일즈포스,124.31,155.34500122070312,214.9132258605957,-27.71733773077872,367.8699951171875,-57.77176630803583,11.42951936228971,daily_close,일봉 종가,2026-06-25 00:08 KST,52.2,233.06,94.3,17.56713,3.6310136,16.91,124.282,13.3,16.32,36.28,4.2 -> 6.36 -> 7.8,41525000000.0,8917000000.0,7457000000.0,21.47,17.96,14996000000.0,14402000000.0,7327000000.0,17176000000.0,-9849000000.0,0.34,36.28,2026-06-23,4.25,8,0,16,20,15,10,1,3,73,A,55
