yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
090710.KQ,090710,휴림로봇,11453,9580.0,9120.2,5.041556106225732,21500.0,-55.44186046511628,35.67567567558568,regularMarketPrice,,,5.87,,9.21,-13.42,36.13,26.45,,,-,1683.0,-173.0,-301.0,-10.28,-17.88,,,,,,,,2026-06-22,4.45,0,0,0,0,0,0,5,3,8,D,82
347700.KQ,347700,스피어,11415,22150.0,25670.2,-13.7131771470421,53100.0,-58.28625235404896,33.85714285712932,regularMarketPrice,-98.98,1590.82,7.13,28.73,11.72,0.43,49.85,11.94,-40.13,,491 -> 5,,,,,,,,,,,,,2026-06-22,4.45,0,0,0,0,0,0,3,3,6,D,83
003380.KQ,003380,하림지주,11200,10000.0,11186.35,-10.605335967496103,19610.0,-49.005609382967876,36.432160803891946,daily_close,772.77,17.26,8.98,4.46,0.3,7.29,170.94,7.67,15.92,148.93,331 -> 235 -> 2051,,,,,,,,,,,0.01,148.93,2026-06-22,4.45,15,10,6,20,15,10,5,3,84,A,84
417200.KQ,417200,LS머트리얼즈,11135,16460.0,15807.0,4.131081166571772,31250.0,-47.327999999999996,30.616113744035204,daily_close,-92.86,746.84,7.58,,6.34,0.24,33.22,8.09,-101.61,-83.26,214 -> 84 -> 6,,,,,,,,,,,,-83.26,2026-06-22,4.45,0,0,0,0,0,0,3,3,6,D,85
195940.KQ,195940,HK이노엔,11091,39150.0,49374.0,-20.707254830477577,57600.0,-32.03125,32.95454545451051,regularMarketPrice,22.91,20.56,14.13,12.0,0.85,5.87,57.85,18.52,25.74,26.83,1661 -> 2174 -> 2672,,,,,,,,,,,0.52,26.83,2026-06-22,4.45,12,8,6,20,15,8,3,5,77,A,86
065350.KQ,065350,신성델타테크,10924,39750.0,57896.75,-31.343296471736327,121700.0,-67.33771569433033,35.37604456821754,regularMarketPrice,73.25,81.02,3.4,47.72,4.28,9.51,161.32,7.19,4.53,,456 -> 790,,,,,,,,,,,0.65,,2026-06-22,4.45,0,0,6,20,0,10,5,1,42,C,87
085660.KQ,085660,차바이오텍,10766,11580.0,15043.55,-23.023488471803528,23850.0,-51.44654088050314,32.80632411058117,daily_close,,,8.28,,2.09,-37.19,214.81,21.37,,,-,12683.0,-488.0,-1467.0,-3.85,-11.57,,,,,,,,2026-06-22,4.45,0,3,0,0,0,0,3,3,9,D,88
083450.KQ,083450,GST,10320,56000.0,32749.45,70.99523808796788,66500.0,-15.789473684210526,54.22680412369569,regularMarketPrice,0.82,8.6,22.23,18.28,3.16,16.15,26.8,4.14,1.02,13.24,1916 -> 2437 -> 2457,,,,,,,,,,,22.29,13.24,2026-06-22,4.45,4,0,16,0,8,2,5,5,40,C,89
074600.KQ,074600,원익QnC,10265,39050.0,27612.3,41.42248200982896,42150.0,-7.354685646500593,61.29518072286572,regularMarketPrice,-55.74,18.02,11.53,40.1,1.84,4.73,170.93,5.84,-34.22,-23.19,1451 -> 1934 -> 856,,,,,,,,,,,,-23.19,2026-06-22,4.45,0,3,0,0,0,0,3,0,6,D,90
281740.KQ,281740,레이크머티리얼즈,10201,15520.0,17420.55,-10.909816280197807,27550.0,-43.666061705989115,35.4098360655196,daily_close,-63.09,69.3,10.17,85.61,7.57,5.8,161.94,1.8,-40.09,-43.54,367 -> 317 -> 117,,,,,,,,,,,,-43.54,2026-06-22,4.45,0,0,6,0,0,0,5,5,16,D,91
038500.KQ,038500,삼표시멘트,10176,9430.0,8904.7,5.8991319190988944,20200.0,-53.31683168316832,30.895522387995143,daily_close,-38.34,9.33,2.8,21.03,1.33,5.29,84.0,-14.4,-26.28,9.89,313 -> 613 -> 378,,,,,,,,,,,,9.89,2026-06-22,4.45,4,6,6,0,8,0,3,3,30,D,92
388210.KQ,388210,씨엠티엑스,10088,104500.0,123710.5,-15.528592965027222,164400.0,-36.435523114355234,43.23144104802613,regularMarketPrice,247.81,,7.44,16.0,5.14,-35.89,51.01,47.75,119.49,,891 -> 3099,,,,,,,,,,,0.06,,2026-06-22,4.45,8,0,0,20,0,10,5,5,48,C,93
189300.KQ,189300,인텔리안테크,9728,90600.0,87001.25,4.136434821338774,172400.0,-47.44779582366589,19.99999999999504,daily_close,26.36,108.68,23.63,25.0,3.34,2.81,86.45,23.97,,,550 -> 695,,,,,,,,,,,0.95,,2026-06-22,4.45,4,0,0,16,0,8,1,3,32,D,94
032500.KQ,032500,케이엠더블유,9682,22950.0,20355.05,12.7484334354374,38200.0,-39.92146596858639,31.06796116503166,daily_close,,,6.84,,6.83,-19.66,87.99,11.56,,,-,975.0,-238.0,-270.0,-24.41,-27.69,,,,,,,,2026-06-22,4.45,0,0,0,0,0,0,3,5,8,D,95
161580.KQ,161580,필옵틱스,9669,41250.0,43356.25,-4.858007784344818,63000.0,-34.523809523809526,44.38860971522207,daily_close,,19.45,0.38,,9.29,-14.67,100.09,-74.84,-352.9,,-,,,,,,,,,,,,,2026-06-22,4.45,0,0,0,0,0,0,5,5,10,D,96
090360.KQ,090360,로보스타,9623,98700.0,71430.25,38.17675284630811,158800.0,-37.8463476070529,41.69611307420082,daily_close,219.72,257.62,4.24,,10.96,-5.82,25.72,-15.04,-5800.0,,71 -> 227,757.0,-57.0,-52.0,-7.53,-6.87,,,,,,,,2026-06-22,4.45,0,0,0,0,0,10,5,5,20,D,97
137400.KQ,137400,피엔티,9464,39950.0,44478.75,-10.181828401202822,71000.0,-43.732394366197184,36.338028168985424,daily_close,-47.64,12.61,6.65,12.09,1.41,11.37,146.08,-28.03,-41.71,1.45,2808 -> 5519 -> 2890,,,,,,,,,,,,1.45,2026-06-22,4.45,8,6,12,0,0,0,5,5,36,D,98
491000.KQ,491000,리브스메드,9376,37500.0,59279.25,-36.740090335150995,91300.0,-58.92661555312158,28.231292516993364,daily_close,,,6.45,,5.35,-20.75,11.65,88.93,,,-,512.0,-226.0,-229.0,-44.14,-44.73,,,,,,,,2026-06-22,4.45,0,0,0,0,0,0,3,3,6,D,99
056190.KQ,056190,에스에프에이,9264,25800.0,26657.5,-3.2167307511957235,35650.0,-27.629733520336607,45.867768594988256,regularMarketPrice,37.83,21.28,12.84,18.61,0.8,6.11,49.77,-20.26,,,1113 -> 1534,,,,,,,,,,,0.49,,2026-06-22,4.45,4,10,6,20,0,10,5,5,60,B,100
