yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,peer_pbr_avg,peer_roe_avg,peer_pbr_gap,peer_per_avg,peer_per_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
087010.KQ,087010,펩트론,45235,기술성장기업부,약효지속성 의약품 및 펩타이드 소재,KOSDAQ,주권,KRX,193400.0,150605.0,190796.66666666666,235081.66666666666,250254.0,-22.718517985726503,386000.0,-49.89637305699482,77.23849372384032,62.25,-21.22,nxt_web_latest,NXT 체결가,2026-08-14 21:13 KST,,,,,3.79,,31.86,-9.41,26.03,75.0,,,-,56.0,-213.0,-138.0,-380.36,-246.43,-205.86,-235.83,43.78,369.71,-325.93,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-08-12,2025.0,OFS,11011.0,OpenDART,,,8,2,7,7,,14.39,-23.48,121.4,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-14,4.25,0,0,0,0,0,0,1,3,4,D,11
000250.KQ,000250,삼천당제약,44334,중견기업부,"하메론, 아토로우",KOSDAQ,주권,KRX,189500.0,166845.0,226600.0,426566.6666666667,371108.5,-48.9367664712611,1184000.0,-83.99493243243244,69.18604651161851,2.93,-48.15,nxt_web_latest,NXT 체결가,2026-08-14 21:13 KST,,,,1036.5,4.74,435.32,14.9,1.94,54.36,9.91,226.92,,-,2318.0,85.0,120.0,3.67,5.18,97.93,-497.95,959.44,1976.38,-1016.94,0.03,22.1,50.0,11.63,OpenDART,-75.0,2.0,True,2.0,OpenDART,,,,,,,,,,,,,KRW,2026-08-13,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,7,5,6,6,,4.12,9.66,261.65,26.38,1550.19,,의약품 제조업,의약품 제조업,2026-08-14,4.25,0,0,0,0,0,0,1,1,2,D,12
141080.KQ,141080,리가켐바이오,42165,기술성장기업부,ADC 신약연구개발,KOSDAQ,주권,KRX,114400.0,101900.0,125320.0,157817.5,163722.0,-30.125456566619025,213500.0,-46.41686182669789,61.89781021896545,10.32,-23.89,nxt_web_latest,NXT 체결가,2026-08-14 21:13 KST,,,,483.55,10.49,-51.0,9.06,-13.22,29.7,12.47,,,-,1416.0,-1065.0,-916.0,-75.21,-64.69,-1245.33,-1305.74,986.5,1606.95,-620.45,,,,,,,,,,,,4.0,,,224000.0,,,95.8,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,,,10,2,9,9,,32.54,-31.49,-72.16,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-08-14,4.25,0,0,0,0,0,0,3,3,6,D,13
214450.KQ,214450,파마리서치,41350,우량기업부,재생의약품,KOSDAQ,주권,KRX,400500.0,374850.0,331316.6666666667,324220.8333333333,369147.5,8.49321748081729,711000.0,-43.67088607594937,55.577689243024786,19.02,31.31,nxt_web_latest,NXT 체결가,2026-08-14 21:13 KST,,,65.07,24.5,4.89,22.0,6.8,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,5363.0,2144.0,1683.0,39.98,31.38,1831.62,1473.8,1756.63,3200.1,-1443.47,0.92,25.9,3700.0,427.91,OpenDART,77.64,5.0,False,5.0,OpenDART,,4.0,,,494000.0,,,23.35,,,Naver/FnGuide,,KRW,2026-08-10,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,3,1,2,2,0.34,,,,,,37.82,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-08-14,4.25,4,0,20,20,15,10,3,5,77,A,14
108490.KQ,108490,로보티즈,41050,기술성장기업부,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",KOSDAQ,주권,KRX,282500.0,216890.0,255093.33333333334,265350.8333333333,261402.0,8.071093564701112,405000.0,-30.246913580246915,70.13251783893486,41.32,3.1,nxt_web_latest,NXT 체결가,2026-08-14 21:13 KST,,,,691.83,6.05,972.0,11.5,2.49,1.79,29.67,,,-,389.0,33.0,53.0,8.48,13.62,70.75,46.35,310.38,56.29,254.09,,,,,,,,,,,,4.0,,,390600.0,,,38.27,,,Naver/FnGuide,,KRW,2026-08-14,2025.0,CFS,11011,OpenDART,,,21,16,20,20,,6.65,8.16,72.93,26.0,3638.46,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-14,4.25,0,0,0,0,0,0,1,5,6,D,15
222800.KQ,222800,심텍,40723,중견기업부,반도체용 인쇄회로기판,KOSDAQ,주권,KRX,108500.0,96020.0,112438.33333333333,91317.5,76246.0,42.302547018860004,157300.0,-31.02352193261284,58.54166666665813,1.02,9.93,nxt_web_latest,NXT 체결가,2026-08-14 21:13 KST,,,,,10.03,22.0,6.55,-32.1,181.13,14.55,,,-,14106.0,119.0,-1646.0,0.84,-11.67,-1986.12,-2550.05,539.84,10439.64,-9899.8,0.09,,100.0,37.33,OpenDART,-41.52,5.0,True,5.0,OpenDART,,4.0,,,171111.0,,,57.71,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,7,5,6,6,,4.68,15.47,39.96,29.0,-24.14,,전자부품 제조업,전자부품 제조업,2026-08-14,4.25,4,0,0,0,0,0,3,5,12,D,16
319660.KQ,319660,피에스케이,38844,우량기업부,"드라이스트립, 드라이클리닝",KOSDAQ,주권,KRX,135600.0,134895.0,147598.33333333334,114901.66666666667,84930.25,59.66042723293526,211500.0,-35.88652482269504,44.70169189669968,-30.6,30.89,nxt_web_latest,NXT 체결가,2026-08-14 21:13 KST,,,-0.73,10.42,20.48,26.0,6.88,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,4572.0,885.0,785.0,19.36,17.17,617.31,431.97,1194.22,1069.62,124.6,0.5,25.1,680.0,196.97,OpenDART,19.35,5.0,True,5.0,OpenDART,,4.0,,,182857.0,,,34.85,,,Naver/FnGuide,,KRW,2026-08-13,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,21,16,20,20,,6.8,6.8,1.18,27.0,-3.7,22.31,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-14,4.25,0,0,16,0,12,0,5,5,38,D,17
095340.KQ,095340,ISC,34190,우량기업부,반도체테스트소켓,KOSDAQ,주권,KRX,162500.0,136305.0,169485.0,197320.83333333334,161852.5,0.4000556061846434,271000.0,-40.03690036900369,60.574412532629694,12.07,-17.64,nxt_web_latest,NXT 체결가,2026-08-14 21:13 KST,,,2.68,60.46,30.25,38.0,6.03,10.6,15.85,26.19,34.15,91.78,720 -> 2579 -> 2648,2202.0,601.0,563.0,27.29,25.57,417.12,353.78,798.71,851.6,-52.89,0.52,31.0,850.0,173.95,OpenDART,12.31,5.0,True,5.0,OpenDART,,4.0,,,232167.0,,,42.87,,,Naver/FnGuide,,KRW,2026-08-13,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,14.18,,,,,,91.78,기계장비 및 관련 물품 도매업,기계장비 및 관련 물품 도매업,2026-08-14,4.25,0,0,12,0,15,2,3,5,37,D,18
214370.KQ,214370,케어젠,33249,벤처기업부,"성장인자, 바이오미메틱펩타이드 기반 안면, 두피, 바디 코스메슈티컬 제품",KOSDAQ,주권,KRX,59500.0,60065.0,69526.66666666667,88366.66666666667,84738.0,-29.783568174844817,150100.0,-60.359760159893405,52.606635071072596,-3.57,-35.26,nxt_web_latest,NXT 체결가,2026-08-14 21:13 KST,,,-37.87,92.25,4.39,160.92,15.95,9.23,8.85,-11.86,-40.35,-29.05,743 -> 602 -> 374,728.0,204.0,201.0,28.02,27.61,185.89,136.68,88.59,187.99,-99.4,0.73,106.3,437.0,213.57,OpenDART,-45.5,4.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-08-10,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,8,1,7,7,,14.39,-23.48,10.84,,,-29.05,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-14,4.25,0,0,6,0,0,0,5,1,12,D,19
403870.KQ,403870,HPSP,33249,우량기업부,고압 수소 어닐링 장비,KOSDAQ,주권,KRX,40400.0,36372.5,46635.833333333336,46859.166666666664,41891.5,-3.560388145566523,83500.0,-51.616766467065865,55.160142348726964,-4.94,-17.55,daily_close,NXT 미확인,2026-08-14 21:23 KST,,,-16.35,35.96,31.76,26.0,10.25,24.79,19.95,-4.63,-4.26,-6.21,989 -> 1040 -> 870,1730.0,899.0,727.0,51.97,42.02,1002.05,977.76,939.41,614.76,324.65,1.24,55.66,500.0,404.37,OpenDART,49.38,4.0,True,4.0,OpenDART,,4.0,,,68000.0,,,68.32,,,Naver/FnGuide,,KRW,2026-08-10,2025.0,OFS,11011.0,OpenDART,2025.0,11011.0,21,16,20,20,,6.65,6.8,54.14,27.0,-3.7,-6.21,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-14,4.25,0,0,20,0,0,0,3,3,26,D,20
310210.KQ,310210,보로노이,33142,기술성장기업부,표적치료제,KOSDAQ,주권,KRX,178800.0,140155.0,181838.33333333334,240915.0,230502.5,-22.4303424040954,363500.0,-50.811554332874834,70.88509316769415,22.8,-29.47,nxt_web_latest,NXT 체결가,2026-08-14 21:13 KST,,,,,6.85,,36.07,-50.18,64.97,-23.47,,,-,75.0,-544.0,-427.0,-725.33,-569.33,-720.95,-737.78,357.37,674.39,-317.02,,,,,,,,,,,,4.0,,,450000.0,,,151.68,,,Naver/FnGuide,,KRW,2026-08-13,2025.0,CFS,11011.0,OpenDART,,,10,2,9,9,,18.98,-18.83,90.04,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-08-14,4.25,0,0,0,0,0,0,1,3,4,D,21
440110.KQ,440110,파두,32822,기술성장기업부,SSD 컨트롤러,KOSDAQ,주권,KRX,65500.0,63255.0,84508.33333333333,75355.83333333333,55622.0,17.759160044586675,128300.0,-48.94777864380359,50.511945392479404,-6.96,-39.3,daily_close,NXT 미확인,2026-08-14 21:23 KST,,,,,26.48,,94.31,-131.08,518.5,112.41,,,-,924.0,-655.0,-762.0,-70.89,-82.47,-37.04,-78.42,408.04,1026.33,-618.29,,,,,,,,,,,,4.0,,,130000.0,,,98.47,,,Naver/FnGuide,,KRW,2026-08-13,2025.0,CFS,11011.0,OpenDART,,,5,3,4,4,,3.77,9.64,2401.59,16.0,,,반도체 제조업,반도체 제조업,2026-08-14,4.25,0,0,0,0,0,0,5,3,8,D,22
145020.KQ,145020,휴젤,32038,우량기업부,"보툴리눔톡신, 필러",KOSDAQ,주권,KRX,257000.0,249075.0,249341.66666666666,254304.16666666666,248970.0,3.225288187331807,388000.0,-33.76288659793815,55.70175438595807,7.31,-3.2,nxt_web_latest,NXT 체결가,2026-08-14 21:13 KST,,,3.3,21.91,57.07,18.0,2.76,16.06,9.86,13.97,20.88,22.87,7517 -> 10985 -> 11348,4251.0,2009.0,1470.0,47.26,34.58,1500.59,1205.36,2096.98,966.76,1130.22,,,,,,,,,,,,4.0,,,391429.0,,,52.31,,,Naver/FnGuide,,KRW,2026-08-14,2025.0,CFS,11011,OpenDART,,,8,1,7,7,5.45,15.95,-23.48,-82.7,,,22.87,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-14,4.25,8,3,16,0,12,2,3,5,49,C,23
319400.KQ,319400,현대무벡스,31185,우량기업부,"물류자동화, IT서비스",KOSDAQ,주권,KRX,28000.0,22552.5,27811.166666666668,29498.083333333332,25216.6,11.037967053448924,46350.0,-39.59007551240561,66.48793565678655,45.68,-15.02,daily_close,NXT 미확인,2026-08-14 21:23 KST,,,-56.77,99.75,1.72,278.89,17.8,6.79,76.81,15.38,-26.02,65.83,36 -> 229 -> 99,3939.0,182.0,113.0,4.62,2.87,-14.32,-43.28,361.19,1231.33,-870.14,0.18,48.8,50.0,55.07,OpenDART,18.56,5.0,False,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,,,65.83,일반 목적용 기계 제조업,일반 목적용 기계 제조업,2026-08-14,4.25,0,0,6,0,15,0,1,5,27,D,24
084370.KQ,084370,유진테크,30042,우량기업부,실리콘질화막증착용LP-CVD,KOSDAQ,주권,KRX,131000.0,117225.0,143633.33333333334,136598.33333333334,117147.0,11.825313495010542,206500.0,-36.56174334140436,59.57230142565342,-10.76,14.01,nxt_web_latest,NXT 체결가,2026-08-14 21:13 KST,,,-32.89,30.03,36.58,32.0,6.06,9.81,18.16,3.61,-15.52,31.84,1066 -> 2761 -> 1853,3503.0,517.0,445.0,14.76,12.7,664.77,452.3,549.25,892.21,-342.96,0.18,12.3,230.0,52.02,OpenDART,-5.2,5.0,True,5.0,OpenDART,,4.0,,,156667.0,,,19.59,,,Naver/FnGuide,,KRW,2026-08-11,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,21,16,20,20,,7.03,6.8,-13.8,26.0,23.08,31.84,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-14,4.25,0,0,6,0,15,0,3,5,29,D,25
131290.KQ,131290,티에스이,28759,우량기업부,"Probe Card, Test Interface Board, OLED Test Equipment, Test Socket",KOSDAQ,주권,KRX,265000.0,215310.0,230021.66666666666,181434.16666666666,133865.0,97.96063197997982,284500.0,-6.854130052724078,64.02640264025909,-6.19,26.19,nxt_web_latest,NXT 체결가,2026-08-14 21:13 KST,,,-10.0,1517.12,9.62,21.0,6.49,10.42,30.88,23.21,23.31,1672.52,11 -> 3840 -> 3456,4289.0,492.0,400.0,11.47,9.33,485.7,-22.4,758.17,1434.62,-676.45,0.17,12.4,450.0,49.78,OpenDART,-3.45,2.0,True,4.0,OpenDART,,4.0,,,320000.0,,,20.75,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,,,1672.52,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2026-08-14,4.25,4,0,12,0,15,0,3,0,34,D,26
095610.KQ,095610,테스,28556,우량기업부,반도체장비(화학증착장비),KOSDAQ,주권,KRX,147300.0,138450.0,152908.33333333334,115904.16666666667,89046.25,65.41965551609417,217500.0,-32.275862068965516,52.2499999999939,-24.19,31.05,nxt_web_latest,NXT 체결가,2026-08-14 21:13 KST,,,33.69,92.12,7.26,28.0,6.31,15.76,24.43,46.23,50.13,504.31,79 -> 2158 -> 2885,3511.0,578.0,569.0,16.46,16.21,824.23,492.84,121.43,957.15,-835.72,0.58,26.4,850.0,150.74,OpenDART,19.35,5.0,True,5.0,OpenDART,,4.0,,,195889.0,,,32.99,,,Naver/FnGuide,,KRW,2026-08-11,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,21,16,20,20,0.83,7.03,6.8,-10.24,26.0,7.69,504.31,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-14,4.25,0,0,16,16,15,10,5,5,67,B,27
347850.KQ,347850,디앤디파마텍,28144,기술성장기업부,대사성질환 치료제 등,KOSDAQ,주권,KRX,61400.0,58257.5,77169.16666666667,77073.75,80697.81,-23.913672502388845,111200.0,-44.7841726618705,51.89274447948382,-10.63,0.66,daily_close,NXT 미확인,2026-08-14 21:23 KST,,,,,4.88,,35.78,-31.49,23.5,-62.28,,,-,43.0,-340.0,-240.0,-790.7,-558.14,-211.39,-212.03,328.84,185.6,143.24,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-08-11,2025.0,CFS,11011.0,OpenDART,,,10,2,9,9,,18.98,-18.83,88.51,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-08-14,4.25,0,0,0,0,0,0,5,5,10,D,28
257720.KQ,257720,실리콘투,28099,우량기업부,화장품 유통,KOSDAQ,주권,KRX,42750.0,37410.0,36072.5,38832.5,40800.25,4.778769737930527,61800.0,-30.8252427184466,58.41209829864584,18.59,6.74,nxt_web_latest,NXT 체결가,2026-08-14 21:13 KST,,,31.11,14.49,7.86,12.0,5.33,46.89,55.09,61.43,49.27,103.34,631 -> 1990 -> 2609,11163.0,2054.0,1686.0,18.4,15.1,11.41,-58.98,773.23,2520.18,-1746.95,0.72,11.9,306.0,200.28,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,55500.0,,,29.82,,,Naver/FnGuide,,KRW,2026-08-11,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,1,0,0,0,0.39,,,,,,103.34,상품 종합 도매업,상품 종합 도매업,2026-08-14,4.25,12,0,20,20,15,10,3,5,85,S,29
