yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
214370.KQ,214370,케어젠,33142,벤처기업부,"성장인자, 바이오미메틱펩타이드 기반 안면, 두피, 바디 코스메슈티컬 제품",KOSDAQ,주권,KRX,61500.0,85038.5,-27.67981561292826,150100.0,-59.02731512325117,47.08249496980565,-12.02,-39.29,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,-37.87,92.25,4.06,141.84,14.06,9.23,8.85,-11.86,-40.35,-29.05,743 -> 602 -> 374,728.0,204.0,201.0,28.02,27.61,185.89,136.68,88.59,187.99,-99.4,0.71,106.3,437.0,213.57,OpenDART,-45.5,4.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-16,2025.0,CFS,11011,OpenDART,2025.0,11011,8,1,7,7,,,18.5,-23.48,,-24.0,-29.05,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-16,4.25,0,0,6,0,0,0,5,3,14,D,21
347850.KQ,347850,디앤디파마텍,31490,기술성장기업부,대사성질환 치료제 등,KOSDAQ,주권,KRX,68700.0,79521.8,-13.608595378877242,111200.0,-38.219424460431654,44.693396226407714,-36.57,-12.93,daily_close,NXT 미확인,2026-07-16 22:15 KST,,,,,6.89,,54.29,-31.49,23.5,-62.28,,,-,43.0,-340.0,-240.0,-790.7,-558.14,-211.39,-212.03,328.84,185.6,143.24,,,,,,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,8,2,7,7,,,19.05,-18.83,,184.99,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-16,4.25,0,0,0,0,0,0,5,5,10,D,22
131290.KQ,131290,티에스이,31248,우량기업부,"Probe Card, Test Interface Board, OLED Test Equipment, Test Socket",KOSDAQ,주권,KRX,284500.0,117500.5,142.12662924838617,284500.0,0.0,63.72093023255399,14.26,74.01,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,-10.0,1517.12,9.85,21.0,6.51,10.42,30.88,23.21,23.31,1672.52,11 -> 3840 -> 3456,4289.0,492.0,400.0,11.47,9.33,485.7,-22.4,758.17,1434.62,-676.45,0.16,12.4,450.0,49.78,OpenDART,-3.45,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,,,1672.52,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2026-07-16,4.25,4,0,12,0,15,0,3,0,34,D,23
031980.KQ,031980,피에스케이홀딩스,30920,우량기업부,"Descum, Reflow",KOSDAQ,주권,KRX,142400.0,84905.25,67.71636618465878,166500.0,-14.474474474474475,52.762430939221424,18.17,19.76,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,-4.32,11.02,6.48,25.0,6.6,19.55,15.5,-3.57,-17.06,46.54,1980 -> 4444 -> 4252,2078.0,734.0,917.0,35.32,44.13,814.17,792.28,1827.79,785.01,1042.78,0.76,25.4,1080.0,232.87,OpenDART,39.25,1.0,False,4.0,OpenDART,,4.0,,,191600.0,,,34.55,,,Naver/FnGuide,,KRW,2026-07-15,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,19,14,18,18,,40.5,9.11,8.16,-38.27,-27.55,46.54,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-16,4.25,4,0,16,0,15,0,5,5,45,C,24
095340.KQ,095340,ISC,30735,우량기업부,반도체테스트소켓,KOSDAQ,주권,KRX,144200.0,156137.0,-7.645209015159764,271000.0,-46.789667896678964,33.44651952461402,-25.28,-37.03,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,2.68,60.46,31.83,35.0,5.66,10.6,15.85,26.19,34.15,91.78,720 -> 2579 -> 2648,2202.0,601.0,563.0,27.29,25.57,417.12,353.78,798.71,851.6,-52.89,0.59,31.0,850.0,173.95,OpenDART,12.31,5.0,True,5.0,OpenDART,,4.0,,,292500.0,,,102.84,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,13.06,,,,,,91.78,기계장비 및 관련 물품 도매업,기계장비 및 관련 물품 도매업,2026-07-16,4.25,0,0,12,0,15,2,3,3,35,D,25
145020.KQ,145020,휴젤,29468,우량기업부,"보툴리눔톡신, 필러",KOSDAQ,주권,KRX,238500.0,252660.0,-5.604369508430302,388000.0,-38.53092783505155,44.841269841264854,-4.98,-11.5,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,3.3,21.91,57.55,16.0,2.51,16.06,9.86,13.97,20.88,22.87,7517 -> 10985 -> 11348,4251.0,2009.0,1470.0,47.26,34.58,1500.59,1205.36,2096.98,966.76,1130.22,,,,,,,,,,,,4.0,,,378462.0,,,58.68,,,Naver/FnGuide,,KRW,2026-07-15,2025.0,CFS,11011.0,OpenDART,,,8,1,7,7,4.85,,18.5,-23.48,,-86.43,22.87,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-16,4.25,8,3,16,0,12,2,5,5,51,C,26
108490.KQ,108490,로보티즈,29307,기술성장기업부,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",KOSDAQ,주권,KRX,199500.0,256427.55,-22.2002472043273,405000.0,-50.74074074074074,41.56594850236163,-33.61,-26.92,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,,691.83,7.75,545.0,9.14,2.49,1.79,29.67,,,-,389.0,33.0,53.0,8.48,13.62,70.75,46.35,310.38,56.29,254.09,,,,,,,,,,,,4.0,,,398000.0,,,99.5,,,Naver/FnGuide,,KRW,2026-07-15,2025.0,CFS,11011.0,OpenDART,,,19,14,18,18,,38.92,8.7,8.98,1300.31,5.06,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-16,4.25,0,0,0,0,0,0,5,3,8,D,27
214150.KQ,214150,클래시스,28768,우량기업부,미용의료기기,KOSDAQ,주권,KRX,43600.0,53829.25,-19.003144201340348,75600.0,-42.32804232804233,47.48858447485549,-5.11,-25.09,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,32.76,30.47,70.66,17.0,5.69,26.21,27.73,38.66,39.38,32.57,1146 -> 1517 -> 2014,3368.0,1706.0,1320.0,50.65,39.19,1639.36,1446.82,375.21,1529.75,-1154.54,2.29,49.4,1000.0,651.53,OpenDART,105.04,5.0,False,5.0,OpenDART,,4.0,,,77688.0,,,78.18,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,3,1,2,2,0.52,,,,,,32.57,의료용 기기 제조업,의료용 기기 제조업,2026-07-16,4.25,8,0,20,20,15,10,5,5,83,A,28
226950.KQ,226950,올릭스,28675,기술성장기업부,siRNA 신약 개발,KOSDAQ,주권,KRX,134500.0,142505.5,-5.6176779141857685,207000.0,-35.02415458937198,50.80645161289749,-0.37,-22.48,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,,,7.02,,19.05,-18.83,30.18,157.89,,,-,147.0,-300.0,-157.0,-204.08,-106.8,-159.0,-160.1,63.59,452.87,-389.28,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,,,8,2,7,7,,,28.92,-31.49,,-34.13,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-16,4.25,0,0,0,0,0,0,5,5,10,D,29
089970.KQ,089970,브이엠,28511,우량기업부,300mm Poly Etch System,KOSDAQ,주권,KRX,105200.0,44286.5,137.54417260338928,119700.0,-12.11361737677527,50.32679738561434,12.51,90.93,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,,29.68,12.48,29.0,12.27,17.34,40.37,105.41,,,-,1444.0,247.0,261.0,17.11,18.07,183.11,93.34,1305.19,715.3,589.89,,,,,,,0.0,False,1.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,,19,14,18,18,,40.5,8.7,8.16,-28.4,41.03,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-16,4.25,0,0,16,0,0,0,5,5,26,D,30
