yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_pbr_gap,peer_per_avg,peer_per_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
214450.KQ,214450,파마리서치,33091,우량기업부,재생의약품,KOSDAQ,주권,KRX,318500.0,391667.5,-18.681024082927483,711000.0,-55.20393811533052,53.39805825242355,7.97,6.7,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,65.07,24.5,8.1,20.0,6.08,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,5363.0,2144.0,1683.0,39.98,31.38,1831.62,1473.8,1756.63,3200.1,-1443.47,1.16,25.9,3700.0,427.91,OpenDART,57.58,5.0,False,5.0,OpenDART,,,,,,,,,,,,,,,,,,,0.31,2025.0,11011.0,,,3,1,2,2,,,,37.82,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-07-14,4.57,4,0,20,20,15,10,5,3,77,A,21
347850.KQ,347850,디앤디파마텍,32819,기술성장기업부,대사성질환 치료제 등,KOSDAQ,주권,KRX,71600.0,79205.955,-9.60275650991141,111200.0,-35.61151079136691,38.32951945079477,-21.83,-10.28,daily_close,NXT 미확인,2026-07-14 22:01 KST,,,,,6.89,,54.29,-31.49,23.5,-62.28,,,-,43.0,-340.0,-240.0,-790.7,-558.14,-211.39,-212.03,328.84,185.6,143.24,,,,,,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,,19.05,-18.83,8,2,7,7,184.99,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-14,4.57,0,0,0,0,0,0,5,5,10,D,22
095340.KQ,095340,ISC,31795,우량기업부,반도체테스트소켓,KOSDAQ,주권,KRX,153100.0,155363.5,-1.456905901321739,271000.0,-43.50553505535055,30.472516875598586,-23.26,-31.8,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,2.68,60.46,31.83,35.0,5.66,10.6,15.85,26.19,34.15,91.78,720 -> 2579 -> 2648,2202.0,601.0,563.0,27.29,25.57,417.12,353.78,798.71,851.6,-52.89,0.56,31.0,850.0,173.95,OpenDART,12.31,5.0,True,5.0,OpenDART,,4.0,,,292500.0,,,91.05,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011,OpenDART,13.06,2025.0,11011,,,2,1,1,1,,,,91.78,기계장비 및 관련 물품 도매업,기계장비 및 관련 물품 도매업,2026-07-14,4.57,0,0,12,0,15,2,3,5,37,D,23
131290.KQ,131290,티에스이,30640,우량기업부,"Probe Card, Test Interface Board, OLED Test Equipment, Test Socket",KOSDAQ,주권,KRX,282000.0,115123.75,144.9537997155235,277000.0,1.8050541516245486,55.67010309278029,12.35,99.15,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,-10.0,1517.12,9.85,21.0,6.51,10.42,30.88,23.21,23.31,1672.52,11 -> 3840 -> 3456,4289.0,492.0,400.0,11.47,9.33,485.7,-22.4,758.17,1434.62,-676.45,0.16,12.4,450.0,49.78,OpenDART,-3.45,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,,,2,1,1,1,,,,1672.52,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2026-07-14,4.57,4,0,12,0,15,0,3,0,34,D,24
031980.KQ,031980,피에스케이홀딩스,30402,우량기업부,"Descum, Reflow",KOSDAQ,주권,KRX,149900.0,83807.0,78.86334077105731,166500.0,-9.96996996996997,56.99922660478887,21.67,32.3,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,-4.32,11.02,6.77,27.0,7.04,19.55,15.5,-3.57,-17.06,46.54,1980 -> 4444 -> 4252,2078.0,734.0,917.0,35.32,44.13,814.17,792.28,1827.79,785.01,1042.78,0.72,25.4,1080.0,232.87,OpenDART,39.25,4.0,False,4.0,OpenDART,,,,,,,,,,,,,,,,,,,,2025.0,11011.0,9.21,7.42,20,15,19,19,-23.56,39.0,-30.77,46.54,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-14,4.57,0,0,16,0,15,0,3,0,34,D,25
089970.KQ,089970,브이엠,30196,우량기업부,300mm Poly Etch System,KOSDAQ,주권,KRX,116400.0,43322.85,168.6803846007361,119700.0,-2.756892230576441,59.50266429839402,25.84,132.8,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,,29.68,12.48,29.0,12.27,17.34,40.37,105.41,,,-,1444.0,247.0,261.0,17.11,18.07,183.11,93.34,1305.19,715.3,589.89,,,,,,,0.0,False,1.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,,,8.33,7.42,20,15,19,19,47.3,39.0,-25.64,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-14,4.57,0,0,16,0,0,0,3,0,19,D,26
214150.KQ,214150,클래시스,29714,우량기업부,미용의료기기,KOSDAQ,주권,KRX,45800.0,53927.0,-15.070372911528548,75600.0,-39.41798941798942,50.10940919034129,2.69,-19.22,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,32.76,30.47,70.66,17.0,5.69,26.21,27.73,38.66,39.38,32.57,1146 -> 1517 -> 2014,3368.0,1706.0,1320.0,50.65,39.19,1639.36,1446.82,375.21,1529.75,-1154.54,2.18,49.4,1000.0,651.53,OpenDART,105.04,5.0,False,5.0,OpenDART,,4.0,,,77688.0,,,69.62,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011,OpenDART,0.52,2025.0,11011,,,3,1,2,2,,,,32.57,의료용 기기 제조업,의료용 기기 제조업,2026-07-14,4.57,8,0,20,20,15,10,5,5,83,A,27
108490.KQ,108490,로보티즈,28662,기술성장기업부,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",KOSDAQ,주권,KRX,198000.0,255298.135,-22.443616754192117,405000.0,-51.11111111111111,31.84019370459778,-36.94,-24.57,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,,691.83,7.25,440.0,10.33,2.49,1.79,29.67,,,-,389.0,33.0,53.0,8.48,13.62,70.75,46.35,310.38,56.29,254.09,,,,,,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,,8.33,8.9,20,15,19,19,24.01,38.84,1032.85,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-14,4.57,0,0,0,0,0,0,3,3,6,D,28
145020.KQ,145020,휴젤,27930,우량기업부,"보툴리눔톡신, 필러",KOSDAQ,주권,KRX,228500.0,253370.0,-9.815684571969847,388000.0,-41.108247422680414,36.51452282157251,-4.59,-13.28,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,3.3,21.91,57.97,19.0,2.95,16.06,9.86,13.97,20.88,22.87,7517 -> 10985 -> 11348,4251.0,2009.0,1470.0,47.26,34.58,1500.59,1205.36,2096.98,966.76,1130.22,,,,,,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,5.76,,,18.5,-23.48,8,1,7,7,-84.05,,,22.87,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-14,4.57,4,3,16,0,12,2,5,5,47,C,29
237690.KQ,237690,에스티팜,26741,우량기업부,원료의약품,KOSDAQ,주권,KRX,125500.0,127383.5,-1.4786059418998536,168700.0,-25.607587433313572,56.027164685895,1.13,-14.92,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,52.02,53.05,12.08,38.0,4.36,10.03,31.97,21.15,98.19,61.23,1041 -> 1780 -> 2706,3317.0,549.0,546.0,16.55,16.46,139.89,-332.97,305.46,1895.63,-1590.17,0.4,18.3,500.0,100.76,OpenDART,0.0,5.0,False,5.0,OpenDART,,4.0,,,204071.0,,,62.61,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011,OpenDART,0.73,2025.0,11011,5.09,7.59,7,5,6,6,-14.34,19.28,97.1,61.23,의약품 제조업,의약품 제조업,2026-07-14,4.57,0,0,12,16,15,10,3,5,61,B,30
310210.KQ,310210,보로노이,26691,기술성장기업부,표적치료제,KOSDAQ,주권,KRX,146500.0,232980.0,-37.11906601425015,363500.0,-59.697386519944985,31.830601092893133,-26.71,-50.42,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,,,6.46,,28.92,-50.18,64.97,-23.47,,,-,75.0,-544.0,-427.0,-725.33,-569.33,-720.95,-737.78,357.37,674.39,-317.02,,,,,,,,,,,,4.0,,,450000.0,,,207.17,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011,OpenDART,,,,19.05,-18.83,8,2,7,7,51.81,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-14,4.57,0,0,0,0,0,0,3,3,6,D,31
