yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
005490.KS,005490,POSCO홀딩스,255157,322000.0,345475.0,-6.794992401765684,535000.0,-39.81308411214953,27.083333333331083,regularMarketPrice,-38.15,27.33,31.65,15.0,0.47,1.18,68.64,-4.94,-15.94,-36.54,20079 -> 13073 -> 8085,,,,,,,,,,,,-36.54,2026-06-23,4.51,8,10,0,0,0,0,3,5,26,D,30
000150.KS,000150,두산,247927,1531000.0,1046580.0,46.28599820367292,2203000.0,-30.50385837494326,31.86504217432011,regularMarketPrice,,220.26,20.16,71.0,13.22,4.99,169.14,9.11,5.87,,-,,,,,,,,,,,,,2026-06-23,4.51,0,0,0,0,0,0,3,5,8,D,31
042700.KS,042700,한미반도체,245905,258000.0,205202.5,25.729462360351363,409500.0,-36.996336996337,47.226624405703134,daily_close,41.96,44.0,6.27,158.01,44.0,34.76,17.82,3.18,-1.57,-9.81,2745 -> 1573 -> 2233,,,,,,,,,,,3.77,-9.81,2026-06-23,4.51,0,0,20,0,0,10,5,5,40,C,32
006800.KS,006800,미래에셋증권,235857,42150.0,42470.08,-0.7536599883965411,83800.0,-49.70167064439141,16.19870410366191,daily_close,76.41,11.79,8.63,12.0,2.01,12.36,1015.01,31.65,61.19,126.19,421 -> 1221 -> 2154,,,,,,,,,,,0.16,126.19,2026-06-23,4.51,12,3,12,20,15,10,1,3,76,A,33
011070.KS,011070,LG이노텍,234541,991000.0,389380.5,154.50683842668033,1530000.0,-35.22875816993464,34.44576877234746,daily_close,-24.04,12.45,22.5,33.0,4.46,6.14,107.02,3.28,-5.81,-22.3,23881 -> 18983 -> 14419,,,,,,,,,,,,-22.3,2026-06-23,4.51,0,0,6,0,0,0,3,5,14,D,34
015760.KS,015760,한국전력,232711,36250.0,46091.75,-21.352519702549806,67900.0,-46.61266568483063,45.53571428567634,regularMarketPrice,144.73,3.62,52.26,4.0,0.48,19.4,416.85,4.32,61.28,,5439 -> 13311,,,,,,,,,,,0.03,,2026-06-23,4.51,15,10,16,20,0,10,5,3,79,A,35
010130.KS,010130,고려아연,226262,1084000.0,1363200.0,-20.481220657276992,2115000.0,-48.74704491725768,30.86816720257164,daily_close,319.09,54.23,28.13,20.0,2.17,8.48,82.36,37.63,70.27,21.41,26127 -> 9190 -> 38514,,,,,,,,,,,0.06,21.41,2026-06-23,4.51,4,3,6,20,12,10,3,3,61,B,36
316140.KS,316140,우리금융지주,216185,29450.0,29736.5,-0.9634624115144687,40800.0,-27.818627450980394,48.10126582272799,daily_close,1.86,4.73,45.32,7.0,0.6,8.91,1488.67,-10.87,-13.64,11.6,3389 -> 4144 -> 4221,,,,,,,,,,,3.76,11.6,2026-06-23,4.51,15,10,6,0,8,2,5,5,51,C,37
010140.KS,010140,삼성중공업,213840,24300.0,26730.75,-9.093459779467468,34400.0,-29.360465116279073,37.407407407368616,daily_close,749.32,97.29,28.73,23.0,5.21,13.73,265.05,7.54,71.51,,73 -> 620,,,,,,,,,,,0.03,,2026-06-23,4.51,4,0,12,20,0,10,5,5,56,B,38
064350.KS,064350,현대로템,211299,193600.0,207048.0,-6.49511224450369,269000.0,-28.029739776951672,45.891608391602766,daily_close,89.24,19.33,37.2,24.0,7.02,30.05,206.39,33.41,120.24,118.7,1475 -> 3728 -> 7055,,,,,,,,,,,0.27,118.7,2026-06-23,4.51,4,0,20,20,15,10,5,5,79,A,39
