yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,analyst_buy_ratio,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,dividend_history_years,dividend_history_source,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_gap,peer_pbr_gap,cagr,sector,industry,peer_per_count,peer_pbr_count,peer_roe_count,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
095610.KQ,095610,테스,36087,우량기업부,반도체장비(화학증착장비),KOSDAQ,주권,KRX,187900.0,77204.0,143.38117196000206,213000.0,-11.784037558685446,57.53280839894591,6.16,124.22,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,33.69,92.12,9.44,42.0,9.21,15.76,24.43,46.23,50.13,504.31,79 -> 2158 -> 2885,3511.0,578.0,569.0,16.46,16.21,824.23,492.84,121.43,957.15,-835.72,0.45,26.4,850.0,150.74,OpenDART,11.0,5.0,True,,,,,,,,,,,,,,,,1.25,2025.0,11011.0,5.0,OpenDART,40.0,8.74,6.8,21,5.0,5.38,504.31,특수 목적용 기계 제조업,특수 목적용 기계 제조업,15,20,20,2026-07-13,4.58,0,0,16,10,15,10,3,5,59,B,15
440110.KQ,440110,파두,35371,기술성장기업부,SSD 컨트롤러,KOSDAQ,주권,KRX,70600.0,50719.25,39.197641920966895,128300.0,-44.972720187061576,34.51612903225028,-31.46,24.3,daily_close,NXT 미확인,2026-07-13 22:48 KST,,,,,27.45,,123.65,-131.08,518.5,112.41,,,-,924.0,-655.0,-762.0,-70.89,-82.47,-37.04,-78.42,408.04,1026.33,-618.29,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,,,,26.57,4.95,9.64,5,,2397.98,,반도체 제조업,반도체 제조업,3,4,4,2026-07-13,4.58,0,0,0,0,0,0,3,5,8,D,16
347850.KQ,347850,디앤디파마텍,35294,기술성장기업부,대사성질환 치료제 등,KOSDAQ,주권,KRX,77000.0,79053.785,-2.5979590983531065,111200.0,-30.755395683453234,38.908246225313064,-6.67,0.26,daily_close,NXT 미확인,2026-07-13 22:48 KST,,,,,6.89,,54.29,-31.49,23.5,-62.28,,,-,43.0,-340.0,-240.0,-790.7,-558.14,-211.39,-212.03,328.84,185.6,143.24,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,,,,,25.72,-18.83,8,,111.08,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2,7,7,2026-07-13,4.58,0,0,0,0,0,0,5,5,10,D,17
084370.KQ,084370,유진테크,35084,우량기업부,실리콘질화막증착용LP-CVD,KOSDAQ,주권,KRX,154800.0,111536.5,38.78864766242441,206500.0,-25.036319612590802,47.45568896511913,-17.66,21.89,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,-32.89,30.03,36.77,51.0,9.75,9.81,18.16,3.61,-15.52,31.84,1066 -> 2761 -> 1853,3503.0,517.0,445.0,14.76,12.7,664.77,452.3,549.25,892.21,-342.96,0.15,12.3,230.0,52.02,OpenDART,-3.93,5.0,True,,,,,,,,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,40.0,8.74,6.8,21,27.5,11.56,31.84,특수 목적용 기계 제조업,특수 목적용 기계 제조업,15,20,20,2026-07-13,4.58,0,0,6,0,15,0,5,5,31,D,18
403870.KQ,403870,HPSP,34483,우량기업부,고압 수소 어닐링 장비,KOSDAQ,주권,KRX,41900.0,41541.5,0.8629924292574895,83500.0,-49.82035928143713,36.05527638189687,-49.82,-1.76,daily_close,NXT 미확인,2026-07-13 22:48 KST,,,-16.35,35.96,31.72,35.0,13.93,24.79,19.95,-4.63,-4.26,-6.21,989 -> 1040 -> 870,1730.0,899.0,727.0,51.97,42.02,1002.05,977.76,939.41,614.76,324.65,1.19,55.66,500.0,404.37,OpenDART,49.38,4.0,True,,,,,,,,,,,,,,,,,2025.0,11011.0,4.0,OpenDART,42.0,8.74,6.8,21,-16.67,59.38,-6.21,특수 목적용 기계 제조업,특수 목적용 기계 제조업,15,20,20,2026-07-13,4.58,0,0,20,0,0,0,5,3,28,D,19
214450.KQ,214450,파마리서치,34337,우량기업부,재생의약품,KOSDAQ,주권,KRX,334000.0,393205.0,-15.057031319540698,711000.0,-53.023909985935305,61.55606407322259,10.05,11.89,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,65.07,24.5,8.1,20.0,6.08,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,5363.0,2144.0,1683.0,39.98,31.38,1831.62,1473.8,1756.63,3200.1,-1443.47,1.11,25.9,3700.0,427.91,OpenDART,57.58,5.0,False,,,,,,,,,,,,,,,,0.31,2025.0,11011.0,5.0,OpenDART,,,,3,,,37.82,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,1,2,2,2026-07-13,4.58,4,0,20,20,15,10,3,3,75,A,20
028300.KQ,028300,HLB,34165,중견기업부,"의료기기, 의약외품 등",KOSDAQ,주권,KRX,25650.0,50191.5,-48.89572935656436,92500.0,-72.27027027027026,27.68130745658044,-43.63,-59.09,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,,,19.71,,16.07,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,-925.88,-1101.21,409.83,4357.64,-3947.81,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,,,,,,,3,,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2,2,2,2026-07-13,4.58,0,0,0,0,0,0,3,1,4,D,21
214370.KQ,214370,케어젠,34162,벤처기업부,"성장인자, 바이오미메틱펩타이드 기반 안면, 두피, 바디 코스메슈티컬 제품",KOSDAQ,주권,KRX,63500.0,85109.0,-25.38979426382639,150100.0,-57.69487008660893,44.62659380691029,-16.56,-33.79,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,-37.87,92.25,3.65,175.17,17.37,9.23,8.85,-11.86,-40.35,-29.05,743 -> 602 -> 374,728.0,204.0,201.0,28.02,27.61,185.89,136.68,88.59,187.99,-99.4,0.69,106.3,437.0,213.57,OpenDART,-45.5,4.0,True,,,,,,,,,,,,,,,,,2025.0,11011.0,4.0,OpenDART,,18.5,-23.48,8,,-6.11,-29.05,기초 의약물질 제조업,기초 의약물질 제조업,1,7,7,2026-07-13,4.58,0,0,6,0,0,0,5,3,14,D,22
095340.KQ,095340,ISC,32537,우량기업부,반도체테스트소켓,KOSDAQ,주권,KRX,154000.0,154966.5,-0.6236831831395817,271000.0,-43.17343173431734,31.605184446655613,-26.49,-30.94,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,2.68,60.46,24.79,40.0,6.44,10.6,15.85,26.19,34.15,91.78,720 -> 2579 -> 2648,2202.0,601.0,563.0,27.29,25.57,417.12,353.78,798.71,851.6,-52.89,0.55,31.0,850.0,173.95,OpenDART,43.58,5.0,True,,,,,,,,,,,,,,,,14.93,2025.0,11011.0,5.0,OpenDART,,,,2,,,91.78,기계장비 및 관련 물품 도매업,기계장비 및 관련 물품 도매업,1,1,1,2026-07-13,4.58,0,0,12,0,15,2,3,5,37,D,23
214150.KQ,214150,클래시스,30954,우량기업부,미용의료기기,KOSDAQ,주권,KRX,47050.0,53976.25,-12.832032606933605,75600.0,-37.764550264550266,57.9646017698756,7.42,-13.51,nxt_web_latest,NXT 체결가,2026-07-13 22:38 KST,,,32.76,30.47,70.5,18.0,5.99,26.21,27.73,38.66,39.38,32.57,1146 -> 1517 -> 2014,3368.0,1706.0,1320.0,50.65,39.19,1639.36,1446.82,375.21,1529.75,-1154.54,2.13,49.4,1000.0,651.53,OpenDART,97.29,5.0,False,,,,,,,,,,,,,,,,0.55,2025.0,11011.0,5.0,OpenDART,,,,3,,,32.57,의료용 기기 제조업,의료용 기기 제조업,1,2,2,2026-07-13,4.58,8,0,20,20,15,10,3,5,81,A,24
