yf_symbol,symbol,name,market_cap,krx_source,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,dividend_year,dividend_report_code,dart_source,dart_year,dart_fs_div,dart_report_code,peg,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
347850.KQ,347850,디앤디파마텍,38862,,89100.0,77103.83,15.558461881854635,111200.0,-19.87410071942446,50.29585798815874,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,,,7.17,,51.41,-31.49,23.5,-62.28,,,-,43.0,-340.0,-240.0,-790.7,-558.14,-211.39,-212.03,328.84,185.6,143.24,,,,,,,,,,,,,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,0,5,5,10,D,21
095340.KQ,095340,ISC,38472,,182500.0,150985.5,20.872534117514597,271000.0,-32.656826568265686,50.35238841033121,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,2.68,60.46,23.88,43.0,6.85,10.6,15.85,26.19,34.15,91.78,720 -> 2579 -> 2648,2202.0,601.0,563.0,27.29,25.57,417.12,353.78,798.71,851.6,-52.89,0.8,31.0,850.0,173.95,OpenDART,43.58,5.0,True,5.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,16.04,91.78,,,2026-06-30,4.25,0,0,12,0,15,2,5,5,39,D,22
108490.KQ,108490,로보티즈,38118,,264000.0,249323.225,5.886645738679176,405000.0,-34.81481481481482,46.233766233762864,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,,691.83,7.66,455.0,10.68,2.49,1.79,29.67,,,-,389.0,33.0,53.0,8.48,13.62,70.75,46.35,310.38,56.29,254.09,,,,,,,,,,,,,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,0,5,5,10,D,23
214450.KQ,214450,파마리서치,37714,,362000.0,407232.5,-11.107291289374006,711000.0,-49.08579465541491,78.59649122806246,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,65.07,24.5,8.58,20.0,6.02,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,5363.0,2144.0,1683.0,39.98,31.38,1831.62,1473.8,1756.63,3200.1,-1443.47,0.9,25.9,3700.0,427.91,OpenDART,57.58,5.0,False,5.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,0.31,37.82,,,2026-06-30,4.25,4,0,20,20,15,10,1,3,73,A,24
214370.KQ,214370,케어젠,37009,,69300.0,84597.5,-18.08268565855965,150100.0,-53.830779480346436,46.85908319183945,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,-37.87,92.25,3.7,158.39,15.7,9.23,8.85,-11.86,-40.35,-29.05,743 -> 602 -> 374,728.0,204.0,201.0,28.02,27.61,185.89,136.68,88.59,187.99,-99.4,0.7,106.3,437.0,213.57,OpenDART,-45.5,4.0,True,4.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,,-29.05,,,2026-06-30,4.25,0,0,6,0,0,0,5,3,14,D,25
080220.KQ,080220,제주반도체,35786,,103900.0,42906.95,142.15191245241158,134000.0,-22.462686567164177,55.058365758747364,daily_close,NXT 미확인,2026-06-30 21:24 KST,,,102.29,22.3,1.85,31.6,11.47,19.21,47.94,86.2,273.96,53.63,486 -> 567 -> 1147,3022.0,359.0,395.0,11.88,13.07,255.55,228.3,772.3,1088.84,-316.54,,,,,,,,,,,,,OpenDART,2025,CFS,11011,0.31,53.63,,,2026-06-30,4.25,0,0,16,20,15,10,3,5,69,B,26
031980.KQ,031980,피에스케이홀딩스,34499,,160800.0,78896.0,103.81261407422429,160000.0,0.5,58.01354401805258,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,-4.32,11.02,6.67,26.0,6.76,19.55,15.5,-3.57,-17.06,46.54,1980 -> 4444 -> 4252,2078.0,734.0,917.0,35.32,44.13,814.17,792.28,1827.79,785.01,1042.78,2.3,25.4,1080.0,232.87,OpenDART,39.25,4.0,False,4.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,,46.54,,,2026-06-30,4.25,0,0,16,0,15,0,3,0,34,D,27
310210.KQ,310210,보로노이,34391,,188600.0,231919.0,-18.678504132908472,363500.0,-48.11554332874828,46.642899584072175,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,,,6.65,,37.0,-50.18,64.97,-23.47,,,-,75.0,-544.0,-427.0,-725.33,-569.33,-720.95,-737.78,357.37,674.39,-317.02,,,,,,,,,,,,,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,0,5,3,8,D,28
178320.KQ,178320,서진시스템,33416,,52500.0,39438.8,33.11764049616113,80800.0,-35.024752475247524,29.764705882343137,daily_close,NXT 미확인,2026-06-30 21:24 KST,,,,15.93,17.11,,3.77,-12.63,212.62,-12.15,-98.99,,-,10663.0,11.0,-1024.0,0.1,-9.6,-397.57,-3355.74,320.69,15686.76,-15366.07,,,,,,,,,,,,,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,0,3,5,8,D,29
067310.KQ,067310,하나마이크론,33140,,49850.0,31802.6,56.74819039952709,56800.0,-12.235915492957746,61.94267515920805,daily_close,NXT 미확인,2026-06-30 21:24 KST,,,,44.79,21.34,20.0,7.03,9.89,209.16,22.68,19.57,,-,15344.0,1277.0,656.0,8.32,4.28,1749.19,118.91,955.88,13651.63,-12695.75,0.28,12.19,70.0,46.46,OpenDART,11.87,4.0,False,4.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,4,0,6,0,0,0,3,5,18,D,30
145020.KQ,145020,휴젤,32482,,264000.0,257380.0,2.5720724220996196,388000.0,-31.958762886597935,59.24528301886166,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,3.3,21.91,58.03,19.0,2.84,16.06,9.86,13.97,20.88,22.87,7517 -> 10985 -> 11348,4251.0,2009.0,1470.0,47.26,34.58,1500.59,1205.36,2096.98,966.76,1130.22,,,,,,,,,,,,,OpenDART,2025,CFS,11011,5.76,22.87,,,2026-06-30,4.25,4,3,16,0,12,2,3,5,45,C,31
226950.KQ,226950,올릭스,31621,,158200.0,139514.5,13.393231527905701,207000.0,-23.574879227053138,62.75590551180411,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,,,8.84,,23.96,-18.83,30.18,157.89,,,-,147.0,-300.0,-157.0,-204.08,-106.8,-159.0,-160.1,63.59,452.87,-389.28,,,,,,,,,,,,,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,0,3,5,8,D,32
