yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,analyst_buy_ratio,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,peg,dividend_year,dividend_report_code,dividend_history_years,dividend_history_source,cagr,dart_source,dart_year,dart_fs_div,dart_report_code,sector,industry,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_gap,peer_pbr_gap,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
214450.KQ,214450,파마리서치,37454,우량기업부,재생의약품,KOSDAQ,주권,KRX,358000.0,404482.5,-11.491844517377142,711000.0,-49.648382559774966,74.74048442905851,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,65.07,24.5,8.1,20.0,6.08,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,5363.0,2144.0,1683.0,39.98,31.38,1831.62,1473.8,1756.63,3200.1,-1443.47,1.03,25.9,3700.0,427.91,OpenDART,57.58,5.0,False,,,,,,,,,0.31,2025.0,11011.0,5.0,OpenDART,37.82,,,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,21.42,7.81,-4.21,3,-6.63,-22.15,2026-07-02,4.25,4,0,20,20,15,10,1,3,73,A,21
403870.KQ,403870,HPSP,35965,우량기업부,고압 수소 어닐링 장비,KOSDAQ,주권,KRX,43700.0,41011.5,6.555478341440815,83500.0,-47.66467065868263,28.74617737002444,daily_close,NXT 미확인,2026-07-02 21:37 KST,,,-16.35,35.96,31.72,35.0,13.93,24.79,19.95,-4.63,-4.26,-6.21,989 -> 1040 -> 870,1730.0,899.0,727.0,51.97,42.02,1002.05,977.76,939.41,614.76,324.65,1.14,55.66,500.0,404.37,OpenDART,49.38,4.0,True,,,,,,,,,,2025.0,11011.0,4.0,OpenDART,-6.21,,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,95.83,12.36,9.11,20,-63.48,12.7,2026-07-02,4.25,0,0,20,0,0,0,3,3,26,D,22
095610.KQ,095610,테스,34422,우량기업부,반도체장비(화학증착장비),KOSDAQ,주권,KRX,181100.0,72670.0,149.20875189211503,213000.0,-14.976525821596246,48.70892018778942,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,33.69,92.12,9.44,42.0,9.21,15.76,24.43,46.23,50.13,504.31,79 -> 2158 -> 2885,3511.0,578.0,569.0,16.46,16.21,824.23,492.84,121.43,957.15,-835.72,0.47,26.4,850.0,150.74,OpenDART,11.0,5.0,True,,,,,,,,,1.25,2025.0,11011.0,5.0,OpenDART,504.31,,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,95.83,12.36,9.11,20,-56.17,-25.49,2026-07-02,4.25,0,0,16,10,15,10,5,5,61,B,23
108490.KQ,108490,로보티즈,33280,기술성장기업부,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",KOSDAQ,주권,KRX,229000.0,250734.115,-8.668192200331411,405000.0,-43.45679012345679,19.70588235293954,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,,691.83,7.25,440.0,10.33,2.49,1.79,29.67,,,-,389.0,33.0,53.0,8.48,13.62,70.75,46.35,310.38,56.29,254.09,,,,,,,,,,,,,,,,,,,,,,,OpenDART,2025.0,CFS,11011.0,특수 목적용 기계 제조업,특수 목적용 기계 제조업,95.83,12.36,9.11,20,359.15,-16.42,2026-07-02,4.25,0,0,0,0,0,0,1,5,6,D,24
145020.KQ,145020,휴젤,33220,우량기업부,"보툴리눔톡신, 필러",KOSDAQ,주권,KRX,268500.0,256825.0,4.545897011583763,388000.0,-30.79896907216495,59.07473309607952,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,3.3,21.91,57.97,19.0,2.95,16.06,9.86,13.97,20.88,22.87,7517 -> 10985 -> 11348,4251.0,2009.0,1470.0,47.26,34.58,1500.59,1205.36,2096.98,966.76,1130.22,,,,,,,,,,,,,,,,,5.76,,,,,22.87,OpenDART,2025.0,CFS,11011.0,기초 의약물질 제조업,기초 의약물질 제조업,97.08,22.77,-33.24,8,-80.43,-87.04,2026-07-02,4.25,4,3,16,0,12,2,3,5,45,C,25
310210.KQ,310210,보로노이,33157,기술성장기업부,표적치료제,KOSDAQ,주권,KRX,182300.0,232460.0,-21.57790587627979,363500.0,-49.848693259972485,45.735944409345294,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,,,6.53,,37.57,-50.18,64.97,-23.47,,,-,75.0,-544.0,-427.0,-725.33,-569.33,-720.95,-737.78,357.37,674.39,-317.02,,,,,,,,,,,,,,,,,,,,,,,OpenDART,2025.0,CFS,11011.0,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,229.93,35.64,-25.01,9,,5.42,2026-07-02,4.25,0,0,0,0,0,0,5,3,8,D,26
178320.KQ,178320,서진시스템,32971,중견기업부,"통신장비부품,휴대폰부품(메탈케이스 등)",KOSDAQ,주권,KRX,51800.0,39788.3,30.189025417019565,80800.0,-35.89108910891089,24.4517543859574,daily_close,NXT 미확인,2026-07-02 21:37 KST,,,,15.93,17.17,,4.05,-12.63,212.62,-12.15,-98.99,,-,10663.0,11.0,-1024.0,0.1,-9.6,-397.57,-3355.74,320.69,15686.76,-15366.07,,,,,,,,,,,,,,,,,,,,,,,OpenDART,2025.0,CFS,11011.0,기타 전기장비 제조업,기타 전기장비 제조업,,4.05,-12.63,1,,,2026-07-02,4.25,0,0,0,0,0,0,1,5,6,D,27
095340.KQ,095340,ISC,32664,우량기업부,반도체테스트소켓,KOSDAQ,주권,KRX,151700.0,152043.5,-0.2259221867426098,271000.0,-44.02214022140221,14.09649952696124,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,2.68,60.46,24.79,40.0,6.44,10.6,15.85,26.19,34.15,91.78,720 -> 2579 -> 2648,2202.0,601.0,563.0,27.29,25.57,417.12,353.78,798.71,851.6,-52.89,0.56,31.0,850.0,173.95,OpenDART,43.58,5.0,True,,,,,,,,,14.93,2025.0,11011.0,5.0,OpenDART,91.78,,,,,기계장비 및 관련 물품 도매업,기계장비 및 관련 물품 도매업,21.95,4.03,13.58,2,,,2026-07-02,4.25,0,0,12,0,15,2,1,5,35,D,28
226950.KQ,226950,올릭스,31865,기술성장기업부,siRNA 신약 개발,KOSDAQ,주권,KRX,158900.0,140343.5,13.22220124195278,207000.0,-23.23671497584541,65.02890173409747,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,,,8.46,,25.72,-18.83,30.18,157.89,,,-,147.0,-300.0,-157.0,-204.08,-106.8,-159.0,-160.1,63.59,452.87,-389.28,,,,,,,,,,,,,,,,,,,,,,,OpenDART,2025.0,CFS,11011.0,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,229.93,35.64,-25.01,9,,-27.83,2026-07-02,4.25,0,0,0,0,0,0,1,5,6,D,29
214150.KQ,214150,클래시스,31247,우량기업부,미용의료기기,KOSDAQ,주권,KRX,48300.0,54240.5,-10.952148302467714,75600.0,-36.11111111111111,60.42216358834587,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,32.76,30.47,70.5,18.0,5.99,26.21,27.73,38.66,39.38,32.57,1146 -> 1517 -> 2014,3368.0,1706.0,1320.0,50.65,39.19,1639.36,1446.82,375.21,1529.75,-1154.54,2.07,49.4,1000.0,651.53,OpenDART,97.29,5.0,False,,,,,,,,,0.55,2025.0,11011.0,5.0,OpenDART,32.57,,,,,의료용 기기 제조업,의료용 기기 제조업,22.0,13.09,19.41,3,-18.18,-54.24,2026-07-02,4.25,8,0,20,20,15,10,3,5,81,A,30
