yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,score_per,score_pbr,score_roe,score_rsi,score_peak_diff,score,grade,data_date,us_10y_bond,peg,cagr,rank
352820.KS,352820,하이브,96333,223500.0,297699.5,-24.924294464720298,404500.0,-44.746600741656366,51.90839694655696,-95.0,455.33,18.97,48.0,2.86,-7.33,54.46,17.48,-73.21,,4504 -> 225,0,3,0,5,5,13,D,2026-06-19,4.25,,,89
001440.KS,001440,대한전선,74967,38250.0,29573.3,29.339640824662787,72300.0,-47.0954356846473,34.21052631576846,10.51,31.98,12.85,73.0,4.49,5.48,114.0,10.47,11.63,-5.86,510 -> 409 -> 452,0,0,6,3,3,12,D,2026-06-19,4.25,6.95,-5.86,90
032830.KS,032830,삼성생명,994000,497000.0,211105.5,135.42731004166166,497000.0,0.0,64.52476572958258,9.3,9.99,23.21,35.0,1.1,4.96,440.89,9.92,3.23,10.22,9477 -> 10534 -> 11514,0,8,0,3,0,11,D,2026-06-19,4.25,3.76,10.22,91
009150.KS,009150,삼성전기,1695546,2270000.0,509675.5,345.3814240629577,2270000.0,0.0,54.21828908554527,3.96,23.43,39.4,137.0,17.47,7.7,48.98,9.91,24.26,29.21,5450 -> 8752 -> 9099,0,0,6,5,0,11,D,2026-06-19,4.25,34.6,29.21,92
180640.KS,180640,한진칼,80849,121100.0,114524.5,5.741566215089348,173000.0,-30.0,59.717314487617735,-68.82,25.59,19.69,48.67,2.38,4.75,20.93,2.12,-115.24,-36.56,5723 -> 7385 -> 2303,0,3,0,3,5,11,D,2026-06-19,4.25,,-36.56,93
006400.KS,006400,삼성SDI,447249,555000.0,379506.5,46.24255447535155,712000.0,-22.05056179775281,30.890804597699898,-70.17,22.94,26.54,127.0,1.93,-3.15,79.27,-20.04,-574.1,,27788 -> 8288,0,3,0,3,5,11,D,2026-06-19,4.25,,,94
034020.KS,034020,두산에너빌리티,627109,97900.0,89271.0,9.666072968825262,136400.0,-28.225806451612907,42.69449715368885,-24.14,284.35,23.75,213.0,7.81,1.11,129.1,5.08,-25.05,23.18,87 -> 174 -> 132,0,0,0,5,5,10,D,2026-06-19,4.25,,23.18,95
000150.KS,000150,두산,264121,1631000.0,1036410.0,57.37015273878099,2203000.0,-25.964593735814802,38.503034389750134,,220.26,20.16,71.0,13.22,4.99,169.14,9.11,5.87,,-,0,0,0,5,5,10,D,2026-06-19,4.25,,,96
454910.KS,454910,두산로보틱스,65986,101800.0,88386.5,15.17596012965781,166700.0,-38.93221355728854,48.255382331101146,,,5.37,,19.35,-14.78,14.57,-29.49,,,-,0,0,0,5,5,10,D,2026-06-19,4.25,,,97
373220.KS,373220,LG에너지솔루션,946530,404500.0,407457.5,-0.7258425725382401,514000.0,-21.30350194552529,33.43653250773704,,80.86,5.48,-370.0,4.27,-5.19,129.0,-7.6,133.94,,-,0,0,0,3,5,8,D,2026-06-19,4.25,,,98
003670.KS,003670,포스코퓨처엠,177447,199500.0,203847.5,-2.132721765044948,296000.0,-32.60135135135135,28.937728937725225,7.52,726.86,9.48,950.0,4.28,0.92,102.65,-20.57,4585.71,,359 -> 386,0,0,0,3,5,8,D,2026-06-19,4.25,126.33,,99
377300.KS,377300,카카오페이,59515,44000.0,53721.0,-18.09534446492061,93800.0,-53.09168443496801,42.43323442132972,1663.16,1385.54,27.82,52.0,3.08,2.4,173.7,25.08,,,19 -> 335,0,0,0,5,3,8,D,2026-06-19,4.25,0.03,,100
