yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
252990.KQ,252990,샘씨엔에스,10459,우량기업부,,KOSDAQ,주권,KRX,17350.0,14687.0,13674.0,13144.25,11398.75,52.2096721131703,18260.0,-4.983570646221248,72.52358490554064,35.65,45.92,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,,,,,,,,,,,-,779.85,146.66,150.63,18.81,19.32,192.43,99.32,87.94,871.98,-784.04,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-09-22,2025.0,OFS,11011.0,OpenDART,,,9,6,7,7,,21.0,5.21,15.99,,,,전자부품 제조업,전자부품 제조업,2026-09-22,4.25,0,0,0,0,0,0,1,0,1,D,81
056190.KQ,056190,SFA,10036,우량기업부,,KOSDAQ,주권,KRX,28000.0,25432.5,23100.333333333332,25696.416666666668,26455.1,5.839705765617977,35650.0,-21.458625525946704,70.56074766345908,16.67,27.27,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,37.83,21.28,13.05,13.98,0.71,6.11,49.77,-20.26,,,1113 -> 1534,16309.5,858.61,521.03,5.26,3.19,1516.38,568.22,2959.24,7516.75,-4557.51,3.39,48.5,950.0,267.07,OpenDART,2.98,5.0,True,5.0,OpenDART,,4.0,,,37500.0,,,33.93,,,Naver/FnGuide,,KRW,2026-09-19,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,19,17,18,18,0.37,32.0,5.79,8.98,-56.31,-87.74,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-22,4.25,8,10,6,20,0,10,1,5,60,B,82
458870.KQ,458870,씨어스,9816,기술성장기업부,,KOSDAQ,주권,KRX,25450.0,22720.0,26460.0,32804.583333333336,38481.26,-33.86391194051338,63034.0,-59.62496430497827,83.57142857126144,20.9,-20.96,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,,102.08,4.85,16.0,12.51,52.78,36.81,495.06,,,-,481.71,163.27,160.46,33.89,33.31,20.86,4.54,110.96,145.84,-34.88,,,,,,,,,,,,4.0,,,43750.0,,,71.91,,,Naver/FnGuide,,KRW,2026-09-23,2025.0,CFS,11011,OpenDART,,,2,1,1,1,,,,,,,,의료용 기기 제조업,의료용 기기 제조업,2026-09-22,4.25,8,0,20,0,0,0,1,3,32,D,83
293490.KQ,293490,카카오게임즈,9489,중견기업부,,KOSDAQ,주권,KRX,8920.0,9075.5,8428.5,9556.666666666666,11717.2,-23.872597548902473,23500.0,-62.04255319148936,48.34437086070304,5.06,28.72,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,,,4.4,-8.0,0.71,-7.93,123.44,-25.86,-307.33,,-,4650.19,-395.91,-1430.85,-8.51,-30.77,-442.67,-554.17,4921.59,14788.0,-9866.41,,,,,,,,,,,,3.29,,,8914.0,,,-0.07,,,Naver/FnGuide,,KRW,2026-09-16,2025.0,CFS,11011.0,OpenDART,,,3,2,2,2,,,,,,,,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,2026-09-22,4.25,0,10,0,0,0,0,5,1,16,D,84
086450.KQ,086450,동국제약,9272,우량기업부,,KOSDAQ,주권,KRX,20400.0,20701.5,19512.5,20985.75,19958.45,2.212346149124803,29900.0,-31.77257525083612,34.273318871913276,8.22,19.79,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,7.91,13.15,12.52,12.98,1.42,10.42,39.17,14.12,20.15,18.31,1043 -> 1353 -> 1460,9268.84,965.54,739.33,10.42,7.98,687.6,227.63,561.79,2991.58,-2429.79,0.98,13.67,200.0,90.22,OpenDART,3.57,5.0,False,5.0,OpenDART,,4.0,,,30000.0,,,47.06,,,Naver/FnGuide,,KRW,2026-09-22,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,7,5,6,6,1.64,28.0,3.99,7.59,-53.64,-64.41,18.31,의약품 제조업,의약품 제조업,2026-09-22,4.25,8,6,12,5,12,5,3,5,56,B,85
100790.KQ,100790,미래에셋벤처투자,9189,우량기업부,,KOSDAQ,주권,KRX,17180.0,15976.5,15519.0,29251.166666666668,24616.95,-30.21068816404957,67400.0,-74.51038575667656,65.4040404039248,6.31,-5.08,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,263.75,20.88,4.11,14.95,1.98,8.47,190.79,2.52,123.57,12.85,457 -> 160 -> 582,2398.48,351.16,309.3,14.64,12.9,488.15,486.97,724.58,7218.06,-6493.48,,,,,,,0.0,,2.0,OpenDART,,,,,,,,,,,,,KRW,2026-09-23,2025.0,CFS,11011,OpenDART,,,3,2,2,2,0.06,,,,,,12.85,기타 금융업,기타 금융업,2026-09-22,4.25,8,3,6,20,8,10,1,1,57,B,86
101490.KQ,101490,에스앤에스텍,9184,우량기업부,,KOSDAQ,주권,KRX,43050.0,41287.5,42991.666666666664,61580.833333333336,65484.5,-34.25925218944941,105100.0,-59.03901046622264,58.06451612898458,-0.46,-16.08,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,91.27,24.46,12.13,14.11,2.6,21.24,29.18,38.47,70.85,50.19,1205 -> 1421 -> 2718,2437.33,503.9,580.93,20.67,23.83,468.82,-175.92,800.1,887.84,-87.74,0.46,7.2,200.0,41.66,OpenDART,10.06,5.0,False,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-09-16,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,9,5,6,6,0.15,24.0,5.38,12.3,-41.21,-51.67,50.19,전자부품 제조업,전자부품 제조업,2026-09-22,4.25,8,3,20,20,15,10,3,3,82,A,87
083450.KQ,083450,GST,9039,우량기업부,,KOSDAQ,주권,KRX,48950.0,44937.5,45542.5,47402.916666666664,39657.5,23.43188551976297,66500.0,-26.39097744360902,60.56338028165034,8.66,3.71,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,0.82,8.6,22.49,14.24,2.39,16.15,26.8,4.14,1.02,13.24,1916 -> 2437 -> 2457,3471.59,591.72,455.84,17.04,13.13,415.92,286.86,718.89,816.55,-97.66,1.33,25.68,650.0,116.27,OpenDART,29.4,5.0,True,5.0,OpenDART,,4.0,,,65000.0,,,32.79,,,Naver/FnGuide,,KRW,2026-09-16,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,19,17,18,18,17.37,32.0,5.79,8.16,-55.5,-58.72,13.24,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-22,4.25,8,3,16,0,8,2,3,5,45,C,88
417200.KQ,417200,LS머트리얼즈,9031,중견기업부,,KOSDAQ,주권,KRX,13490.0,11831.5,11966.0,16641.75,16157.3,-16.508327505214357,31250.0,-56.83200000000001,78.54166666643758,19.7,0.45,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,,,,,,,,,,,-,1535.82,-1.42,-10.07,-0.09,-0.66,56.41,-180.83,574.27,684.56,-110.29,0.16,,22.0,14.88,OpenDART,,1.0,,2.0,OpenDART,,,,,,,,,,,,,KRW,2026-09-23,2025.0,CFS,11011,OpenDART,2025.0,11011,9,6,7,7,,21.0,5.21,15.99,,,,전자부품 제조업,전자부품 제조업,2026-09-22,4.25,0,0,0,0,0,0,1,3,4,D,89
119850.KQ,119850,지엔씨에너지,9030,우량기업부,,KOSDAQ,주권,KRX,54600.0,48500.0,42252.5,35567.25,35259.6,54.85144471292925,55400.0,-1.444043321299639,76.95560253695234,7.27,185.71,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,,,,,,,,,,,-,2626.34,493.72,400.17,18.8,15.24,410.79,372.73,779.47,1493.04,-713.57,,6.1,,24.25,OpenDART,,,,,,,,,,,,,,,,,,KRW,2026-09-18,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,3,2,2,2,,,,,,,,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-09-22,4.25,0,0,0,0,0,0,1,0,1,D,90
